race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-65254724.9627999,-66907067.0173435,-66559963.452
NHW,Food_price,USD,-47007786.6308106,-49353290.8152518,-47864262.8605178
NHW,FL,mrh-eq,-2088221.34579124,-2136938.63057508,-2124026.96535294
NHB,CED,MJ,-13610013.1413595,-13838607.2369872,-13286152.787777
NHB,Food_price,USD,-12364373.8468874,-12592029.4538008,-12625312.021111
NHB,FL,mrh-eq,-440647.5371593,-451862.357311465,-432211.312576241
HIS,CED,MJ,-14311298.4550253,-14391301.2513088,-14726894.5330002
HIS,Food_price,USD,-10603183.4628328,-10711286.4369807,-11569626.9034032
HIS,FL,mrh-eq,-455002.093239827,-459374.932770388,-478413.953380341
OTH,CED,MJ,-7838080.43346084,-7899029.9084009,-7295835.5332035
OTH,Food_price,USD,-5021575.62886808,-5249344.73433523,-4922545.95102892
OTH,FL,mrh-eq,-251461.668625417,-255485.530165465,-234810.89472212
