race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-23.4412415921295,-24.0591955795659,-22.6478182557289
HIS,Food_price,USD,-23.4412415921295,-24.0591955795659,-22.6478182557289
HIS,FL,mrh-eq,-23.4412415921295,-24.0591955795659,-22.6478182557289
NHB,CED,MJ,-33.2257276188336,-31.5643765154459,-33.284983542277
NHB,Food_price,USD,-33.2257276188336,-31.5643765154459,-33.284983542277
NHB,FL,mrh-eq,-33.2257276188336,-31.5643765154459,-33.284983542277
NHW,CED,MJ,-32.2051345889933,-32.6304217546499,-31.3898141825669
NHW,Food_price,USD,-32.2051345889933,-32.6304217546499,-31.3898141825669
NHW,FL,mrh-eq,-32.2051345889933,-32.6304217546499,-31.3898141825669
OTH,CED,MJ,-22.0972746116173,-22.5775671331849,-22.7832160527691
OTH,Food_price,USD,-22.0972746116173,-22.5775671331849,-22.7832160527691
OTH,FL,mrh-eq,-22.0972746116173,-22.5775671331849,-22.7832160527691
