sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,0.411882138059611,0.414848178173152,0.404507961990614
Female,added_sugar,Food_price,USD,0.714689840008349,0.716053591441087,0.705766301259833
Female,added_sugar,FL,mrh-eq,0.019399862577864,0.0195499095491089,0.0190681196501015
Female,oil,CED,MJ,0.26877901644467,0.269457178635367,0.268011047615768
Female,oil,Food_price,USD,0.200992223000649,0.20241571314099,0.200753455637805
Female,oil,FL,mrh-eq,0.0137714474563884,0.0138117690292763,0.0137294140278965
Female,sat_fat,CED,MJ,1.3768448127219,1.36305318794069,1.37115142774895
Female,sat_fat,Food_price,USD,0.160367033048364,0.158148900470963,0.1596150407908
Female,sat_fat,FL,mrh-eq,0.0366262013361753,0.0362628442841434,0.0364681388147642
Male,added_sugar,CED,MJ,0.384491140109727,0.386874517090158,0.37659356267434
Male,added_sugar,Food_price,USD,0.648297333147068,0.646630212306616,0.633557690258079
Male,added_sugar,FL,mrh-eq,0.0170450755124683,0.0172140874054346,0.0167066558209219
Male,oil,CED,MJ,0.238962772447116,0.237917808125126,0.239718786205727
Male,oil,Food_price,USD,0.161438927783089,0.162243136095816,0.162581530815959
Male,oil,FL,mrh-eq,0.0120600542936069,0.0120017439741911,0.0120889113446053
Male,sat_fat,CED,MJ,1.3010481333277,1.32093110953037,1.29867413285891
Male,sat_fat,Food_price,USD,0.145521058323007,0.147775952437612,0.144703151505852
Male,sat_fat,FL,mrh-eq,0.0358069511263234,0.0363683911824509,0.0357486376297154
