outcome,outcome_unit,X1,X2,X3
CED,MJ,-0.306815238425142,-0.309342542094285,-0.301784343285143
Food_price,USD,-0.212425388759013,-0.212626187111056,-0.206299605646123
FL,mrh-eq,-0.0103876912416006,-0.0105043327457015,-0.0101848028538003
