sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,HIS,added_sugar,CED,MJ,-0.105847588493272,-0.105085288053007,-0.0994956042063302
Female,HIS,added_sugar,Food_price,USD,-0.166277511653298,-0.158011072283569,-0.152687696371847
Female,HIS,added_sugar,FL,mrh-eq,-0.00501899221543922,-0.00496509219374852,-0.00470463144031062
Female,HIS,oil,CED,MJ,-4.69787285829015e-05,-0.00117086187435991,0.000641873005728898
Female,HIS,oil,Food_price,USD,0.000351294078575212,-0.000791195870127432,0.000688165343822905
Female,HIS,oil,FL,mrh-eq,6.45153516146812e-07,-5.82560161784353e-05,3.3066686032152e-05
Female,HIS,sat_fat,CED,MJ,-0.168300071682065,-0.172373502985581,-0.172866937619344
Female,HIS,sat_fat,Food_price,USD,-0.0210870877424058,-0.0217503651709384,-0.0216687610123026
Female,HIS,sat_fat,FL,mrh-eq,-0.00453857960105825,-0.00464972096420616,-0.00466314999384355
Female,NHB,added_sugar,CED,MJ,-0.148464044285009,-0.14628062096363,-0.150452614835676
Female,NHB,added_sugar,Food_price,USD,-0.24959647523701,-0.247258427277386,-0.250977535614686
Female,NHB,added_sugar,FL,mrh-eq,-0.0064036123139001,-0.00633106512553278,-0.00650223867345337
Female,NHB,oil,CED,MJ,-0.00778939559407516,-0.00628304491788902,-0.00758847637643027
Female,NHB,oil,Food_price,USD,-0.00444672443105529,-0.00334992050137484,-0.00495146291226933
Female,NHB,oil,FL,mrh-eq,-0.000388645383743624,-0.000313843179903564,-0.00037593768046909
Female,NHB,sat_fat,CED,MJ,-0.162811012991484,-0.162027678321879,-0.168105459868856
Female,NHB,sat_fat,Food_price,USD,-0.0194534121882802,-0.0192101210747241,-0.0197941074026616
Female,NHB,sat_fat,FL,mrh-eq,-0.004283510218723,-0.00426526424085329,-0.00442050116670395
Female,NHW,added_sugar,CED,MJ,-0.121400526558034,-0.124908215294485,-0.117073291969519
Female,NHW,added_sugar,Food_price,USD,-0.215957459081336,-0.221224315064329,-0.212461490762799
Female,NHW,added_sugar,FL,mrh-eq,-0.00578746278095722,-0.00595373263883873,-0.00559616077393492
Female,NHW,oil,CED,MJ,-0.00351101364909507,-0.0038661762672906,-0.0031909502554696
