age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
45-54,Male,NHW,Food_price,USD,-0.50921161497548,-0.489313596434108,-0.475190995045779
45-54,Male,NHW,FL,mrh-eq,-0.0293226088939564,-0.0302059776667665,-0.0287934068719706
45-54,Male,OTH,CED,MJ,-0.473172471282279,-0.581288668568275,-0.540313878586552
45-54,Male,OTH,Food_price,USD,-0.137149411254415,-0.236124855659284,-0.169681695550473
45-54,Male,OTH,FL,mrh-eq,-0.0144300425011136,-0.018909308172862,-0.0167415587471401
55-64,Female,HIS,CED,MJ,-0.873797244696453,-0.783037790106839,-0.820047659145653
55-64,Female,HIS,Food_price,USD,-0.34583232591621,-0.343319337054079,-0.299156135316701
55-64,Female,HIS,FL,mrh-eq,-0.0273622605616848,-0.0256774187662569,-0.0257293874471893
55-64,Female,NHB,CED,MJ,-0.828278033968355,-0.833310891393273,-0.847873298723787
55-64,Female,NHB,Food_price,USD,-0.583618503107262,-0.556946079773027,-0.646451153839772
55-64,Female,NHB,FL,mrh-eq,-0.0280933061666443,-0.027998694487856,-0.0294947016327157
55-64,Female,NHW,CED,MJ,-1.02368726935646,-1.08384539680689,-1.0226473657668
55-64,Female,NHW,Food_price,USD,-0.505377532652429,-0.566133183052291,-0.522453681901702
55-64,Female,NHW,FL,mrh-eq,-0.0328039830759608,-0.0354838511054844,-0.0331714092458732
55-64,Female,OTH,CED,MJ,-0.729924213927636,-0.666281328374794,-0.745069014262966
55-64,Female,OTH,Food_price,USD,-0.30621151019987,-0.290601412685207,-0.40054501630126
55-64,Female,OTH,FL,mrh-eq,-0.0223921139631112,-0.0205188010129391,-0.0244358162134256
55-64,Male,HIS,CED,MJ,-0.614174131397506,-0.59003635868589,-0.57748480416963
55-64,Male,HIS,Food_price,USD,-0.23320581345099,-0.219124321338929,-0.176542472716956
55-64,Male,HIS,FL,mrh-eq,-0.0199028232838758,-0.0192382555847773,-0.0179390021501194
55-64,Male,NHB,CED,MJ,-0.752182048794956,-0.769328188991529,-0.750152304242185
55-64,Male,NHB,Food_price,USD,-0.338878492355285,-0.359739540708252,-0.369229163341266
55-64,Male,NHB,FL,mrh-eq,-0.0235669002350622,-0.0241563627602403,-0.0235767208066883
55-64,Male,NHW,CED,MJ,-0.849893555456337,-0.950825725710351,-0.8818812810911
55-64,Male,NHW,Food_price,USD,-0.446043448211599,-0.475649286061115,-0.398770079544552
55-64,Male,NHW,FL,mrh-eq,-0.0280390771523882,-0.0313245766709389,-0.0286087886617399
55-64,Male,OTH,CED,MJ,-0.501826203593711,-0.685988775761929,-0.555892482243179
55-64,Male,OTH,Food_price,USD,-0.165624485539238,-0.257309695785066,-0.158658321604548
55-64,Male,OTH,FL,mrh-eq,-0.0164430084461989,-0.0235857310870976,-0.0173817893808398
65-74,Female,HIS,CED,MJ,-0.677688310569867,-0.734484946840088,-0.647223401389579
65-74,Female,HIS,Food_price,USD,-0.247737030759624,-0.292390722721768,-0.228127228922967
65-74,Female,HIS,FL,mrh-eq,-0.0225999847543787,-0.0253963161018134,-0.0214402600738682
65-74,Female,NHB,CED,MJ,-0.951799009970482,-0.967718406223208,-1.00339146565598
65-74,Female,NHB,Food_price,USD,-0.51881978861221,-0.518917338587252,-0.494466913344364
65-74,Female,NHB,FL,mrh-eq,-0.0326033945197495,-0.0332189515701932,-0.0334385078600314
65-74,Female,NHW,CED,MJ,-1.04849891276511,-1.00294533232969,-1.03132773726632
65-74,Female,NHW,Food_price,USD,-0.470446960908753,-0.463782994413373,-0.467328329213729
65-74,Female,NHW,FL,mrh-eq,-0.0333545926592314,-0.0321446684328491,-0.0327725673271924
65-74,Female,OTH,CED,MJ,-0.737012893930411,-0.74487667712651,-0.75774654436549
65-74,Female,OTH,Food_price,USD,-0.286749581281498,-0.374683126607952,-0.296285384832264
65-74,Female,OTH,FL,mrh-eq,-0.0224631275058265,-0.0248513234740769,-0.0234964485396184
65-74,Male,HIS,CED,MJ,-0.619212831312658,-0.568933762202914,-0.552326406683096
65-74,Male,HIS,Food_price,USD,-0.281846524376102,-0.232416091862297,-0.178576115548539
65-74,Male,HIS,FL,mrh-eq,-0.0196119494212635,-0.0181041679917749,-0.0170243394767427
65-74,Male,NHB,CED,MJ,-0.815008490675781,-0.773265653804076,-0.723328237258772
65-74,Male,NHB,Food_price,USD,-0.396128392187296,-0.39272630928958,-0.413399835588537
65-74,Male,NHB,FL,mrh-eq,-0.0260679143520569,-0.0245112406643409,-0.0235801696399259
65-74,Male,NHW,CED,MJ,-0.929885273004416,-0.943975400548198,-0.955398055016827
65-74,Male,NHW,Food_price,USD,-0.380853595508792,-0.420178251198935,-0.415751825567981
65-74,Male,NHW,FL,mrh-eq,-0.0296019001582455,-0.0307772316954177,-0.0310555589526744
65-74,Male,OTH,CED,MJ,-0.472542586345618,-0.507017625641894,-0.480671291037696
65-74,Male,OTH,Food_price,USD,-0.16927966635368,-0.231132059054811,-0.218533270139125
65-74,Male,OTH,FL,mrh-eq,-0.0146237445320853,-0.0173753658657567,-0.0163255087565046
75+,Female,HIS,CED,MJ,-0.827264663593304,-0.780949046814054,-0.917088450379176
75+,Female,HIS,Food_price,USD,-0.366449845707456,-0.317860771607389,-0.370591644409942
75+,Female,HIS,FL,mrh-eq,-0.0279303444936111,-0.0254797372154991,-0.0306687475759792
75+,Female,NHB,CED,MJ,-0.82830447135719,-0.774658868223725,-0.85238945086166
75+,Female,NHB,Food_price,USD,-0.447638944177052,-0.473861780201274,-0.502937389539706
75+,Female,NHB,FL,mrh-eq,-0.0281277911166929,-0.027438664760191,-0.0297010531732804
75+,Female,NHW,CED,MJ,-1.10738353414988,-1.04747046108007,-1.07991562786703
75+,Female,NHW,Food_price,USD,-0.535161835311616,-0.517380273575888,-0.521873983299962
75+,Female,NHW,FL,mrh-eq,-0.0367334127742171,-0.0347911105278377,-0.0358310652948746
75+,Female,OTH,CED,MJ,-0.492954106783355,-0.610006450185105,-0.690335551615821
75+,Female,OTH,Food_price,USD,-0.258531991959583,-0.270918188445057,-0.317855637894945
75+,Female,OTH,FL,mrh-eq,-0.0159596975206097,-0.0190557590156295,-0.0220682614649792
75+,Male,HIS,CED,MJ,-0.624863549446439,-0.737727404079713,-0.662427322615446
75+,Male,HIS,Food_price,USD,-0.29770915488422,-0.283501510935726,-0.301427613288175
75+,Male,HIS,FL,mrh-eq,-0.0205796908980924,-0.0234421301613108,-0.021805832889258
75+,Male,NHB,CED,MJ,-0.833628483287922,-0.717130492073587,-0.78405331994907
75+,Male,NHB,Food_price,USD,-0.451046821597379,-0.398131298453087,-0.427783152895249
75+,Male,NHB,FL,mrh-eq,-0.0261536221650577,-0.0229144650833451,-0.0245346242233737
75+,Male,NHW,CED,MJ,-1.09352386648218,-1.01773929900694,-1.02331546331088
75+,Male,NHW,Food_price,USD,-0.43956045742943,-0.399262863409126,-0.429819845630542
75+,Male,NHW,FL,mrh-eq,-0.0345347547491411,-0.0320458720540045,-0.032619526587715
75+,Male,OTH,CED,MJ,-0.595993057583855,-0.650785040125692,-0.567167748941331
75+,Male,OTH,Food_price,USD,-0.168854298648709,-0.186478073412955,-0.166114800053811
75+,Male,OTH,FL,mrh-eq,-0.019171514957593,-0.0204568633315177,-0.0183128229352223
