sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,0.269469890426982,0.269469890426982,0.269469890426982
Female,added_sugar,Food_price,USD,0.469832978776298,0.469832978776298,0.469832978776298
Female,added_sugar,FL,mrh-eq,0.0127248007073108,0.0127248007073108,0.0127248007073108
Female,oil,CED,MJ,0.300337077019819,0.300337077019819,0.300337077019819
Female,oil,Food_price,USD,0.225937726063185,0.225937726063185,0.225937726063185
Female,oil,FL,mrh-eq,0.0154044756561562,0.0154044756561562,0.0154044756561562
Female,sat_fat,CED,MJ,0.88850095981724,0.88850095981724,0.88850095981724
Female,sat_fat,Food_price,USD,0.103457916074027,0.103457916074027,0.103457916074027
Female,sat_fat,FL,mrh-eq,0.0236362384961779,0.0236362384961779,0.0236362384961779
Male,added_sugar,CED,MJ,0.277664116508213,0.277664116508213,0.277664116508213
Male,added_sugar,Food_price,USD,0.466517930229359,0.466517930229359,0.466517930229359
Male,added_sugar,FL,mrh-eq,0.0123551341599353,0.0123551341599353,0.0123551341599353
Male,oil,CED,MJ,0.298449691780819,0.298449691780819,0.298449691780819
Male,oil,Food_price,USD,0.2011632002351,0.2011632002351,0.2011632002351
Male,oil,FL,mrh-eq,0.0150587167870905,0.0150587167870905,0.0150587167870905
Male,sat_fat,CED,MJ,0.901276333941786,0.901276333941786,0.901276333941786
Male,sat_fat,Food_price,USD,0.101000877050489,0.101000877050489,0.101000877050489
Male,sat_fat,FL,mrh-eq,0.0248149731441796,0.0248149731441796,0.0248149731441796
