sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-0.233258421865844,-0.236224461979385,-0.225884245796847
Female,added_sugar,Food_price,USD,-0.403264242672265,-0.404627994105003,-0.39434070392375
Female,added_sugar,FL,mrh-eq,-0.0109645489933357,-0.0111145959645806,-0.0106328060655732
Female,oil,CED,MJ,-0.0182254270633082,-0.0189035892540054,-0.017457458234406
Female,oil,Food_price,USD,-0.0125044903000097,-0.0139279804403505,-0.0122657229371658
Female,oil,FL,mrh-eq,-0.000920571206463001,-0.000960892779350829,-0.000878537777971044
Female,sat_fat,CED,MJ,-0.686221861267015,-0.6724302364858,-0.680528476294064
Female,sat_fat,Food_price,USD,-0.0799475658397234,-0.0777294332623227,-0.0791955735821596
Female,sat_fat,FL,mrh-eq,-0.0182556818452922,-0.0178923247932604,-0.0180976193238811
Male,added_sugar,CED,MJ,-0.200432880455837,-0.202816257436268,-0.192535303020449
Male,added_sugar,Food_price,USD,-0.339090935769489,-0.337423814929037,-0.3243512928805
Male,added_sugar,FL,mrh-eq,-0.00885352344686409,-0.00902253533983038,-0.00851510375531773
Male,oil,CED,MJ,0.0105023648897112,0.0115473292117017,0.00974635113110103
Male,oil,Food_price,USD,0.0067082567388236,0.00590404842609663,0.00556565370595325
Male,oil,FL,mrh-eq,0.000526798126567736,0.000585108445983519,0.000497941075569302
Male,sat_fat,CED,MJ,-0.616216873273185,-0.636099849475859,-0.613842872804397
Male,sat_fat,Food_price,USD,-0.0687674714927448,-0.0710223656073497,-0.0679495646755897
Male,sat_fat,FL,mrh-eq,-0.0169532874990687,-0.0175147275551962,-0.0168949740024607
