age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
55-64,Male,added_sugar,Food_price,USD,-0.161882599867825,-0.176721935200581,-0.142111722698676
55-64,Male,added_sugar,FL,mrh-eq,-0.00484932130028151,-0.00569490469483801,-0.0044308873460265
55-64,Male,oil,CED,MJ,-0.00015233908162189,0.00118757794880816,0.000257140960276438
55-64,Male,oil,Food_price,USD,-0.000559290238942488,0.000456249947160505,6.81991069119716e-05
55-64,Male,oil,FL,mrh-eq,-9.59059255449009e-06,6.09134463126678e-05,1.17588335085661e-05
55-64,Male,sat_fat,CED,MJ,-0.188791058686309,-0.208000777844596,-0.202654902131378
55-64,Male,sat_fat,Food_price,USD,-0.0206266740882392,-0.0224301588263016,-0.022135356562692
55-64,Male,sat_fat,FL,mrh-eq,-0.00528463798667213,-0.00582415244697819,-0.00567389161218158
65-74,Female,added_sugar,CED,MJ,-0.0995813794324738,-0.110862066456003,-0.0990471138849859
65-74,Female,added_sugar,Food_price,USD,-0.162345229886938,-0.175952532478142,-0.166152030482741
65-74,Female,added_sugar,FL,mrh-eq,-0.00491895684263024,-0.0054939493593486,-0.00489669671856412
65-74,Female,oil,CED,MJ,-0.00578148550969507,-0.00367561749801844,-0.00467128143859209
65-74,Female,oil,Food_price,USD,-0.00665078446243361,-0.00347956539676725,-0.00402864696506423
65-74,Female,oil,FL,mrh-eq,-0.000279113966992781,-0.000178891305906741,-0.000226268515855451
65-74,Female,sat_fat,CED,MJ,-0.22130821415515,-0.210404222176432,-0.220330375960576
65-74,Female,sat_fat,Food_price,USD,-0.0253799096186832,-0.0239203573138393,-0.0253325117025606
65-74,Female,sat_fat,FL,mrh-eq,-0.00596525810412335,-0.00567065889444807,-0.00593652175137657
65-74,Male,added_sugar,CED,MJ,-0.0944816971453827,-0.101702700312504,-0.101693603148072
65-74,Male,added_sugar,Food_price,USD,-0.144360754123878,-0.15467644493145,-0.150507938584446
65-74,Male,added_sugar,FL,mrh-eq,-0.00459261602752965,-0.00495409983598654,-0.00494601807896672
65-74,Male,oil,CED,MJ,0.00203149182096183,-0.0012978915850181,-0.000779463198835339
65-74,Male,oil,Food_price,USD,0.00161888120957985,-0.000692245336961698,-0.000743520631728757
65-74,Male,oil,FL,mrh-eq,9.85192450890207e-05,-6.25909113933239e-05,-3.78356778052313e-05
65-74,Male,sat_fat,CED,MJ,-0.218027955781826,-0.209729008909811,-0.21096816255729
65-74,Male,sat_fat,Food_price,USD,-0.0253416480550402,-0.0245023869417636,-0.024747184609298
65-74,Male,sat_fat,FL,mrh-eq,-0.00598050424529305,-0.0057533291588165,-0.00578760154907423
75+,Female,added_sugar,CED,MJ,-0.123549525839516,-0.122267151802122,-0.125407287057855
75+,Female,added_sugar,Food_price,USD,-0.205837866472282,-0.204433455141336,-0.206429756412062
75+,Female,added_sugar,FL,mrh-eq,-0.00674475243985965,-0.00666408150582252,-0.00683640178357789
75+,Female,oil,CED,MJ,-0.00208363453957231,-0.000376013054495659,-0.00169040856834742
75+,Female,oil,Food_price,USD,-0.00153163983227359,-0.000409281183069032,-0.00122154726354312
75+,Female,oil,FL,mrh-eq,-9.83828988328033e-05,-1.50534624721956e-05,-7.82611684304116e-05
75+,Female,sat_fat,CED,MJ,-0.211857790082137,-0.201572374810479,-0.21093204292911
75+,Female,sat_fat,Food_price,USD,-0.0236062669894909,-0.0222499784065974,-0.0235004833665901
75+,Female,sat_fat,FL,mrh-eq,-0.0055730247091596,-0.00530350103307855,-0.00554910579793228
75+,Male,added_sugar,CED,MJ,-0.11068442647315,-0.099920027830064,-0.10920905855981
75+,Male,added_sugar,Food_price,USD,-0.16593353195409,-0.146974935584951,-0.162816410815567
75+,Male,added_sugar,FL,mrh-eq,-0.00551312843121513,-0.00497567015200599,-0.00543784345086491
75+,Male,oil,CED,MJ,0.00254009535004041,0.00166064630609643,0.00223425407253829
75+,Male,oil,Food_price,USD,0.00259213046253786,0.00104224540411637,0.00176706223808486
75+,Male,oil,FL,mrh-eq,0.000119424136696018,7.82251950424242e-05,0.000104840728378878
75+,Male,sat_fat,CED,MJ,-0.235130356071878,-0.223739548367839,-0.218472501149354
75+,Male,sat_fat,Food_price,USD,-0.0281307595913522,-0.0265318497191284,-0.0259610114729295
75+,Male,sat_fat,FL,mrh-eq,-0.0063287714252456,-0.00602729813284079,-0.00588162465721173
