sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,HIS,CED,MJ,-1.05146004614166,-1.07273828597228,-1.04780448269797
Female,HIS,Food_price,USD,-0.584090513807905,-0.569129807482804,-0.544022366710328
Female,HIS,FL,mrh-eq,-0.0347748306707835,-0.0354278589667962,-0.0341710215992264
Female,NHB,CED,MJ,-1.19957303495625,-1.18027148399739,-1.22844666995026
Female,NHB,Food_price,USD,-0.851050967854392,-0.83642111649946,-0.8600288873427
Female,NHB,FL,mrh-eq,-0.0400665479685827,-0.0393125764100361,-0.0409104247118164
Female,NHW,CED,MJ,-1.35828378091592,-1.34837695465765,-1.32770113617359
Female,NHW,Food_price,USD,-0.765284988604413,-0.779835857801131,-0.751036789708147
Female,NHW,FL,mrh-eq,-0.0442398881661116,-0.044256523535975,-0.0431299128165835
Female,OTH,CED,MJ,-1.00692839949426,-0.937390109466722,-0.974902637652099
Female,OTH,Food_price,USD,-0.552483105140435,-0.512396777109589,-0.544954245515925
Female,OTH,FL,mrh-eq,-0.0328504741923469,-0.0307990682774835,-0.0321436492586085
Male,HIS,CED,MJ,-0.920880912842075,-0.963632635940501,-0.896010639889324
Male,HIS,Food_price,USD,-0.46748449326514,-0.480394621608053,-0.45521390220911
Male,HIS,FL,mrh-eq,-0.0283815096763573,-0.0296834611415599,-0.0274700345260351
Male,NHB,CED,MJ,-1.08206914075305,-1.02730355557906,-1.05196551543318
Male,NHB,Food_price,USD,-0.654419541660263,-0.62866439514872,-0.670276560554934
Male,NHB,FL,mrh-eq,-0.0342340607728668,-0.0323281863427138,-0.0335054235244553
Male,NHW,CED,MJ,-1.21366533187708,-1.24520033029214,-1.19590608025916
Male,NHW,Food_price,USD,-0.664691102983745,-0.659684887858415,-0.623833054951842
Male,NHW,FL,mrh-eq,-0.0390064453436529,-0.0399044073037381,-0.0381971223317234
Male,OTH,CED,MJ,-0.733426440685331,-0.809131566137229,-0.773907786539509
Male,OTH,Food_price,USD,-0.316117617025477,-0.364540362691487,-0.350922572838859
Male,OTH,FL,mrh-eq,-0.0228105882667194,-0.0262218523188892,-0.0244916425966821
