race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.723907209294931,-0.747283601979348,-0.714203842581028
HIS,Food_price,USD,-0.35525196980094,-0.354785443030167,-0.337353510318382
HIS,FL,mrh-eq,-0.0227876007641181,-0.0234895681375585,-0.0222663279676989
NHB,CED,MJ,-0.837548151671296,-0.811229447654751,-0.838687811794841
NHB,Food_price,USD,-0.515615610513422,-0.501499801708502,-0.523722219220448
NHB,FL,mrh-eq,-0.0269714336081618,-0.0260188422233232,-0.0270427071200644
NHW,CED,MJ,-0.956578072602614,-0.963516532176346,-0.939613889066256
NHW,Food_price,USD,-0.487363110837643,-0.49119797998054,-0.469429244114342
NHW,FL,mrh-eq,-0.0304465183332196,-0.0307545507506675,-0.029784012249883
OTH,CED,MJ,-0.651760573323283,-0.651369322002549,-0.653810721789006
OTH,Food_price,USD,-0.300081201570524,-0.302646035557635,-0.309533565785409
OTH,FL,mrh-eq,-0.0205035024744007,-0.0208900297819624,-0.0208283632476667
