Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,3370685.31905933,0,3370685.31905933,3370685.31905933,3370685.31905933
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,7241395.95626371,0,7241395.95626371,7241395.95626371,7241395.95626371
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,155093.6400923549,0,155093.6400923549,155093.6400923549,155093.6400923549
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,4588518.15149468,0,4588518.15149468,4588518.15149468,4588518.15149468
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3200606.3083247556,0,3200606.3083247556,3200606.3083247556,3200606.3083247556
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,244618.143318,0,244618.143318,244618.143318,244618.143318
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,13011112.92283808,0,13011112.92283808,13011112.92283808,13011112.92283808
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,1539923.987545636,0,1539923.987545636,1539923.987545636,1539923.987545636
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,339125.425886384,0,339125.425886384,339125.425886384,339125.425886384
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,882814.904859595,0,882814.904859595,882814.904859595,882814.904859595
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,1623102.745306659,0,1623102.745306659,1623102.745306659,1623102.745306659
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,34701.6014099314,0,34701.6014099314,34701.6014099314,34701.6014099314
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1149099.2358596278,0,1149099.2358596278,1149099.2358596278,1149099.2358596278
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,859481.91052388,0,859481.91052388,859481.91052388,859481.91052388
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,59196.237102,0,59196.237102,59196.237102,59196.237102
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,3065841.5026802598,0,3065841.5026802598,3065841.5026802598,3065841.5026802598
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,342209.68904929666,0,342209.68904929666,342209.68904929666,342209.68904929666
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,80328.2621912766,0,80328.2621912766,80328.2621912766,80328.2621912766
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,1245399.155663792,0,1245399.155663792,1245399.155663792,1245399.155663792
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,1889829.7998318519,0,1889829.7998318519,1889829.7998318519,1889829.7998318519
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,53983.7541036504,0,53983.7541036504,53983.7541036504,53983.7541036504
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,1668535.287264945,0,1668535.287264945,1668535.287264945,1668535.287264945
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1131249.045552372,0,1131249.045552372,1131249.045552372,1131249.045552372
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,86125.489785,0,86125.489785,86125.489785,86125.489785
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,4769313.41837946,0,4769313.41837946,4769313.41837946,4769313.41837946
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,702894.9916807546,0,702894.9916807546,702894.9916807546,702894.9916807546
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,130561.07144769181,0,130561.07144769181,130561.07144769181,130561.07144769181
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,740764.30710632,0,740764.30710632,740764.30710632,740764.30710632
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,1438951.289684381,0,1438951.289684381,1438951.289684381,1438951.289684381
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,33677.1425009117,0,33677.1425009117,33677.1425009117,33677.1425009117
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,984147.891390828,0,984147.891390828,984147.891390828,984147.891390828
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,780503.4397798469,0,780503.4397798469,780503.4397798469,780503.4397798469
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,50371.430148,0,50371.430148,50371.430148,50371.430148
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,2708960.36283407,0,2708960.36283407,2708960.36283407,2708960.36283407
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,347907.4370779167,0,347907.4370779167,347907.4370779167,347907.4370779167
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,71748.1698434359,0,71748.1698434359,71748.1698434359,71748.1698434359
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,3780036.2574845497,0,3780036.2574845497,3780036.2574845497,3780036.2574845497
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,7403396.562732889,0,7403396.562732889,7403396.562732889,7403396.562732889
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,155065.6810945387,0,155065.6810945387,155065.6810945387,155065.6810945387
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,4876680.60330243,0,4876680.60330243,4876680.60330243,4876680.60330243
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,3464520.0201410176,0,3464520.0201410176,3464520.0201410176,3464520.0201410176
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,250067.26944,0,250067.26944,250067.26944,250067.26944
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,13817428.8706436,0,13817428.8706436,13817428.8706436,13817428.8706436
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,1591984.6530996049,0,1591984.6530996049,1591984.6530996049,1591984.6530996049
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,376050.461100552,0,376050.461100552,376050.461100552,376050.461100552
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,820518.5050202,0,820518.5050202,820518.5050202,820518.5050202
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,1470222.082233116,0,1470222.082233116,1470222.082233116,1470222.082233116
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,31995.210049938,0,31995.210049938,31995.210049938,31995.210049938
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,1057441.369359042,0,1057441.369359042,1057441.369359042,1057441.369359042
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,357338.324552987,0,357338.324552987,357338.324552987,357338.324552987
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,52224.3843660001,0,52224.3843660001,52224.3843660001,52224.3843660001
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,2800287.36199906,0,2800287.36199906,2800287.36199906,2800287.36199906
