Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,-117370.52704048278,1184.0291745443699,-117530.3150968249,-118419.73629856828,-116185.49793450645
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,456839.9725175067,53490.93131954229,462490.82888566505,403835.0892333957,505041.62788868306
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,319568.1009103061,28742.60397737971,332756.6186354605,288905.94011931034,339020.0216349205
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,23425.918937798597,2742.9172059827697,23715.684525691708,20707.925386843537,25897.61173904451
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,-11948958.297267819,310282.05045798176,-11941930.688684449,-12246656.269441,-11657233.792390505
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,-1362044.6789334286,33871.53704084517,-1370457.62233622,-1389893.9058716542,-1327044.4501028303
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,-325198.799242998,8444.531123575958,-325007.53822961,-333300.84635700705,-317259.32399036875
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,-1062796.752128437,47962.45819759696,-1063008.181720258,-1108270.8978025666,-1017142.8913012596
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,-1898579.596481214,98057.03021976457,-1913477.545669029,-1984592.2659836595,-1799903.6701691258
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,-41442.58187559593,1870.2429197568024,-41450.8263382859,-43215.79580530423,-39662.36015260116
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,32404.476041828835,36931.32777341627,20721.186039863,3627.5041737045212,71112.24441162411
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,5598.16610602096,13337.528622935693,12200.6771904662,-8655.097782897003,14239.29557316047
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,1600.3760218054244,1823.9459062914234,1023.367550790197,179.1533580454121,3512.05588592838
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,-2113268.629888058,104542.74855077482,-2081836.932693865,-2222516.990554745,-2030737.2118364363
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-196600.75953744212,14305.915377811036,-192844.06590452697,-211431.86889350822,-184962.83976935392
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,-56868.132380781004,2813.2490020216537,-56022.3043153322,-59808.0095686166,-54647.209048576886
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,-1272578.3244875483,56462.50550478878,-1277032.0215212582,-1324199.5856317107,-1217171.420864733
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,-2276299.759370096,124264.81706255235,-2320223.171616625,-2370016.9283297346,-2145247.6900009075
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,-46546.12942956757,2065.1861174846526,-46709.0289184101,-48434.24103440828,-44519.5532592107
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,201068.84308553187,14388.89595115172,193097.20440764702,192463.4370521711,216450.14199509477
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,106006.5450380401,30515.228505525152,97774.5331600761,81317.91756668335,137692.38260566627
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,10534.06714645726,753.8393009420087,10116.43020275429,10083.226908920373,11339.898786141672
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,-3621830.93159046,13116.125983608303,-3614804.17207269,-3635855.3579760133,-3613779.250795011
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,-385856.02175619436,1124.9598000897256,-385417.4922516522,-387048.3671580062,-385036.4264332433
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,-99851.7156040324,361.60375961178624,-99657.99204094001,-100238.36066323302,-99629.73557346033
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,-546078.4100705177,26235.243789672408,-559840.2272157769,-562432.9752758098,-518026.3002917551
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,-982309.2785141782,31214.71778376497,-981068.974808062,-1012472.8272334449,-953199.9879451105
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,-23350.86934852296,1121.8457620036772,-23939.3386749622,-24050.207224399415,-22151.33254517315
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,42224.69793049057,11553.684798918039,47910.8104803747,29878.953620356308,49737.24657322331
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,44985.89347613543,11593.915563044173,41060.0876802189,36124.35272301621,57184.36915578372
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,2237.02619349779,612.1037400704174,2538.27127840536,1582.9598590160035,2635.034205808141
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,-1841665.6585362933,43168.89801215137,-1829968.1456876812,-1886502.3650124124,-1806771.8379814946
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,-258392.89460026677,3528.7536901533003,-259278.3974358808,-261288.75310450766,-254744.35868575392
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,-50176.0150317506,1176.1327391441032,-49857.317347507196,-51397.58706231562,-49225.33603279247
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,-2193414.339239705,164206.66608011638,-2144927.300149041,-2364830.9044218413,-2063211.7572846331
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,-3763706.0462379237,128860.4850307868,-3693261.9162242003,-3901473.9571921336,-3685815.645795378
