Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,-164110545.57066917,1655540.608921745,-164333965.41688782,-165577577.44062763,-162453606.83142486
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,58382908.63872237,6835995.849967649,59105072.7463302,51609028.4085641,64542949.377413966
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,58382908.63872237,6835995.849967649,59105072.7463302,51609028.4085641,64542949.377413966
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,58382908.63872237,6835995.849967649,59105072.7463302,51609028.4085641,64542949.377413966
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,-302675044.3430874,7859650.276183816,-302497030.353359,-310215931.56410664,-295285469.0133372
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,-302675044.3430874,7859650.276183816,-302497030.353359,-310215931.56410664,-295285469.0133372
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,-302675044.3430874,7859650.276183816,-302497030.353359,-310215931.56410664,-295285469.0133372
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,-60963319.299431965,2751185.1608787165,-60975447.1589589,-63571771.81591644,-58344558.102349594
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,-60963319.299431965,2751185.1608787165,-60975447.1589589,-63571771.81591644,-58344558.102349594
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,-60963319.299431965,2751185.1608787165,-60975447.1589589,-63571771.81591644,-58344558.102349594
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,4152736.2294194065,4732866.615317547,2655485.6148022,464876.14813050407,9113259.333132938
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,4152736.2294194065,4732866.615317547,2655485.6148022,464876.14813050407,9113259.333132938
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,4152736.2294194065,4732866.615317547,2655485.6148022,464876.14813050407,9113259.333132938
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,-57467925.932724,2842920.6043897816,-56613176.838951096,-60438810.282337986,-55223578.31281698
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-57467925.932724,2842920.6043897816,-56613176.838951096,-60438810.282337986,-55223578.31281698
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,-57467925.932724,2842920.6043897816,-56613176.838951096,-60438810.282337986,-55223578.31281698
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,-74086903.18863179,3287131.407652557,-74346188.30658379,-77092187.26684578,-70861226.7601586
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,-74086903.18863179,3287131.407652557,-74346188.30658379,-77092187.26684578,-70861226.7601586
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,-74086903.18863179,3287131.407652557,-74346188.30658379,-77092187.26684578,-70861226.7601586
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,26071898.39521085,1865758.152784065,25038243.70031245,24956065.28895541,28066337.992129933
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,26071898.39521085,1865758.152784065,25038243.70031245,24956065.28895541,28066337.992129933
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,26071898.39521085,1865758.152784065,25038243.70031245,24956065.28895541,28066337.992129933
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,-92251138.4461087,334078.97189134173,-92072160.8578819,-92608352.60782893,-92046055.23438124
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,-92251138.4461087,334078.97189134173,-92072160.8578819,-92608352.60782893,-92046055.23438124
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,-92251138.4461087,334078.97189134173,-92072160.8578819,-92608352.60782893,-92046055.23438124
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,-31296276.6476927,1503566.9464669193,-32084979.5676587,-32233572.441993434,-29688583.371420868
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,-31296276.6476927,1503566.9464669193,-32084979.5676587,-32233572.441993434,-29688583.371420868
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,-31296276.6476927,1503566.9464669193,-32084979.5676587,-32233572.441993434,-29688583.371420868
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,5499510.908771547,1504797.3982609732,6240092.59506491,3891552.5612125937,6477974.8229811415
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,5499510.908771547,1504797.3982609732,6240092.59506491,3891552.5612125937,6477974.8229811415
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,5499510.908771547,1504797.3982609732,6240092.59506491,3891552.5612125937,6477974.8229811415
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,-49605638.65348943,1162763.0378697666,-49290563.7685214,-50813324.451157294,-48665766.50804439
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,-49605638.65348943,1162763.0378697666,-49290563.7685214,-50813324.451157294,-48665766.50804439
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,-49605638.65348943,1162763.0378697666,-49290563.7685214,-50813324.451157294,-48665766.50804439
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,-131965785.28436227,9879420.06693586,-129048584.427578,-142278985.68171614,-124132205.615275
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,-131965785.28436227,9879420.06693586,-129048584.427578,-142278985.68171614,-124132205.615275
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,-131965785.28436227,9879420.06693586,-129048584.427578,-142278985.68171614,-124132205.615275
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-73843432.17504044,21874366.402060233,-64623571.991205096,-97108630.08014558,-58415115.42619532
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-73843432.17504044,21874366.402060233,-64623571.991205096,-97108630.08014558,-58415115.42619532
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-73843432.17504044,21874366.402060233,-64623571.991205096,-97108630.08014558,-58415115.42619532
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-194970605.34768915,11908826.583313791,-196906526.9691179,-205348548.40590954,-182947128.9112543
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-194970605.34768915,11908826.583313791,-196906526.9691179,-205348548.40590954,-182947128.9112543
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-194970605.34768915,11908826.583313791,-196906526.9691179,-205348548.40590954,-182947128.9112543
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,-53563967.70879754,1958415.5853346852,-54518390.9687663,-54845008.9245982,-51471666.72202341
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,-53563967.70879754,1958415.5853346852,-54518390.9687663,-54845008.9245982,-51471666.72202341
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,-53563967.70879754,1958415.5853346852,-54518390.9687663,-54845008.9245982,-51471666.72202341
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-13697861.83509333,3589438.5935347076,-15163203.16900561,-16264836.205363244,-9885347.330997976
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-13697861.83509333,3589438.5935347076,-15163203.16900561,-16264836.205363244,-9885347.330997976
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-13697861.83509333,3589438.5935347076,-15163203.16900561,-16264836.205363244,-9885347.330997976
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-39631361.36699227,335653.9064212352,-39729203.013356805,-39898322.23499892,-39281235.09957576
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-39631361.36699227,335653.9064212352,-39729203.013356805,-39898322.23499892,-39281235.09957576
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-39631361.36699227,335653.9064212352,-39729203.013356805,-39898322.23499892,-39281235.09957576
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,-50677997.2998716,2064349.9676717906,-51330567.6738173,-52286866.60604449,-48514443.17584486
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,-50677997.2998716,2064349.9676717906,-51330567.6738173,-52286866.60604449,-48514443.17584486
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,-50677997.2998716,2064349.9676717906,-51330567.6738173,-52286866.60604449,-48514443.17584486
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-2401528.9345586044,6431874.078852424,-5637633.652853584,-6525915.175373029,4473546.316806555
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-2401528.9345586044,6431874.078852424,-5637633.652853584,-6525915.175373029,4473546.316806555
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-2401528.9345586044,6431874.078852424,-5637633.652853584,-6525915.175373029,4473546.316806555
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-60557036.77936413,2932715.903762554,-60801774.6351158,-63231817.86607476,-57674228.515264586
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-60557036.77936413,2932715.903762554,-60801774.6351158,-63231817.86607476,-57674228.515264586
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-60557036.77936413,2932715.903762554,-60801774.6351158,-63231817.86607476,-57674228.515264586
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,-35864029.45309133,2049299.799271822,-36285597.5912485,-37600553.92876534,-33769172.05998373
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,-35864029.45309133,2049299.799271822,-36285597.5912485,-37600553.92876534,-33769172.05998373
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,-35864029.45309133,2049299.799271822,-36285597.5912485,-37600553.92876534,-33769172.05998373
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-3968496.1801261012,1363221.4683075524,-4359082.004102287,-5057056.5752056,-2547937.8346668435
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-3968496.1801261012,1363221.4683075524,-4359082.004102287,-5057056.5752056,-2547937.8346668435
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-3968496.1801261012,1363221.4683075524,-4359082.004102287,-5057056.5752056,-2547937.8346668435
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-37221296.173565686,4015153.720209915,-39288436.7506811,-39757037.74069003,-32928485.11589323
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-37221296.173565686,4015153.720209915,-39288436.7506811,-39757037.74069003,-32928485.11589323
sat_fat,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-37221296.173565686,4015153.720209915,-39288436.7506811,-39757037.74069003,-32928485.11589323
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,CED,MJ,-137165293.88501224,5606931.579754138,-135430179.7230871,-143034451.37746525,-132770983.43019556
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,Food_price,USD,-137165293.88501224,5606931.579754138,-135430179.7230871,-143034451.37746525,-132770983.43019556
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,FL,mrh-eq,-137165293.88501224,5606931.579754138,-135430179.7230871,-143034451.37746525,-132770983.43019556
oil,Male,NHW,35-44,13,10698668,g/day,CED,MJ,16920140.406815518,10831328.502191827,12888777.54798343,8892899.41630435,28374039.82733396
oil,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,16920140.406815518,10831328.502191827,12888777.54798343,8892899.41630435,28374039.82733396
oil,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,16920140.406815518,10831328.502191827,12888777.54798343,8892899.41630435,28374039.82733396
sat_fat,Male,NHW,35-44,13,10698668,g/day,CED,MJ,-166558549.18180063,6311460.342390942,-164408282.6113938,-173201376.97157574,-161743447.97687134
sat_fat,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,-166558549.18180063,6311460.342390942,-164408282.6113938,-173201376.97157574,-161743447.97687134
sat_fat,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,-166558549.18180063,6311460.342390942,-164408282.6113938,-173201376.97157574,-161743447.97687134
