Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,10898402.797125975,237648.9978613009,10913570.99779969,10666534.922810616,11117377.700868672
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,23433461.381985787,622611.2778898927,23757972.86825857,22767747.37055215,23823340.63008756
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,501462.700015758,10934.82323437313,502160.626767578,490793.88069741166,511538.28159505734
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,5974280.052837657,143480.80893548788,5937384.83650705,5857076.606861561,6122844.4326947685
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,4135840.904117076,100940.29761992859,4100145.885469347,4059725.516069805,4242297.058014918
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,318494.39098565304,7649.09452785534,316527.472904884,312246.1669624349,326414.4953775249
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,32095483.145827133,404036.21538602473,32103252.875281803,31708399.838646293,32475962.18297151
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3809040.8075501556,37525.39652895077,3816230.546556626,3770830.211819207,3841140.1251256038
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,836545.993829072,10530.91725733956,836748.5063140499,826456.9420946275,846462.9099512852
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,3217104.162503977,92447.4648542616,3268099.46097467,3118275.348001383,3272586.9733064813
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,5814772.99216424,285427.7475696941,5933709.99595984,5511340.027847854,6017109.503254367
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,126457.6138519086,3633.9158515244635,128462.132026182,122572.8605363417,128638.52671934309
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1622438.3286381788,22930.523530663184,1633861.569647457,1597931.0511667854,1637235.8512516853
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,1205755.0673255813,13477.531017741148,1212843.7771682008,1191344.0881657675,1214140.6431191685
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,83580.4611022912,1181.27370155161,84168.93323955851,82317.96038638418,84342.76050152101
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,7477314.31260204,123280.89862010958,7406223.25053831,7406061.406732692,7608994.621225558
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,834507.5990281254,4829.806871468566,831985.732664371,831486.9782512478,839671.8062141943
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,195913.47565233978,3230.0888153789097,194050.8152806543,194046.57480323868,199363.6378173736
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,4174626.0383225433,164249.0532834547,4257348.36580142,3999056.8833571863,4279881.214930855
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,6344215.1540295305,277667.89708909456,6457225.4980535,6049330.204291344,6543041.311347342
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,180955.6273605978,7119.62944882929,184541.3546876098,173345.31058245324,185518.07591078212
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,2044910.2433478604,19606.347434752377,2042938.070677877,2027193.1933639876,2064303.640101219
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1391928.9878091093,15998.597080301954,1387066.097330585,1379333.0785072336,1408658.3540177306
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,105552.99466479443,1012.0291063672788,105451.19619613819,104638.48622193861,106554.03180600808
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,11220073.717003226,101264.85740752835,11197499.996148221,11135275.633983111,11324059.462750098
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1658801.018943594,21079.567111487995,1650198.2646477679,1643724.0515364427,1681190.3275021976
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,307152.14491225034,2772.1491802517735,306534.184018753,304830.77753615147,309998.7790478219
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,2089131.6582784413,65807.58797664913,2078130.276894401,2031948.7057659249,2155665.784967392
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,4062116.2247277633,118046.55722299902,4016519.18825714,3975811.2658467935,4187178.6646087626
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,94977.5574822762,2991.7903666120806,94477.4050248439,92377.86629587262,98002.37825749724
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,1337721.9399903275,59363.01516688242,1327112.7053825902,1286515.5662194502,1397946.1631777813
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,1063567.324822735,60783.20600256825,1075909.610478808,1001477.6357597079,1115166.0710781
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,68468.33473619717,3038.36445519121,67925.3245599399,65847.44990567955,71550.77821653346
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,5932502.713668446,104335.64228415064,5987167.9120544195,5820941.90142726,5997598.107281556
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,764583.3064042634,15492.219811081795,772689.907964129,748018.3276293123,774257.6738533286
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,157125.30095923017,2763.3816596325155,158573.1360741814,154170.5570602909,158849.38501046086
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,10030288.87705761,43592.42385893412,10036171.7968618,9986659.638704786,10068917.633576874
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,19791935.007148094,144189.87492448013,19765227.59311682,19668079.07768463,19938492.238538142
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,411465.253333558,1788.2603329173776,411706.584078588,409675.4827864046,413049.8927474359
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,5287336.354505347,63989.76104076167,5280576.387165951,5229674.011882347,5350744.669366834
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,3762221.311759569,34384.00332225668,3746444.243069682,3738951.5026863967,3798901.6292191455
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,271124.94590821135,3281.2780079844397,270778.30713656,268168.1263536392,274376.4084186871
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,33649083.43500813,405206.462831078,33639905.8741018,33268111.817191344,34037855.9795953
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,3857753.856420772,44233.83722878989,3868740.5668450836,3812046.027360752,3894122.9816201273
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,915782.0503226767,11027.961758667,915532.276935535,905413.6558921752,926362.7521322486
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,2845701.0002659066,72471.5709438688,2846020.4716866603,2776717.734225468,2914412.715598705
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,5090280.169730613,148164.77906198453,5112791.06308464,4941180.234845776,5220245.845264527
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,110964.95775020297,2825.9486176254773,110977.4151843126,108275.03171758997,113644.29496382277
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,1228835.5966607942,44274.04564244933,1242841.768276789,1182431.9169979347,1263334.0304500584
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,421673.43467605236,15989.307360738903,413758.206745419,411314.268529152,438760.5445639911
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,60689.1165621177,2186.584376276743,61380.8463460708,58397.354888202026,62392.90791967324
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,6434273.119422583,136898.12387229226,6393113.49395208,6326198.705382287,6577333.215112807
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,601443.2756088993,18733.513348818244,596523.9070497369,586203.4870619806,620864.527431106
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,173146.51358299225,3683.933278024621,172038.9066290558,170238.22733973098,176996.26573709954
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,3942670.1030857735,85467.01414483048,3949411.64216509,3858800.9482667274,4020808.9496874
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,7112263.17928438,188099.03638953817,7178749.8302433,6913890.312789188,7254122.392464489
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,144208.0454970946,3126.06196867755,144454.625644267,141140.42721361658,147066.07065547604
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,1808729.799245566,17200.90017884471,1818259.325459781,1790342.5520194722,1819016.9491895768
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,922865.7157849337,36478.782058061726,932706.499613285,884987.5539764027,952379.2113393659
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,94759.98798553774,901.1611877946513,95259.2432031736,93796.67366022588,95298.93537585912
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,11205042.529783042,17197.79348502617,11195829.080689419,11194485.209450763,11223431.281844903
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,1197882.4598671251,1475.0412084397483,1197307.462351423,1196807.810910335,1199445.856712262
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,308916.33020640933,474.1328948029986,308662.320917736,308625.271190329,309423.29711786204
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,1939729.257817517,39546.7712153993,1960473.697568668,1897443.7591035052,1964381.9827430507
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,3495225.0815669033,47052.78565903082,3493355.45888313,3451345.9980101995,3540693.3444048143
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,82944.79993258693,1691.0602411243783,83831.8533179697,81136.6289124573,83998.97557514122
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,1069725.365118317,13804.153597129367,1062931.690859823,1060749.4948937888,1084475.8584625649
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,822411.7684909967,13852.220655992758,827102.257035777,807837.2292973645,832999.3924215656
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,56673.07947490767,731.3315355547822,56313.156775369105,56197.54601260185,57454.54723182126
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,5796081.922818454,56759.79630972056,5780701.67274974,5750202.453145618,5855034.605049697
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,822741.6428184906,4639.71400483465,823905.929212064,817944.4354568821,826549.2067455619
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,157913.7300717961,1546.4155394519485,157494.6965436078,156663.7480518335,159519.89059071877
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,6353079.05202114,247920.93456243564,6279872.81543841,6156497.8378029885,6611885.567334613
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,10951063.406288147,194554.90230471938,10844706.12515975,10833463.668517841,11159066.833017588
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,297870.10977262503,11624.0070977158,294437.766250943,288653.213936933,310004.4976017467
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,3917713.45740079,202245.90750833668,3832468.52021239,3775066.403545899,4132818.7078658217
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,2102677.5764277824,102270.25902443174,2055822.800027532,2033408.7831411187,2211772.9296546583
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,187288.31302999365,9668.469949710827,183213.1348287383,180468.99702700402,197571.53050405037
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,20202164.544253465,621284.0902016378,20303161.67397539,19574899.165367365,20743582.362875927
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,2392158.5176200834,77714.90086235406,2430986.5680646,2309096.2802806683,2442216.91208166
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,535732.0695488007,16475.55194852339,538410.366778085,519097.90250938054,550089.6839433291
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,2195025.569035988,50262.54211447226,2219520.7475151853,2141326.8713482274,2227903.3650164306
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,3599652.45785815,84404.86913786079,3642144.2472332297,3509430.845741116,3653756.049006366
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,91686.82399256673,2099.4802599463937,92709.9943599511,89443.81456571522,93060.13860714153
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,980046.3016108866,33321.57685578155,993649.399311418,944653.8602160631,1003876.1099602586
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,0,0,0,0,0
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,48985.2758057274,1665.4995074000894,49665.1941846627,47216.26907582717,50176.35191353262
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,4434335.3385593,16424.47003204956,4439122.99977181,4417202.696046869,4447398.469041097
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,508837.44756180135,2388.7650726021398,508276.584367816,506853.89603199426,511297.7328064959
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,117413.46744443857,434.89132647030334,117540.2363649173,116959.8249455553,117759.3563609149
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,2562138.734529686,51169.721819821396,2578314.211084335,2508510.0066481265,2602018.307339795
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,4382205.96418747,140212.95889845485,4321308.26840704,4284666.883539858,4531508.086248447
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,128013.55174580692,2556.6210540126863,128821.73600883479,125334.07001470243,130006.07685333774
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,1425994.120414634,59405.25851908862,1455883.0198284509,1362495.4235125321,1464087.2528149914
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,902837.325785259,37264.846201735614,919192.583962213,863141.6737278544,928631.0083922527
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,72565.17316340814,3022.980817060659,74086.1423810068,69333.88779526648,74503.63469659092
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,7399815.3120955005,149433.84371030467,7412285.7046212405,7252924.466299103,7536106.32424502
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,805018.534218396,20827.521697683576,803995.166799153,785685.2413752514,825221.6893678971
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,198035.58327864806,3999.1833785863164,198369.31883195438,194104.45620335007,201683.03513363565
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,1646693.0707081303,51006.203100760686,1657185.7229219698,1594552.9584132174,1689914.4286212798
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,2400418.6321792,80964.39348533849,2402559.0439550905,2322612.9443783,2476404.9699705937
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,83333.3511926488,2581.244745368012,83864.34745870001,80694.72328658268,85520.63227257141
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,873638.034322671,13000.113426207534,877362.7849464,860091.1382028179,884018.8924123546
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,702651.3762338184,11497.112415483838,706816.2696450261,690510.4531957854,711252.1398723247
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,49836.74943217417,741.5924787592868,50049.2281204172,49063.965692244354,50428.926287097405
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,4488154.596756023,210609.00217825783,4596583.42530053,4262981.485986825,4621163.2032623915
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,561874.5545246848,23393.28999854031,567056.3002635466,537861.4183897184,581483.2067816185
sat_fat,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,120673.25490502793,5662.6556098401725,123588.58667088591,114619.01332136027,124249.46448771634
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,CED,MJ,6575083.2630710695,143214.0182004539,6530764.4288511,6462842.396832046,6724995.138397068
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,Food_price,USD,12660574.275165511,188899.64626285605,12629368.43927668,12496228.105010083,12851445.405826444
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,FL,mrh-eq,282231.0950012793,6147.366893932246,280328.738390629,277413.2301446537,288665.9629769577
oil,Male,NHW,35-44,13,10698668,g/day,CED,MJ,3056241.4210519833,100671.68528166262,3093710.8868611297,2949783.2559730727,3130850.54019312
oil,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,1846211.1687353833,89413.33217432609,1833802.64615136,1767157.8258706,1935811.7557965864
oil,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,145668.54166904124,4798.278526470946,147454.4354155038,140594.46422575158,149224.60942783765
sat_fat,Male,NHW,35-44,13,10698668,g/day,CED,MJ,19199639.749057695,334262.1032404774,19085759.19093642,18944626.524104793,19551451.44841369
sat_fat,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,1992242.8910317037,58465.77967816111,1961368.015318093,1955971.0719452368,2054758.3544747394
sat_fat,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,533569.973044901,9289.35249551851,530405.1612504451,526482.9963441589,543347.0397709308
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,CED,MJ,1629968.9750771113,51893.895853594775,1653257.15158008,1574647.768346901,1665495.2317797984
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,Food_price,USD,2760669.400310249,108284.61875859187,2764029.191347613,2656408.2455021837,2862074.7327365545
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,FL,mrh-eq,62331.407172178166,1984.4669448680838,63221.9669522104,60215.87692915998,63689.961602168965
oil,Male,NHB,35-44,14,2373836,g/day,CED,MJ,624882.4984768337,5897.397473582562,626787.565338956,618694.0211390276,629451.6689818358
oil,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,347094.67108186,16547.803552963505,348205.200448658,330928.85580122337,362316.53640071827
oil,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,31821.496716754336,300.3188836308182,31918.5102817781,31506.354891264407,32054.177011974065
sat_fat,Male,NHB,35-44,14,2373836,g/day,CED,MJ,3728594.5602965034,71918.63717861833,3750427.80976397,3653396.2970809867,3785234.5614646734
sat_fat,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,365479.9323605003,5820.035090788647,367954.19876960147,359287.7091822638,369569.0290910006
sat_fat,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,102062.0512557319,1968.6140488768986,102659.6882983741,100003.66467855661,103612.44634666132
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,CED,MJ,2645707.6473209164,120359.17771233848,2593048.54535802,2562272.1108814804,2773903.4204288153
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,Food_price,USD,4403886.759679053,160004.9405559096,4328905.91976006,4296829.356423222,4574677.876866027
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,FL,mrh-eq,111687.36146776953,5080.908694025077,109464.38110126779,108165.1677261424,117099.08852092315
oil,Male,HIS,35-44,15,4477083,g/day,CED,MJ,1111388.021055501,88179.94780204548,1067595.258969635,1054372.8519848357,1205627.0378991524
oil,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,847350.6224488327,55151.154515502174,819726.30926476,811883.2881791712,906298.622924956
oil,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,56748.867835056,4502.578855194054,54512.7544159257,53837.60171297583,61560.83036339692
sat_fat,Male,HIS,35-44,15,4477083,g/day,CED,MJ,7484690.78134551,203926.059390428,7370830.93938495,7363504.777236536,7702657.651120961
sat_fat,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,712145.6607260407,27611.812557761536,701341.2234878989,692058.3768748292,741416.7162296727
sat_fat,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,208994.27120185946,5694.206936055727,205814.9742362436,205610.4065441843,215080.53828030813
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,CED,MJ,1044853.841975875,26307.095171412373,1034496.124982713,1025761.821788186,1072749.9216077516
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,Food_price,USD,1721676.9743693206,39590.28333145725,1714953.835156214,1687332.4967449475,1761736.1203248342
