age_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,CED,MJ,-34538871.9521133,-33765028.46875252,-32708531.463915188,-33665851.79455022,967158.4027131231,0,0,0,0,0,-34538871.9521133,-33765028.46875252,-32708531.463915188,-33665851.79455022,967158.4027131231,-873725494.2159022,-872199782.8504021,-818793006.4871343,-853995900.3950449,32930688.46530977,-25533413.48433906,-24942446.1034243,-24190822.767732646,-24886075.59297627,708311.0256283121,-9005458.467774248,-8822582.365328217,-8517708.696182538,-8779776.201573955,259373.29920793025,78637626.05972168,79694123.06455903,80467966.54791981,79594946.39035672,967158.4027131314,45929094.595806494,45929094.595806494,45929094.595806494,45929094.5958065,0,59228124.65270782,59979747.98839948,60570715.36931422,59923377.477951445,708311.0256283071,35037301.88497517,35037301.88497517,35037301.88497517,35037301.88497517,0,19409501.407013852,19714375.07615954,19897251.17860556,19671568.91240527,259373.29920793016,10891792.710831316,10891792.710831316,10891792.710831316,10891792.710831316,0,-25533413.48433906,-24942446.1034243,-24190822.767732646,-24886075.59297627,708311.0256283121,-9005458.467774248,-8822582.365328217,-8517708.696182538,-8779776.201573955,259373.29920793025,0,0,0,0,0,0,0,0,0,0,19409501.407013852,19714375.07615954,19897251.17860556,19671568.91240527,259373.29920793016,10891792.710831316,10891792.710831316,10891792.710831316,10891792.710831316,0
20-34,FL,mrh-eq,-1080014.0674795546,-1064157.1676223252,-1019191.1382896445,-1053943.437981816,33211.63504216087,0,0,0,0,0,-1080014.0674795546,-1064157.1676223252,-1019191.1382896445,-1053943.437981816,33211.63504216087,-873725494.2159022,-872199782.8504021,-818793006.4871343,-853995900.3950449,32930688.46530977,-786519.1927338766,-774799.5829429775,-742593.1878195434,-767611.2372122635,23942.432682915558,-293494.8747456781,-289357.58467934764,-276597.95047010103,-286332.2007695525,9271.044133248963,2644529.57645194,2689495.605784621,2705352.5056418497,2679281.876144111,33211.635042161004,1625338.4381622954,1625338.4381622954,1625338.4381622954,1625338.4381622954,0,1986604.5207715011,2018810.9158949347,2030530.5256858345,2011622.570164221,23942.432682915503,1244011.3329519578,1244011.3329519578,1244011.3329519578,1244011.3329519578,0,657925.055680439,670684.6898896856,674821.9799560161,667659.3059798905,9271.04413324893,381327.10521033814,381327.10521033814,381327.10521033814,381327.1052103381,0,-786519.1927338766,-774799.5829429775,-742593.1878195434,-767611.2372122635,23942.432682915558,-293494.8747456781,-289357.58467934764,-276597.95047010103,-286332.2007695525,9271.044133248963,0,0,0,0,0,0,0,0,0,0,657925.055680439,670684.6898896856,674821.9799560161,667659.3059798905,9271.04413324893,381327.10521033814,381327.10521033814,381327.10521033814,381327.1052103381,0
20-34,Food_price,USD,-28677615.83878885,-28622029.38871756,-26723962.832411863,-27975545.14091601,1170782.075974273,0,0,0,0,0,-28677615.83878885,-28622029.38871756,-26723962.832411863,-27975545.14091601,1170782.075974273,-873725494.2159022,-872199782.8504021,-818793006.4871343,-853995900.3950449,32930688.46530977,-19120910.995643303,-19084099.04710227,-17822391.258128475,-18654311.032915335,778213.8762090434,-9556704.84314554,-9537930.341615295,-8901571.574283382,-9321234.108000675,392568.209607509,55106394.955237456,57004461.51154316,57060047.96161445,56357977.26374161,1170782.0759742795,28382432.122825608,28382432.122825608,28382432.122825608,28382432.122825608,0,37102368.899110906,38364076.688084684,38400888.63662574,37934288.673897766,778213.8762090382,19279977.64098243,19279977.64098243,19279977.64098243,19279977.64098243,0,18004026.056126554,18640384.82345847,18659159.324988715,18423688.58984385,392568.20960751065,9102454.481843175,9102454.481843175,9102454.481843175,9102454.481843175,0,-19120910.995643303,-19084099.04710227,-17822391.258128475,-18654311.032915335,778213.8762090434,-9556704.84314554,-9537930.341615295,-8901571.574283382,-9321234.108000675,392568.209607509,0,0,0,0,0,0,0,0,0,0,18004026.056126554,18640384.82345847,18659159.324988715,18423688.58984385,392568.20960751065,9102454.481843175,9102454.481843175,9102454.481843175,9102454.481843175,0
35-44,CED,MJ,-19521578.859795447,-18843251.818179104,-18727407.967536066,-19040614.341327634,451580.74248852854,0,0,0,0,0,-19521578.859795447,-18843251.818179104,-18727407.967536066,-19040614.341327634,451580.74248852854,-485350966.54291487,-472949100.41375387,-472522129.59979916,-477150818.0682122,7670110.168997083,-14392295.655492455,-13888464.088359443,-13794009.376955142,-14032105.090369517,338568.60487807565,-5129283.204302991,-4954787.729819659,-4933398.59058092,-5008509.250958112,113108.47373300165,43050061.72483479,43165905.57547784,43844232.61709417,43363268.09862636,451580.7424885269,24322653.757298723,24322653.757298723,24322653.757298723,24322653.757298723,0,32348546.34174819,32443001.053152476,32946832.6202855,32586642.05516256,338568.60487807664,18554536.964793038,18554536.964793038,18554536.964793038,18554536.964793038,0,10701515.383086609,10722904.52232535,10897399.996808678,10776626.043463802,113108.47373299938,5768116.79250569,5768116.79250569,5768116.79250569,5768116.79250569,0,-14392295.655492455,-13888464.088359443,-13794009.376955142,-14032105.090369517,338568.60487807565,-5129283.204302991,-4954787.729819659,-4933398.59058092,-5008509.250958112,113108.47373300165,0,0,0,0,0,0,0,0,0,0,10701515.383086609,10722904.52232535,10897399.996808678,10776626.043463802,113108.47373299938,5768116.79250569,5768116.79250569,5768116.79250569,5768116.79250569,0
35-44,FL,mrh-eq,-624787.3829345786,-606421.2843522818,-604604.5594663192,-612228.0821404692,11752.765766291413,0,0,0,0,0,-624787.3829345786,-606421.2843522818,-604604.5594663192,-612228.0821404692,11752.765766291413,-485350966.54291487,-472949100.41375387,-472522129.59979916,-477150818.0682122,7670110.168997083,-453379.0853406716,-439781.81511121214,-438104.12556274433,-443964.12412208645,8817.685537198719,-171408.2975939067,-166639.4692410696,-166500.43390357474,-168263.95801838266,2941.3529053025445,1467160.6482907888,1468977.3731767517,1487343.471759049,1474784.1709649393,11752.765766291719,862556.0888244701,862556.0888244701,862556.0888244701,862556.0888244701,0,1096904.569716265,1098582.2592647327,1112179.5294941922,1102764.568275607,8817.685537198658,658800.4441535209,658800.4441535209,658800.4441535209,658800.4441535209,0,370256.07857452385,370395.11391201866,375163.94226485596,372019.6026893318,2941.3529053026277,203755.6446709491,203755.6446709491,203755.6446709491,203755.6446709491,0,-453379.0853406716,-439781.81511121214,-438104.12556274433,-443964.12412208645,8817.685537198719,-171408.2975939067,-166639.4692410696,-166500.43390357474,-168263.95801838266,2941.3529053025445,0,0,0,0,0,0,0,0,0,0,370256.07857452385,370395.11391201866,375163.94226485596,372019.6026893318,2941.3529053026277,203755.6446709491,203755.6446709491,203755.6446709491,203755.6446709491,0
35-44,Food_price,USD,-15963510.226083286,-15896428.444268558,-15652128.06648085,-15834246.480769267,172506.09975289035,0,0,0,0,0,-15963510.226083286,-15896428.444268558,-15652128.06648085,-15834246.480769267,172506.09975289035,-485350966.54291487,-472949100.41375387,-472522129.59979916,-477150818.0682122,7670110.168997083,-10649906.79075636,-10600455.827111201,-10438474.074719599,-10560971.339831749,116415.59528782223,-5313603.4353269255,-5295972.617157357,-5213653.991761253,-5273275.140937519,56157.497006960926,29702987.87764678,29947288.25543449,30014370.03724922,29885106.2919352,172506.0997528893,14050859.811165923,14050859.811165923,14050859.811165923,14050859.811165923,0,19990614.6219602,20152596.374351807,20202047.337996967,20113111.88707235,116415.59528782612,9552140.547240604,9552140.547240604,9552140.547240604,9552140.547240604,0,9712373.255686576,9794691.881082676,9812322.69925225,9771994.404862842,56157.49700696071,4498719.2639253205,4498719.2639253205,4498719.2639253205,4498719.2639253205,0,-10649906.79075636,-10600455.827111201,-10438474.074719599,-10560971.339831749,116415.59528782223,-5313603.4353269255,-5295972.617157357,-5213653.991761253,-5273275.140937519,56157.497006960926,0,0,0,0,0,0,0,0,0,0,9712373.255686576,9794691.881082676,9812322.69925225,9771994.404862842,56157.49700696071,4498719.2639253205,4498719.2639253205,4498719.2639253205,4498719.2639253205,0
45-54,CED,MJ,-17105547.76451084,-16356642.374346366,-15781003.530722022,-16417437.653834132,699113.9081037622,0,0,0,0,0,-17105547.76451084,-16356642.374346366,-15781003.530722022,-16417437.653834132,699113.9081037622,-435322182.54707015,-421375650.95296687,-387244314.7890071,-414293263.38459617,26036891.293292183,-12622772.280775957,-12095735.84967229,-11662008.418919835,-12128475.849795522,506459.4905216838,-4482775.483734884,-4260906.5246740775,-4118995.1118021896,-4288961.804038611,192998.80780877126,37653367.160932034,38229006.00455638,38977911.39472085,38289801.28404415,699113.9081037593,21872363.630210016,21872363.630210016,21872363.630210016,21872363.630210016,0,28392375.82316166,28826103.253914114,29353139.685017787,28858843.25403735,506459.49052168394,16730367.404241823,16730367.404241823,16730367.404241823,16730367.404241823,0,9260991.337770374,9402902.750642262,9624771.709703073,9430958.030006796,192998.80780877254,5141996.225968183,5141996.225968183,5141996.225968183,5141996.225968183,0,-12622772.280775957,-12095735.84967229,-11662008.418919835,-12128475.849795522,506459.4905216838,-4482775.483734884,-4260906.5246740775,-4118995.1118021896,-4288961.804038611,192998.80780877126,0,0,0,0,0,0,0,0,0,0,9260991.337770374,9402902.750642262,9624771.709703073,9430958.030006796,192998.80780877254,5141996.225968183,5141996.225968183,5141996.225968183,5141996.225968183,0
45-54,FL,mrh-eq,-555687.226160118,-531373.9992838223,-505397.4251696625,-530790.3686740454,26473.141801517715,0,0,0,0,0,-555687.226160118,-531373.9992838223,-505397.4251696625,-530790.3686740454,26473.141801517715,-435322182.54707015,-421375650.95296687,-387244314.7890071,-414293263.38459617,26036891.293292183,-403584.3190815038,-386969.8914449973,-367470.648095654,-385957.67540540546,19027.398862477366,-152102.90707861425,-144404.10783882492,-137926.77707400854,-144832.69326864,7470.347481957045,1293910.6179282842,1319887.1920424434,1344200.4189187398,1319303.5614326668,26473.141801517828,788513.1927586215,788513.1927586215,788513.1927586215,788513.1927586215,0,972267.6626664016,991766.906015745,1008381.3336522516,990754.6899761533,19027.398862477483,604797.0145707476,604797.0145707476,604797.0145707476,604797.0145707476,0,321642.95526188257,328120.28602669894,335819.08526648826,328548.871456514,7470.347481957015,183716.178187874,183716.178187874,183716.178187874,183716.178187874,0,-403584.3190815038,-386969.8914449973,-367470.648095654,-385957.67540540546,19027.398862477366,-152102.90707861425,-144404.10783882492,-137926.77707400854,-144832.69326864,7470.347481957045,0,0,0,0,0,0,0,0,0,0,321642.95526188257,328120.28602669894,335819.08526648826,328548.871456514,7470.347481957015,183716.178187874,183716.178187874,183716.178187874,183716.178187874,0
45-54,Food_price,USD,-12859103.381148765,-12223014.903589558,-11392207.560041146,-12154692.494470539,774314.428053781,0,0,0,0,0,-12859103.381148765,-12223014.903589558,-11392207.560041146,-12154692.494470539,774314.428053781,-435322182.54707015,-421375650.95296687,-387244314.7890071,-414293263.38459617,26036891.293292183,-8590413.595330905,-8169847.978099585,-7604758.353220459,-8119137.799977548,520621.4730120318,-4268689.7858178625,-4053166.9254899723,-3787449.2068206854,-4035554.6944929906,253743.35199539445,22351995.554718234,23182802.89826665,23818891.375825856,23114480.48914763,774314.428053783,10959787.994677095,10959787.994677095,10959787.994677095,10959787.994677095,0,15147672.994311763,15712762.619190888,16133328.236422207,15662052.441068852,520621.47301202954,7542914.641091303,7542914.641091303,7542914.641091303,7542914.641091303,0,7204322.560406475,7470040.27907576,7685563.139403652,7452428.04807878,253743.3519953944,3416873.353585789,3416873.353585789,3416873.353585789,3416873.353585789,0,-8590413.595330905,-8169847.978099585,-7604758.353220459,-8119137.799977548,520621.4730120318,-4268689.7858178625,-4053166.9254899723,-3787449.2068206854,-4035554.6944929906,253743.35199539445,0,0,0,0,0,0,0,0,0,0,7204322.560406475,7470040.27907576,7685563.139403652,7452428.04807878,253743.3519953944,3416873.353585789,3416873.353585789,3416873.353585789,3416873.353585789,0
55-64,CED,MJ,-19274234.498141386,-19243399.214046523,-18822206.32002355,-19106431.63161561,265840.27394784545,0,0,0,0,0,-19274234.498141386,-19243399.214046523,-18822206.32002355,-19106431.63161561,265840.27394784545,-494949249.07108784,-482423545.4776282,-477320265.7453952,-485027904.72718143,9548609.830839364,-14210384.238060027,-14161217.909256358,-13905711.450203992,-14088817.86355506,172176.5430832086,-5081216.51296339,-5062885.468254581,-4915530.077992779,-5017613.768060549,95611.58822485806,42555255.72309955,42976448.61712253,43007283.90121738,42839481.03469161,265840.2739478472,23733049.40307599,23733049.40307599,23733049.40307599,23733049.40307599,0,31996343.06246775,32251849.521520115,32301015.850323778,32179449.475818817,172176.54308320765,18090631.612263754,18090631.612263754,18090631.612263754,18090631.612263754,0,10557947.868805023,10705303.25906682,10723634.303775627,10660031.55887279,95611.58822485476,5642417.79081224,5642417.79081224,5642417.79081224,5642417.79081224,0,-14210384.238060027,-14161217.909256358,-13905711.450203992,-14088817.86355506,172176.5430832086,-5081216.51296339,-5062885.468254581,-4915530.077992779,-5017613.768060549,95611.58822485806,0,0,0,0,0,0,0,0,0,0,10557947.868805023,10705303.25906682,10723634.303775627,10660031.55887279,95611.58822485476,5642417.79081224,5642417.79081224,5642417.79081224,5642417.79081224,0
