age_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,added_sugar,CED,MJ,-2019700.4972286338,-2017012.2733176134,-2012073.0766359372,-2016222.4583103657,4072.2867305573345,0,0,0,0,0,-2019700.4972286338,-2017012.2733176134,-2012073.0766359372,-2016222.4583103657,4072.2867305573345,-78349386.39939311,-78279192.58770722,-78045087.71808475,-78221679.93579964,167723.30720414114,-1336161.4224366555,-1334478.4570501735,-1331091.8384108709,-1333880.6839790083,2717.959166434998,-683539.0747919782,-682533.8162674399,-680981.2382250663,-682341.7743313573,1356.464034941029,3779581.7569796066,3784520.953661283,3787209.177572303,3783731.138654035,4072.2867305574605,1767508.6803436698,1767508.6803436698,1767508.6803436698,1767508.6803436698,0,2500225.2846108177,2503611.90325012,2505294.868636602,2503014.130178955,2717.959166434998,1169133.4461999466,1169133.4461999466,1169133.4461999466,1169133.4461999466,0,1279356.4723687894,1280909.050411163,1281914.3089357011,1280717.0084750804,1356.464034941029,598375.234143723,598375.234143723,598375.234143723,598375.234143723,0,-1336161.4224366555,-1334478.4570501735,-1331091.8384108709,-1333880.6839790083,2717.959166434998,-683539.0747919782,-682533.8162674399,-680981.2382250663,-682341.7743313573,1356.464034941029,0,0,0,0,0,0,0,0,0,0,1279356.4723687894,1280909.050411163,1281914.3089357011,1280717.0084750804,1356.464034941029,598375.234143723,598375.234143723,598375.234143723,598375.234143723,0
20-34,HIS,added_sugar,FL,mrh-eq,-80883.41391724252,-80645.57549733267,-80255.79420049231,-80592.26220718161,333.5372641756752,0,0,0,0,0,-80883.41391724252,-80645.57549733267,-80255.79420049231,-80592.26220718161,333.5372641756752,-78349386.39939311,-78279192.58770722,-78045087.71808475,-78221679.93579964,167723.30720414114,-53519.57506012497,-53358.4207531699,-53099.58931369464,-53324.14807509264,223.02894814599236,-27363.83885711757,-27287.154744162763,-27156.204886797674,-27268.114132088976,110.51811494588966,150166.58690635418,150556.36820319455,150794.2066231044,150503.05491304348,333.5372641756752,69910.79270586188,69910.79270586188,69910.79270586188,69910.79270586188,0,99348.18985294535,99607.0212924206,99768.17559937565,99572.74861434333,223.02894814598844,46248.60053925071,46248.60053925071,46248.60053925071,46248.60053925071,0,50818.39705340886,50949.34691077394,51026.03102372875,50930.30629870016,110.51811494588576,23662.192166611178,23662.192166611178,23662.192166611178,23662.192166611178,0,-53519.57506012497,-53358.4207531699,-53099.58931369464,-53324.14807509264,223.02894814599236,-27363.83885711757,-27287.154744162763,-27156.204886797674,-27268.114132088976,110.51811494588966,0,0,0,0,0,0,0,0,0,0,50818.39705340886,50949.34691077394,51026.03102372875,50930.30629870016,110.51811494588576,23662.192166611178,23662.192166611178,23662.192166611178,23662.192166611178,0
20-34,HIS,added_sugar,Food_price,USD,-4837029.3179326,-4821489.330297956,-4819540.627012344,-4826258.201999371,10088.646519868325,0,0,0,0,0,-4837029.3179326,-4821489.330297956,-4819540.627012344,-4826258.201999371,10088.646519868325,-78349386.39939311,-78279192.58770722,-78045087.71808475,-78221679.93579964,167723.30720414114,-3199785.277632502,-3189448.9778414415,-3188444.134087183,-3192723.1729420736,6608.2902304901045,-1637244.040300097,-1632040.352456515,-1631096.4929251608,-1633535.0290572967,3484.8723788473308,9074136.016696312,9076084.719981924,9091624.707616566,9080853.591683337,10088.646519868324,4254595.389683967,4254595.389683967,4254595.389683967,4254595.389683967,0,6002505.234294526,6003510.078048784,6013846.377839844,6006784.273149416,6608.290230489836,2814061.1002073428,2814061.1002073428,2814061.1002073428,2814061.1002073423,0,3071630.7824017857,3072574.64193314,3077778.329776722,3074069.3185339216,3484.872378847281,1440534.2894766247,1440534.2894766247,1440534.2894766247,1440534.2894766247,0,-3199785.277632502,-3189448.9778414415,-3188444.134087183,-3192723.1729420736,6608.2902304901045,-1637244.040300097,-1632040.352456515,-1631096.4929251608,-1633535.0290572967,3484.8723788473308,0,0,0,0,0,0,0,0,0,0,3071630.7824017857,3072574.64193314,3077778.329776722,3074069.3185339216,3484.872378847281,1440534.2894766247,1440534.2894766247,1440534.2894766247,1440534.2894766247,0
20-34,HIS,oil,CED,MJ,26024.568495971118,101188.37435753745,129541.10305903992,84763.43500312908,56308.653203143185,0,0,0,0,0,26024.568495971118,101188.37435753745,129541.10305903992,84763.43500312908,56308.653203143185,2978099.654100681,11066384.649447624,14202912.855750347,9328926.126975967,6096403.05022914,21926.154920045446,84737.19946141013,108516.29733372485,71041.77957753296,47091.83494816062,4098.413575925665,16451.174896127322,21024.80572531506,13721.655425596118,9216.90568440877,1944145.1022191718,1972497.8309206744,2047661.6367822408,1988922.7702750827,56308.653203143214,2073686.2052782117,2073686.2052782117,2073686.2052782117,2073686.2052782115,0,1623742.8463939377,1647521.9442662522,1710332.988807617,1661217.3641501295,47091.83494816057,1732259.1437276625,1732259.1437276625,1732259.1437276625,1732259.1437276627,0,320402.25582523434,324975.88665442204,337328.6479746238,327705.4061249533,9216.905684408797,341427.06155054946,341427.06155054946,341427.06155054946,341427.06155054946,0,21926.154920045446,84737.19946141013,108516.29733372485,71041.77957753296,47091.83494816062,4098.413575925665,16451.174896127322,21024.80572531506,13721.655425596118,9216.90568440877,0,0,0,0,0,0,0,0,0,0,320402.25582523434,324975.88665442204,337328.6479746238,327705.4061249533,9216.905684408797,341427.06155054946,341427.06155054946,341427.06155054946,341427.06155054946,0
20-34,HIS,oil,FL,mrh-eq,1411.860658139498,5329.559802203155,6834.041495288508,4482.816836947609,2946.4872360368026,0,0,0,0,0,1411.860658139498,5329.559802203155,6834.041495288508,4482.816836947609,2946.4872360368026,2978099.654100681,11066384.649447624,14202912.855750347,9328926.126975967,6096403.05022914,1189.106269449738,4462.985734339213,5724.687848836323,3756.958593850663,2464.21027299857,222.7543886897601,866.5740678639413,1109.3536464521842,725.8582430969454,482.28142551361105,101056.09221211559,102560.57390520093,106478.27304926458,103407.31687045649,2946.4872360367867,107890.13370740408,107890.13370740408,107890.13370740408,107890.13370740408,0,84402.60919103766,85664.31130553476,88938.19077042425,86370.33844602332,2464.210272998575,90127.29703987399,90127.29703987399,90127.29703987399,90127.29703987397,0,16653.483021077915,16896.26259966616,17540.08227884034,17036.978424433157,482.2814255136108,17762.8366675301,17762.8366675301,17762.8366675301,17762.8366675301,0,1189.106269449738,4462.985734339213,5724.687848836323,3756.958593850663,2464.21027299857,222.7543886897601,866.5740678639413,1109.3536464521842,725.8582430969454,482.28142551361105,0,0,0,0,0,0,0,0,0,0,16653.483021077915,16896.26259966616,17540.08227884034,17036.978424433157,482.2814255136108,17762.8366675301,17762.8366675301,17762.8366675301,17762.8366675301,0
20-34,HIS,oil,Food_price,USD,-14857.98722052609,-14531.333411033836,-8798.249774734679,-12634.340489347203,3587.5893753505406,0,0,0,0,0,-14857.98722052609,-14531.333411033836,-8798.249774734679,-12634.340489347203,3587.5893753505406,2978099.654100681,11066384.649447624,14202912.855750347,9328926.126975967,6096403.05022914,-12391.986087199453,-12119.547472030434,-7337.991827695048,-10537.401146007147,2992.1520974598193,-2466.001133326637,-2411.7859390034037,-1460.2579470396297,-2096.9393433400564,595.4372778907222,234550.8546160343,240283.93825233344,240610.5920618257,238386.94533064682,3587.589375350524,225752.6048412996,225752.6048412996,225752.6048412996,225752.6048412996,0,195622.1178550535,200403.67349938888,200676.1121145579,198821.5271733656,2992.1520974598147,188284.12602735846,188284.12602735846,188284.12602735846,188284.12602735846,0,38928.73676098078,39880.264752944546,39934.47994726778,39565.4181572812,595.43727789072,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0,-12391.986087199453,-12119.547472030434,-7337.991827695048,-10537.401146007147,2992.1520974598193,-2466.001133326637,-2411.7859390034037,-1460.2579470396297,-2096.9393433400564,595.4372778907222,0,0,0,0,0,0,0,0,0,0,38928.73676098078,39880.264752944546,39934.47994726778,39565.4181572812,595.43727789072,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0
20-34,HIS,sat_fat,CED,MJ,-4674894.961158672,-4633255.09900431,-4265656.708710925,-4518883.685622197,237071.39074329106,0,0,0,0,0,-4674894.961158672,-4633255.09900431,-4265656.708710925,-4518883.685622197,237071.39074329106,-90074393.53994052,-89246318.33914006,-82185522.31397784,-87059398.7516447,4563592.691945428,-3572307.4049878144,-3540730.440162451,-3259624.8527076137,-3453176.537485443,181197.32819864916,-1102587.5561708573,-1092524.6588418589,-1006031.8560033104,-1065707.1481367536,55874.26538977595,9900180.08615589,10267778.476449274,10309418.338603636,10153407.06306716,237071.39074329054,5634523.377444965,5634523.377444965,5634523.377444965,5634523.377444965,0,7565280.547033122,7846386.134487959,7877963.099313322,7758832.23181095,181197.32819864922,4305655.694325509,4305655.694325509,4305655.694325509,4305655.694325509,0,2334899.5391227663,2421392.341961315,2431455.239290313,2394574.8312562094,55874.26538977608,1328867.683119456,1328867.683119456,1328867.683119456,1328867.683119456,0,-3572307.4049878144,-3540730.440162451,-3259624.8527076137,-3453176.537485443,181197.32819864916,-1102587.5561708573,-1092524.6588418589,-1006031.8560033104,-1065707.1481367536,55874.26538977595,0,0,0,0,0,0,0,0,0,0,2334899.5391227663,2421392.341961315,2431455.239290313,2394574.8312562094,55874.26538977608,1328867.683119456,1328867.683119456,1328867.683119456,1328867.683119456,0
20-34,HIS,sat_fat,FL,mrh-eq,-128474.0136550627,-127315.37341724738,-117225.34633456028,-124181.55347167833,6512.770468255825,0,0,0,0,0,-128474.0136550627,-127315.37341724738,-117225.34633456028,-124181.55347167833,6512.770468255825,-90074393.53994052,-89246318.33914006,-82185522.31397784,-87059398.7516447,4563592.691945428,-98172.30590641999,-97293.58735360586,-89577.71368272348,-94894.58555779245,4977.769013999275,-30301.70774864272,-30021.78606364152,-27647.63265183679,-29286.967913885892,1535.0070269721255,272068.5544037679,282158.58148645505,283317.2217242703,279024.76154088596,6512.770468255849,154843.2080692076,154843.2080692076,154843.2080692076,154843.2080692076,0,207901.21255213793,215617.08622302033,216495.80477583443,213218.0844272069,4977.769013999282,118323.49886941444,118323.49886941444,118323.49886941444,118323.49886941444,0,64167.34185162997,66541.4952634347,66821.41694843587,65806.67711367906,1535.0070269721205,36519.709199793186,36519.709199793186,36519.709199793186,36519.709199793186,0,-98172.30590641999,-97293.58735360586,-89577.71368272348,-94894.58555779245,4977.769013999275,-30301.70774864272,-30021.78606364152,-27647.63265183679,-29286.967913885892,1535.0070269721255,0,0,0,0,0,0,0,0,0,0,64167.34185162997,66541.4952634347,66821.41694843587,65806.67711367906,1535.0070269721205,36519.709199793186,36519.709199793186,36519.709199793186,36519.709199793186,0
20-34,HIS,sat_fat,Food_price,USD,-230377.86300885564,-228113.9871932607,-210179.459089087,-222615.51270604008,11648.498870423124,0,0,0,0,0,-230377.86300885564,-228113.9871932607,-210179.459089087,-222615.51270604008,11648.498870423124,-90074393.53994052,-89246318.33914006,-82185522.31397784,-87059398.7516447,4563592.691945428,-176031.63889381426,-174313.66143973463,-160599.79242520168,-170104.57668168083,8902.50398248376,-54346.2241150414,-53800.32575352609,-49579.666663885306,-52510.93602435925,2746.004840991492,487802.9455528844,505737.473657058,508001.3494726531,500238.99916983745,11648.498870423131,277623.4864637974,277623.4864637974,277623.4864637974,277623.4864637974,0,372734.2926146224,386448.1616291553,388166.139083235,382239.0768711015,8902.503982483766,212134.50018942068,212134.50018942068,212134.50018942068,212134.50018942068,0,115068.65293826199,119289.31202790278,119835.21038941809,117999.92229873594,2746.0048409914943,65488.986274376686,65488.986274376686,65488.986274376686,65488.986274376686,0,-176031.63889381426,-174313.66143973463,-160599.79242520168,-170104.57668168083,8902.50398248376,-54346.2241150414,-53800.32575352609,-49579.666663885306,-52510.93602435925,2746.004840991492,0,0,0,0,0,0,0,0,0,0,115068.65293826199,119289.31202790278,119835.21038941809,117999.92229873594,2746.0048409914943,65488.986274376686,65488.986274376686,65488.986274376686,65488.986274376686,0
20-34,NHB,added_sugar,CED,MJ,-1867193.8070847082,-1809477.5105777793,-1806340.0297835818,-1828627.9722313695,36067.539189684125,0,0,0,0,0,-1867193.8070847082,-1809477.5105777793,-1806340.0297835818,-1828627.9722313695,36067.539189684125,-71687873.53237695,-69460142.30716893,-69356576.48842955,-70205463.50242107,1386417.3055383305,-1235110.6661050078,-1196941.5784489075,-1194853.2275994448,-1209601.4861003591,23856.688993874563,-632083.1409797003,-612535.9321288718,-611486.8021841373,-619026.4861310101,12210.853135980624,3083100.563820225,3086238.0446144226,3143954.3411213513,3105388.506268013,36067.53918968427,1276760.5340366433,1276760.5340366433,1276760.5340366433,1276760.5340366433,0,2039444.7658822625,2041533.1167317256,2079702.2043878257,2054193.0243831773,23856.688993874573,844591.5382828179,844591.5382828179,844591.5382828179,844591.5382828178,0,1043655.7979379628,1044704.9278826972,1064252.1367335254,1051195.4818848353,12210.85313598049,432168.99575382535,432168.99575382535,432168.99575382535,432168.99575382535,0,-1235110.6661050078,-1196941.5784489075,-1194853.2275994448,-1209601.4861003591,23856.688993874563,-632083.1409797003,-612535.9321288718,-611486.8021841373,-619026.4861310101,12210.853135980624,0,0,0,0,0,0,0,0,0,0,1043655.7979379628,1044704.9278826972,1064252.1367335254,1051195.4818848353,12210.85313598049,432168.99575382535,432168.99575382535,432168.99575382535,432168.99575382535,0
