"","sex_gp","race_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","Female","HIS","added_sugar","CED","MJ",-0.319907447578468,-0.310607238229846,-0.291805515890813,-0.307273374022684,0.0150696580273076,0,0,0,0,0,-0.319907447578468,-0.310607238229846,-0.291805515890813,-0.307273374022684,0.0150696580273076,-12.7416565022771,-12.3740303753069,-11.630414601848,-12.2421041835565,0.595919015896008,-0.212259159190553,-0.20608692505021,-0.193620037218339,-0.20387827463213,0.00999479674779244,-0.107648288387915,-0.104520313179635,-0.098185478672474,-0.103395099390554,0.00507486200290647,0.572667443586249,0.591469165925281,0.600769375273904,0.58813530171812,0.0150696580273078,0.280861927695436,0.280861927695436,0.280861927695436,0.280861927695436,0,0.379993537131867,0.392460424963737,0.39863265910408,0.390251774545657,0.00999479674779213,0.186373499913527,0.186373499913527,0.186373499913527,0.186373499913527,0,0.192673906454383,0.199008740961544,0.202136716169824,0.197883527172463,0.00507486200290648,0.0944884277819091,0.0944884277819091,0.0944884277819091,0.0944884277819091,0,0,0,0,0,0,-0.107648288387915,-0.104520313179635,-0.098185478672474,-0.103395099390554,0.00507486200290647,0,0,0,0,0,0,0,0,0,0,0.192673906454383,0.199008740961544,0.202136716169824,0.197883527172463,0.00507486200290648,0.0944884277819091,0.0944884277819091,0.0944884277819091,0.0944884277819091,0
"2","Female","HIS","added_sugar","FL","mrh-eq",-0.0150971191031111,-0.0146651655545958,-0.0138086630299791,-0.0145162010015777,0.000690296749273349,0,0,0,0,0,-0.0150971191031111,-0.0146651655545958,-0.0138086630299791,-0.0145162010015777,0.000690296749273349,-12.7416565022771,-12.3740303753069,-11.630414601848,-12.2421041835565,0.595919015896008,-0.0100177437911265,-0.00973106897589319,-0.009163091152679,-0.00963236616607535,0.000457866986406036,-0.00507937531198454,-0.00493409657870257,-0.00464557187730006,-0.00488383483550238,0.000232429790075197,0.0271883306444404,0.0280448331690571,0.0284767867175724,0.0278958686160391,0.000690296749273343,0.0133796676144614,0.0133796676144614,0.0133796676144614,0.0133796676144614,0,0.0180422118920301,0.0186101897152442,0.0188968645304776,0.0185114869054264,0.000457866986406036,0.00887912073935106,0.00887912073935106,0.00887912073935106,0.00887912073935106,0,0.00914611875241036,0.00943464345381288,0.00957992218709485,0.00938438171061269,0.000232429790075198,0.0045005468751103,0.0045005468751103,0.0045005468751103,0.0045005468751103,0,0,0,0,0,0,-0.00507937531198454,-0.00493409657870257,-0.00464557187730006,-0.00488383483550238,0.000232429790075197,0,0,0,0,0,0,0,0,0,0,0.00914611875241036,0.00943464345381288,0.00957992218709485,0.00938438171061269,0.000232429790075198,0.0045005468751103,0.0045005468751103,0.0045005468751103,0.0045005468751103,0
"3","Female","HIS","added_sugar","Food_price","USD",-0.496078007211552,-0.468478267878902,-0.444448618297665,-0.469730930949573,0.0271950088770094,0,0,0,0,0,-0.496078007211552,-0.468478267878902,-0.444448618297665,-0.469730930949573,0.0271950088770094,-12.7416565022771,-12.3740303753069,-11.630414601848,-12.2421041835565,0.595919015896008,-0.329152406248766,-0.310829849873098,-0.294905671402282,-0.311671385980064,0.0180393249498283,-0.166925600962785,-0.157648418005804,-0.149542946895383,-0.158059544969509,0.00915569088188802,0.875086011976691,0.899115661557929,0.926715400890578,0.9003683246286,0.0271950088770094,0.430637393679026,0.430637393679026,0.430637393679026,0.430637393679026,0,0.580671243162626,0.596595421633442,0.614917978009111,0.597436957740408,0.0180393249498284,0.285765571760344,0.285765571760344,0.285765571760344,0.285765571760344,0,0.294414768814065,0.302520239924486,0.311797422881468,0.302931366888192,0.00915569088188806,0.144871821918682,0.144871821918682,0.144871821918682,0.144871821918682,0,0,0,0,0,0,-0.166925600962785,-0.157648418005804,-0.149542946895383,-0.158059544969509,0.00915569088188802,0,0,0,0,0,0,0,0,0,0,0.294414768814065,0.302520239924486,0.311797422881468,0.302931366888192,0.00915569088188806,0.144871821918682,0.144871821918682,0.144871821918682,0.144871821918682,0
"4","Female","HIS","oil","CED","MJ",-0.00717015149748827,-0.00694102907509405,-0.00144079771147256,-0.0050915171658915,0.00341444806313321,0,0,0,0,0,-0.00717015149748827,-0.00694102907509405,-0.00144079771147256,-0.0050915171658915,0.00341444806313321,-0.773351859630037,-0.750600721463882,-0.153220214807101,-0.54897638164261,0.37015739731512,-0.00599274287133316,-0.0058032814937834,-0.00120283517342504,-0.00425556747876284,0.00285517520163859,-0.00117740862615511,-0.00113774758131065,-0.000237962538047509,-0.000835949687128657,0.000559274208967341,0.302257573033337,0.307757804396959,0.307986926819353,0.305908292487756,0.00341444806313345,0.300816775321865,0.300816775321865,0.300816775321865,0.300816775321865,0,0.252477913071275,0.257078359391634,0.257267820769184,0.255530645376613,0.00285517520163863,0.251275077897851,0.251275077897851,0.251275077897851,0.251275077897851,0,0.049779659962062,0.0506794450053252,0.0507191060501696,0.0503776471111432,0.000559274208967346,0.0495416974240145,0.0495416974240145,0.0495416974240145,0.0495416974240145,0,0,0,0,0,0,-0.00117740862615511,-0.00113774758131065,-0.000237962538047509,-0.000835949687128657,0.000559274208967341,0,0,0,0,0,0,0,0,0,0,0.049779659962062,0.0506794450053252,0.0507191060501696,0.0503776471111432,0.000559274208967346,0.0495416974240145,0.0495416974240145,0.0495416974240145,0.0495416974240145,0
"5","Female","HIS","oil","FL","mrh-eq",-0.000354270223873754,-0.000346578330645178,-6.73182619667937e-05,-0.000251291251539982,0.000172101657573664,0,0,0,0,0,-0.000354270223873754,-0.000346578330645178,-6.73182619667937e-05,-0.000251291251539982,0.000172101657573664,-0.773351859630037,-0.750600721463882,-0.153220214807101,-0.54897638164261,0.37015739731512,-0.000296071732719081,-0.000289751387087638,-5.61784158089589e-05,-0.000210013623702643,0.000143909971843929,-5.81984911546733e-05,-5.6826943557539e-05,-1.11398461578352e-05,-4.12776278373392e-05,2.81917588809463e-05,0.0153619879834633,0.0156412480521416,0.0156489399453702,0.0155459609730365,0.000172101657573666,0.0152946697214965,0.0152946697214965,0.0152946697214965,0.0152946697214965,0,0.0128315984605185,0.0130651714317971,0.0130714917774286,0.0129854336684121,0.000143909971843932,0.0127754200447095,0.0127754200447095,0.0127754200447095,0.0127754200447095,0,0.00253038952294481,0.00257607662034451,0.00257744816794164,0.00256052730462431,2.81917588809469e-05,0.00251924967678697,0.00251924967678697,0.00251924967678697,0.00251924967678697,0,0,0,0,0,0,-5.81984911546733e-05,-5.6826943557539e-05,-1.11398461578352e-05,-4.12776278373392e-05,2.81917588809463e-05,0,0,0,0,0,0,0,0,0,0,0.00253038952294481,0.00257607662034451,0.00257744816794164,0.00256052730462431,2.81917588809469e-05,0.00251924967678697,0.00251924967678697,0.00251924967678697,0.00251924967678697,0
"6","Female","HIS","oil","Food_price","USD",-0.00573057701608838,-0.00475326146871944,-0.000965612663716394,-0.00376717962393554,0.00264928480143294,0,0,0,0,0,-0.00573057701608838,-0.00475326146871944,-0.000965612663716394,-0.00376717962393554,0.00264928480143294,-0.773351859630037,-0.750600721463882,-0.153220214807101,-0.54897638164261,0.37015739731512,-0.00479046436852323,-0.00397280661974261,-0.000807364328247486,-0.00314902256966735,0.00221443576708202,-0.000940112647565146,-0.000780454848976837,-0.000158248335468914,-0.0006181570542682,0.000434849261330498,0.215965756651488,0.21975340545649,0.220730721003859,0.218767323611707,0.00264928480143284,0.215000143987771,0.215000143987771,0.215000143987771,0.215000143987771,0,0.180412594458326,0.183578036749821,0.184395694498601,0.182754252699745,0.00221443576708204,0.179605230130078,0.179605230130078,0.179605230130078,0.179605230130078,0,0.0355531621931619,0.0361753687066699,0.0363350265052582,0.0360130709119612,0.000434849261330514,0.035394913857693,0.035394913857693,0.035394913857693,0.035394913857693,0,0,0,0,0,0,-0.000940112647565146,-0.000780454848976837,-0.000158248335468914,-0.0006181570542682,0.000434849261330498,0,0,0,0,0,0,0,0,0,0,0.0355531621931619,0.0361753687066699,0.0363350265052582,0.0360130709119612,0.000434849261330514,0.035394913857693,0.035394913857693,0.035394913857693,0.035394913857693,0
"7","Female","HIS","sat_fat","CED","MJ",-0.719582315077959,-0.710343182706638,-0.699524699289592,-0.70978902444498,0.01056754296287,0,0,0,0,0,-0.719582315077959,-0.710343182706638,-0.699524699289592,-0.70978902444498,0.01056754296287,-13.8757853510878,-13.6865118793142,-13.4804980094101,-13.6806380554088,0.208108149045425,-0.555025696056145,-0.547875358878326,-0.539517768012193,-0.547451761092952,0.00817030724129133,-0.164556619021815,-0.162467823828312,-0.160006931277399,-0.162337263352028,0.00239724049109744,1.63296104048189,1.64377952389894,1.65301865627026,1.64322536563728,0.0105675429628705,0.9334363411923,0.9334363411923,0.9334363411923,0.9334363411923,0,1.25952285814055,1.26788044900668,1.2750307861845,1.26745685122131,0.00817030724129077,0.720005090128354,0.720005090128354,0.720005090128354,0.720005090128354,0,0.373438182341345,0.375899074892259,0.377987870085761,0.375768514415974,0.00239724049109751,0.213431251063947,0.213431251063947,0.213431251063947,0.213431251063947,0,0,0,0,0,0,-0.164556619021815,-0.162467823828312,-0.160006931277399,-0.162337263352028,0.00239724049109744,0,0,0,0,0,0,0,0,0,0,0.373438182341345,0.375899074892259,0.377987870085761,0.375768514415974,0.00239724049109751,0.213431251063947,0.213431251063947,0.213431251063947,0.213431251063947,0
"8","Female","HIS","sat_fat","FL","mrh-eq",-0.0194024835064803,-0.0191604860875761,-0.0188684204700445,-0.019142918298584,0.000281497250843075,0,0,0,0,0,-0.0194024835064803,-0.0191604860875761,-0.0188684204700445,-0.019142918298584,0.000281497250843075,-13.8757853510878,-13.6865118793142,-13.4804980094101,-13.6806380554088,0.208108149045425,-0.0149645626307465,-0.0147772261447973,-0.0145516312585621,-0.014763802144697,0.000217643014951167,-0.0044379208757338,-0.00438325994277879,-0.00431678921148241,-0.00437911615388708,6.38544278686327e-05,0.0440314863329889,0.0443235519505204,0.0445655493694247,0.0443059841615284,0.000281497250843073,0.0251630658629444,0.0251630658629444,0.0251630658629444,0.0251630658629444,0,0.0339599936964428,0.034185588582678,0.0343729250686272,0.0341721645825777,0.000217643014951144,0.0194083624378807,0.0194083624378807,0.0194083624378807,0.0194083624378807,0,0.0100714926365461,0.0101379633678425,0.0101926243007975,0.0101338195789507,6.38544278686395e-05,0.00575470342506366,0.00575470342506366,0.00575470342506366,0.00575470342506366,0,0,0,0,0,0,-0.0044379208757338,-0.00438325994277879,-0.00431678921148241,-0.00437911615388708,6.38544278686327e-05,0,0,0,0,0,0,0,0,0,0,0.0100714926365461,0.0101379633678425,0.0101926243007975,0.0101338195789507,6.38544278686395e-05,0.00575470342506366,0.00575470342506366,0.00575470342506366,0.00575470342506366,0
"9","Female","HIS","sat_fat","Food_price","USD",-0.0896388556466994,-0.0889418113024043,-0.0863990386241644,-0.0882941873255816,0.00179503666017724,0,0,0,0,0,-0.0896388556466994,-0.0889418113024043,-0.0863990386241644,-0.0882941873255816,0.00179503666017724,-13.8757853510878,-13.6865118793142,-13.4804980094101,-13.6806380554088,0.208108149045425,-0.0690815954226405,-0.068538559901457,-0.0665774071986889,-0.0680409749254624,0.00138665091806567,-0.0205572602240588,-0.0204032514009474,-0.0198216314254755,-0.0202532124001191,0.000408395333511295,0.201487097664841,0.204029870343081,0.204726914687377,0.203382246366259,0.00179503666017736,0.115088059040677,0.115088059040677,0.115088059040677,0.115088059040677,0,0.155277121345416,0.157238274048184,0.157781309569368,0.15674068907219,0.00138665091806568,0.0886997141467272,0.0886997141467272,0.0886997141467272,0.0886997141467272,0,0.0462099763194254,0.0467915962948972,0.0469456051180085,0.046641557294069,0.000408395333511275,0.0263883448939498,0.0263883448939498,0.0263883448939498,0.0263883448939498,0,0,0,0,0,0,-0.0205572602240588,-0.0204032514009474,-0.0198216314254755,-0.0202532124001191,0.000408395333511295,0,0,0,0,0,0,0,0,0,0,0.0462099763194254,0.0467915962948972,0.0469456051180085,0.046641557294069,0.000408395333511275,0.0263883448939498,0.0263883448939498,0.0263883448939498,0.0263883448939498,0
"10","Female","NHB","added_sugar","CED","MJ",-0.441498967317589,-0.441293093715801,-0.426453667023704,-0.436158513684114,0.00908167545509606,0,0,0,0,0,-0.441498967317589,-0.441293093715801,-0.426453667023704,-0.436158513684114,0.00908167545509606,-17.3055914572113,-17.3010094012687,-16.7079762530777,-17.0945353338131,0.361808640826126,-0.292442545287101,-0.292308383559967,-0.282410703067969,-0.28888258750212,0.00605636706697263,-0.149056422030489,-0.148984710155835,-0.144042963955736,-0.147275926181994,0.00302530906112451,0.713146735203099,0.727986161895197,0.728192035496985,0.722851581863509,0.00908167545509654,0.286693068179396,0.286693068179396,0.286693068179396,0.286693068179396,0,0.472294979869301,0.482192660361299,0.482326822088433,0.478766864303452,0.00605636706697269,0.189884276801333,0.189884276801333,0.189884276801333,0.189884276801333,0,0.240851755333799,0.245793501533898,0.245865213408552,0.244084717560057,0.00302530906112452,0.096808791378063,0.096808791378063,0.096808791378063,0.096808791378063,0,0,0,0,0,0,-0.149056422030489,-0.148984710155835,-0.144042963955736,-0.147275926181994,0.00302530906112451,0,0,0,0,0,0,0,0,0,0,0.240851755333799,0.245793501533898,0.245865213408552,0.244084717560057,0.00302530906112452,0.096808791378063,0.096808791378063,0.096808791378063,0.096808791378063,0
