"","age_gp","sex_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","CED","MJ",-1.16910721015376,-1.14704921230847,-1.14312833190531,-1.15341311316536,0.0147420459930179,0,0,0,0,0,-1.16910721015376,-1.14704921230847,-1.14312833190531,-1.15341311316536,0.0147420459930179,-32.168615268162,-31.852679712117,-30.8788781185228,-31.6218495235033,0.707632408762911,-0.87137492079114,-0.856687821041496,-0.853433939208112,-0.86069947645071,0.0100614682039937,-0.297732289362617,-0.290361391266975,-0.289694392697196,-0.292713636714646,0.00469538994419583,2.6414464760861,2.64536735648926,2.66742535433454,2.65173125734614,0.0147420459930183,1.49831814418079,1.49831814418079,1.49831814418079,1.49831814418079,0,2.002983016576,2.00623689840939,2.02092399815903,2.0102485538186,0.0100614682039933,1.14954907736789,1.14954907736789,1.14954907736789,1.14954907736789,0,0.638463459510091,0.63913045807987,0.646501356175512,0.641482703527541,0.00469538994419587,0.348769066812895,0.348769066812895,0.348769066812895,0.348769066812895,0,0,0,0,0,0,-0.297732289362617,-0.290361391266975,-0.289694392697196,-0.292713636714646,0.00469538994419583,0,0,0,0,0,0,0,0,0,0,0.638463459510091,0.63913045807987,0.646501356175512,0.641482703527541,0.00469538994419587,0.348769066812895,0.348769066812895,0.348769066812895,0.348769066812895,0
"2","20-34","Female","FL","mrh-eq",-0.0376809077704322,-0.0368435403712396,-0.0365596240609103,-0.037037733735753,0.000613644455656248,0,0,0,0,0,-0.0376809077704322,-0.0368435403712396,-0.0365596240609103,-0.037037733735753,0.000613644455656248,-32.168615268162,-31.852679712117,-30.8788781185228,-31.6218495235033,0.707632408762911,-0.0276372803445683,-0.0270905214398148,-0.0268707240102495,-0.0272052447644422,0.000415503971190152,-0.0100436274258639,-0.00975301893142478,-0.00968890005066083,-0.00983248897131081,0.000198979872323455,0.0891337819809623,0.0894176982912916,0.0902550656904841,0.089611891655805,0.000613644455656241,0.0525741579200519,0.0525741579200519,0.0525741579200519,0.0525741579200519,0,0.0671967194881999,0.0674165169177652,0.0679632758225187,0.0675312402423926,0.000415503971190163,0.0403259954779504,0.0403259954779504,0.0403259954779504,0.0403259954779504,0,0.0219370624927624,0.0220011813735263,0.0222917898679655,0.0220806514134124,0.00019897987232346,0.0122481624421015,0.0122481624421015,0.0122481624421015,0.0122481624421015,0,0,0,0,0,0,-0.0100436274258639,-0.00975301893142478,-0.00968890005066083,-0.00983248897131081,0.000198979872323455,0,0,0,0,0,0,0,0,0,0,0.0219370624927624,0.0220011813735263,0.0222917898679655,0.0220806514134124,0.00019897987232346,0.0122481624421015,0.0122481624421015,0.0122481624421015,0.0122481624421015,0
"3","20-34","Female","Food_price","USD",-0.786927986714425,-0.761507223434077,-0.726116082335558,-0.758008845252263,0.0321493392822808,0,0,0,0,0,-0.786927986714425,-0.761507223434077,-0.726116082335558,-0.758008845252263,0.0321493392822808,-32.168615268162,-31.852679712117,-30.8788781185228,-31.6218495235033,0.707632408762911,-0.536217946556311,-0.519629929642255,-0.495017719756212,-0.516814423336295,0.021820986911806,-0.250710040158114,-0.241877293791822,-0.231098362579346,-0.241194421915968,0.0103388630595615,1.60936636611296,1.64475750721148,1.67017827049182,1.64125912902966,0.0321493392822808,0.8832502837774,0.8832502837774,0.8832502837774,0.8832502837774,0,1.13016579515918,1.15477800504522,1.17136602195928,1.15196249873926,0.0218209869118066,0.635148075402967,0.635148075402967,0.635148075402967,0.635148075402967,0,0.47920057095378,0.489979502166255,0.498812248532548,0.489296630290402,0.0103388630595618,0.248102208374433,0.248102208374433,0.248102208374433,0.248102208374433,0,0,0,0,0,0,-0.250710040158114,-0.241877293791822,-0.231098362579346,-0.241194421915968,0.0103388630595615,0,0,0,0,0,0,0,0,0,0,0.47920057095378,0.489979502166255,0.498812248532548,0.489296630290402,0.0103388630595618,0.248102208374433,0.248102208374433,0.248102208374433,0.248102208374433,0
"4","20-34","Male","CED","MJ",-0.996431343255514,-0.971171397854435,-0.960411090162112,-0.976258990032946,0.0194632864427535,0,0,0,0,0,-0.996431343255514,-0.971171397854435,-0.960411090162112,-0.976258990032946,0.0194632864427535,-22.2262985953448,-21.2958614037088,-21.2852081456452,-21.618592608471,0.568726054299332,-0.733875984961803,-0.714377868507008,-0.70633738616804,-0.718398091003789,0.0149062959614167,-0.262555358293711,-0.256793529347427,-0.254073703994072,-0.257860899029156,0.00455872895444207,2.47987280780532,2.49063311549764,2.51589306089872,2.49572070767615,0.0194632864427527,1.5194617176432,1.5194617176432,1.5194617176432,1.5194617176432,0,1.85899625798757,1.86703674032654,1.88653485678133,1.87105696282332,0.0149062959614176,1.15265887181953,1.15265887181953,1.15265887181953,1.15265887181953,0,0.620876549817744,0.623596375171099,0.629358204117383,0.624663744852829,0.00455872895444208,0.366802845823672,0.366802845823672,0.366802845823672,0.366802845823672,0,0,0,0,0,0,-0.262555358293711,-0.256793529347427,-0.254073703994072,-0.257860899029156,0.00455872895444207,0,0,0,0,0,0,0,0,0,0,0.620876549817744,0.623596375171099,0.629358204117383,0.624663744852829,0.00455872895444208,0.366802845823672,0.366802845823672,0.366802845823672,0.366802845823672,0
"5","20-34","Male","FL","mrh-eq",-0.0297810901121392,-0.0289665386201659,-0.0287428023689357,-0.0291738422134091,0.000575202157385521,0,0,0,0,0,-0.0297810901121392,-0.0289665386201659,-0.0287428023689357,-0.0291738422134091,0.000575202157385521,-22.2262985953448,-21.2958614037088,-21.2852081456452,-21.618592608471,0.568726054299332,-0.0216379555831623,-0.021004583386989,-0.02084086556611,-0.0211693743958642,0.00044313088200443,-0.00814313452897684,-0.00796195523317685,-0.00790193680282571,-0.00800446781754487,0.0001321772309098,0.0812177538832512,0.0814414901344813,0.0822560416264546,0.0816487937277245,0.000575202157385488,0.0524749515143155,0.0524749515143155,0.0524749515143155,0.0524749515143155,0,0.0608456838787229,0.0610094016996019,0.0616427738957753,0.0611741927084771,0.000443130882004433,0.0400048183126129,0.0400048183126129,0.0400048183126129,0.0400048183126129,0,0.0203720700045283,0.0204320884348794,0.0206132677306795,0.0204746010192475,0.000132177230909811,0.0124701332017026,0.0124701332017026,0.0124701332017026,0.0124701332017026,0,0,0,0,0,0,-0.00814313452897684,-0.00796195523317685,-0.00790193680282571,-0.00800446781754487,0.0001321772309098,0,0,0,0,0,0,0,0,0,0,0.0203720700045283,0.0204320884348794,0.0206132677306795,0.0204746010192475,0.000132177230909811,0.0124701332017026,0.0124701332017026,0.0124701332017026,0.0124701332017026,0
"6","20-34","Male","Food_price","USD",-0.553909394352137,-0.548477849016849,-0.541839157802342,-0.548054289059228,0.00636333733786816,0,0,0,0,0,-0.553909394352137,-0.548477849016849,-0.541839157802342,-0.548054289059228,0.00636333733786816,-22.2262985953448,-21.2958614037088,-21.2852081456452,-21.618592608471,0.568726054299332,-0.372394933437857,-0.368918610744886,-0.364204307816517,-0.368484231714922,0.00432723812328705,-0.181514460914281,-0.179559238271964,-0.177634849985825,-0.179570057344307,0.00204192198549287,1.39624004907204,1.40287874028655,1.40831028562184,1.40245518032893,0.00636333733786895,0.854400891269699,0.854400891269699,0.854400891269699,0.854400891269699,0,0.973667489165934,0.978381792094302,0.981858114787273,0.977947413064338,0.00432723812328668,0.609463181349416,0.609463181349416,0.609463181349416,0.609463181349416,0,0.422572559906108,0.424496948192247,0.426452170834564,0.42450776726459,0.00204192198549285,0.244937709920283,0.244937709920283,0.244937709920283,0.244937709920283,0,0,0,0,0,0,-0.181514460914281,-0.179559238271964,-0.177634849985825,-0.179570057344307,0.00204192198549287,0,0,0,0,0,0,0,0,0,0,0.422572559906108,0.424496948192247,0.426452170834564,0.42450776726459,0.00204192198549285,0.244937709920283,0.244937709920283,0.244937709920283,0.244937709920283,0
"7","35-44","Female","CED","MJ",-1.2148536349538,-1.20282078881951,-1.12901734530913,-1.18114689500334,0.0489211517793808,0,0,0,0,0,-1.2148536349538,-1.20282078881951,-1.12901734530913,-1.18114689500334,0.0489211517793808,-34.4568955923285,-34.080605405655,-31.1621019775414,-33.1886007595357,1.89838447761399,-0.90745422014124,-0.901420065560819,-0.843462411787602,-0.883201293914224,0.0371924499848476,-0.307399414812558,-0.301400723258693,-0.285554933521525,-0.297945601089113,0.011880092799188,2.63193477339931,2.7057382169097,2.71777106304399,2.68406432309352,0.0489211517793815,1.50291742809019,1.50291742809019,1.50291742809019,1.50291742809019,0,1.99605346290937,2.05401111668258,2.060045271263,2.03579234503599,0.0371924499848475,1.15259105112176,1.15259105112176,1.15259105112176,1.15259105112176,0,0.635881310489948,0.651727100227115,0.657725791780982,0.648271978057536,0.011880092799188,0.350326376968423,0.350326376968423,0.350326376968423,0.350326376968423,0,0,0,0,0,0,-0.307399414812558,-0.301400723258693,-0.285554933521525,-0.297945601089113,0.011880092799188,0,0,0,0,0,0,0,0,0,0,0.635881310489948,0.651727100227115,0.657725791780982,0.648271978057536,0.011880092799188,0.350326376968423,0.350326376968423,0.350326376968423,0.350326376968423,0
"8","35-44","Female","FL","mrh-eq",-0.0401514781367811,-0.0396158021341532,-0.037110971234127,-0.0389248705912064,0.00170847698250297,0,0,0,0,0,-0.0401514781367811,-0.0396158021341532,-0.037110971234127,-0.0389248705912064,0.00170847698250297,-34.4568955923285,-34.080605405655,-31.1621019775414,-33.1886007595357,1.89838447761399,-0.0294871910082073,-0.0292251296068734,-0.0272506569156437,-0.0286242835402433,0.0012870046776854,-0.0106642871285738,-0.0103906725272799,-0.00986031431848327,-0.0103005870509632,0.000430275536931021,0.0899743914821094,0.0924792223821357,0.0930148983847635,0.0917882908391889,0.00170847698250297,0.0528634202479824,0.0528634202479824,0.0528634202479824,0.0528634202479824,0,0.0676571635882666,0.0696316362794963,0.0698936976808302,0.0690307902128662,0.00128700467768541,0.0404065066726229,0.0404065066726229,0.0404065066726229,0.0404065066726229,0,0.0223172278938428,0.0228475861026394,0.0231212007039333,0.0227575006263227,0.000430275536931023,0.0124569135753595,0.0124569135753595,0.0124569135753595,0.0124569135753595,0,0,0,0,0,0,-0.0106642871285738,-0.0103906725272799,-0.00986031431848327,-0.0103005870509632,0.000430275536931021,0,0,0,0,0,0,0,0,0,0,0.0223172278938428,0.0228475861026394,0.0231212007039333,0.0227575006263227,0.000430275536931023,0.0124569135753595,0.0124569135753595,0.0124569135753595,0.0124569135753595,0
"9","35-44","Female","Food_price","USD",-0.672906402501795,-0.667812062897886,-0.62862344306531,-0.655849157554494,0.0255057095950221,0,0,0,0,0,-0.672906402501795,-0.667812062897886,-0.62862344306531,-0.655849157554494,0.0255057095950221,-34.4568955923285,-34.080605405655,-31.1621019775414,-33.1886007595357,1.89838447761399,-0.460715924054985,-0.458116569645042,-0.42946421353822,-0.448975165540874,0.0182543007191463,-0.212190478446809,-0.209695493252844,-0.19915922952709,-0.20687399201362,0.00728082332797812,1.36565632587675,1.40484494570933,1.40993928531324,1.39288204036594,0.0255057095950219,0.737032882811441,0.737032882811441,0.737032882811441,0.737032882811441,0,0.957038169601331,0.985690525708153,0.988289880118096,0.976549121603985,0.0182543007191463,0.527573956063111,0.527573956063111,0.527573956063111,0.527573956063111,0,0.40861815627542,0.419154420001175,0.42164940519514,0.41633291876195,0.00728082332797832,0.20945892674833,0.20945892674833,0.20945892674833,0.20945892674833,0,0,0,0,0,0,-0.212190478446809,-0.209695493252844,-0.19915922952709,-0.20687399201362,0.00728082332797812,0,0,0,0,0,0,0,0,0,0,0.40861815627542,0.419154420001175,0.42164940519514,0.41633291876195,0.00728082332797832,0.20945892674833,0.20945892674833,0.20945892674833,0.20945892674833,0
"10","35-44","Male","CED","MJ",-1.05864316112495,-1.04353457584836,-1.02628287048378,-1.04278260388766,0.0170441775525992,0,0,0,0,0,-1.05864316112495,-1.04353457584836,-1.02628287048378,-1.04278260388766,0.0170441775525992,-24.4428531901101,-24.2039758840434,-23.0433695611634,-23.8805621939335,0.788024849708814,-0.771064130937324,-0.758767647930331,-0.745558475814078,-0.758447406137608,0.013426893573186,-0.287579030187627,-0.284766927918025,-0.280724394669704,-0.284335197750054,0.00362702542701424,2.55823584458171,2.57548754994628,2.59059613522287,2.57473557798558,0.0170441775525971,1.53195297409792,1.53195297409792,1.53195297409792,1.53195297409792,0,1.90296621126505,1.91617538338131,1.9284718663883,1.91585514158858,0.0134268935731862,1.15740773545098,1.15740773545098,1.15740773545098,1.15740773545098,0,0.65526963331665,0.65931216656497,0.662124268834573,0.658880436396999,0.00362702542701437,0.374545238646945,0.374545238646945,0.374545238646945,0.374545238646945,0,0,0,0,0,0,-0.287579030187627,-0.284766927918025,-0.280724394669704,-0.284335197750054,0.00362702542701424,0,0,0,0,0,0,0,0,0,0,0.65526963331665,0.65931216656497,0.662124268834573,0.658880436396999,0.00362702542701437,0.374545238646945,0.374545238646945,0.374545238646945,0.374545238646945,0
