"","age_gp","sex_gp","race_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","HIS","CED","MJ",-1.15375577867432,-1.11582777071799,-1.08829751017992,-1.11947610314545,0.0345962971430971,0,0,0,0,0,-1.15375577867432,-1.11582777071799,-1.08829751017992,-1.11947610314545,0.0345962971430971,-30.1916734963568,-28.9067384149702,-27.7997097725933,-28.9691617269034,1.2600884515277,-0.846467752570411,-0.81738699550101,-0.800542976963421,-0.821680587968312,0.0244552709708921,-0.307288026103905,-0.298440775216983,-0.287754533216502,-0.297795515177138,0.0102959616170517,2.63137151206154,2.65890177259961,2.69682978055594,2.66255010502707,0.0345962971430979,1.54307400188162,1.54307400188162,1.54307400188162,1.54307400188162,0,1.97356418567342,1.99040820421101,2.01948896128041,1.99470179667831,0.0244552709708909,1.17302120871,1.17302120871,1.17302120871,1.17302120871,0,0.65780732638812,0.668493568388602,0.677340819275525,0.667848308348757,0.0102959616170523,0.370052793171619,0.370052793171619,0.370052793171619,0.370052793171619,0,0,0,0,0,0,-0.307288026103905,-0.298440775216983,-0.287754533216502,-0.297795515177138,0.0102959616170517,0,0,0,0,0,0,0,0,0,0,0.65780732638812,0.668493568388602,0.677340819275525,0.667848308348757,0.0102959616170523,0.370052793171619,0.370052793171619,0.370052793171619,0.370052793171619,0
"2","20-34","Female","HIS","FL","mrh-eq",-0.0376693899294514,-0.0364388080379586,-0.0351136211631652,-0.0364056133069759,0.00134544860701271,0,0,0,0,0,-0.0376693899294514,-0.0364388080379586,-0.0351136211631652,-0.0364056133069759,0.00134544860701271,-30.1916734963568,-28.9067384149702,-27.7997097725933,-28.9691617269034,1.2600884515277,-0.0272435786912863,-0.0262965316396694,-0.0254667686383732,-0.0263376839380275,0.0009358420367324,-0.0104258112381651,-0.0101422763982892,-0.00964685252479197,-0.0100679293689484,0.000415003364579233,0.0893437237627083,0.0906689106375016,0.0918994925289944,0.090635715906519,0.00134544860701268,0.0542301025995431,0.0542301025995431,0.0542301025995431,0.0542301025995431,0,0.0667907017183732,0.0676204647196693,0.0685675117712863,0.0676616170180275,0.000935842036732419,0.04132393308,0.04132393308,0.04132393308,0.04132393308,0,0.022553022044335,0.0230484459178322,0.0233319807577082,0.0229740988884914,0.000415003364579239,0.0129061695195431,0.0129061695195431,0.0129061695195431,0.0129061695195431,0,0,0,0,0,0,-0.0104258112381651,-0.0101422763982892,-0.00964685252479197,-0.0100679293689484,0.000415003364579233,0,0,0,0,0,0,0,0,0,0,0.022553022044335,0.0230484459178322,0.0233319807577082,0.0229740988884914,0.000415003364579239,0.0129061695195431,0.0129061695195431,0.0129061695195431,0.0129061695195431,0
"3","20-34","Female","HIS","Food_price","USD",-0.68793665133566,-0.665818312390833,-0.603351703870913,-0.651661024820625,0.0461758480663733,0,0,0,0,0,-0.68793665133566,-0.665818312390833,-0.603351703870913,-0.651661024820625,0.0461758480663733,-30.1916734963568,-28.9067384149702,-27.7997097725933,-28.9691617269034,1.2600884515277,-0.469184863292353,-0.453374184508846,-0.411889333664911,-0.444365703084134,0.0311483749338684,-0.218751788043307,-0.212444127881986,-0.191462370206001,-0.20729532173649,0.0150390876239899,1.38604111615678,1.4485077246767,1.47062606362153,1.43435043710649,0.0461758480663731,0.782689412285869,0.782689412285869,0.782689412285869,0.782689412285869,0,0.980437995690581,1.02192284653452,1.03773352531803,1.01291436510981,0.0311483749338694,0.568548662025672,0.568548662025672,0.568548662025672,0.568548662025672,0,0.405603120466199,0.426584878142183,0.432892538303504,0.421436071996687,0.0150390876239898,0.214140750260197,0.214140750260197,0.214140750260197,0.214140750260197,0,0,0,0,0,0,-0.218751788043307,-0.212444127881986,-0.191462370206001,-0.20729532173649,0.0150390876239899,0,0,0,0,0,0,0,0,0,0,0.405603120466199,0.426584878142183,0.432892538303504,0.421436071996687,0.0150390876239898,0.214140750260197,0.214140750260197,0.214140750260197,0.214140750260197,0
"4","20-34","Female","NHB","CED","MJ",-1.26282752299039,-1.22750519902841,-1.19463137915126,-1.2283643232687,0.0359004179223924,0,0,0,0,0,-1.26282752299039,-1.22750519902841,-1.19463137915126,-1.2283643232687,0.0359004179223924,-38.048309119919,-38.0117061277103,-36.78978249907,-37.595804150015,0.753977007304953,-0.933094102543823,-0.906116837598143,-0.884503995669804,-0.907999091288438,0.0256256387302231,-0.329733420446566,-0.321388361430266,-0.310127383481453,-0.320365231980261,0.0103569383368405,2.64597790476795,2.6788517246451,2.71417404860708,2.67971084888539,0.0359004179223905,1.45134652561669,1.45134652561669,1.45134652561669,1.45134652561669,0,1.9935946768598,2.01520751878814,2.04218478373382,2.01708977247844,0.0256256387302228,1.10909068119,1.10909068119,1.10909068119,1.10909068119,0,0.652383227908148,0.66364420585696,0.67198926487326,0.662621076406955,0.0103569383368404,0.342255844426694,0.342255844426694,0.342255844426694,0.342255844426694,0,0,0,0,0,0,-0.329733420446566,-0.321388361430266,-0.310127383481453,-0.320365231980261,0.0103569383368405,0,0,0,0,0,0,0,0,0,0,0.652383227908148,0.66364420585696,0.67198926487326,0.662621076406955,0.0103569383368404,0.342255844426694,0.342255844426694,0.342255844426694,0.342255844426694,0
"5","20-34","Female","NHB","FL","mrh-eq",-0.0398247762241784,-0.03910997783677,-0.0378272002432913,-0.0389106868872716,0.00106542791254112,0,0,0,0,0,-0.0398247762241784,-0.03910997783677,-0.0378272002432913,-0.0389106868872716,0.00106542791254112,-38.048309119919,-38.0117061277103,-36.78978249907,-37.595804150015,0.753977007304953,-0.0291161845320781,-0.0285831213539635,-0.027741409541225,-0.0284748235874288,0.000729618906969418,-0.0107085916921003,-0.0105268564828065,-0.0100857907020663,-0.0104358632998428,0.000337129203971889,0.0872371613602656,0.0885199389537442,0.0892347373411526,0.0883206480042459,0.00106542791254109,0.0494099611169743,0.0494099611169743,0.0494099611169743,0.0494099611169743,0,0.065646824831225,0.0664885366439635,0.0670215998220781,0.0663802388774288,0.000729618906969399,0.03790541529,0.03790541529,0.03790541529,0.03790541529,0,0.0215903365290405,0.0220314023097807,0.0222131375190746,0.0219404091268171,0.000337129203971886,0.0115045458269743,0.0115045458269743,0.0115045458269743,0.0115045458269743,0,0,0,0,0,0,-0.0107085916921003,-0.0105268564828065,-0.0100857907020663,-0.0104358632998428,0.000337129203971889,0,0,0,0,0,0,0,0,0,0,0.0215903365290405,0.0220314023097807,0.0222131375190746,0.0219404091268171,0.000337129203971886,0.0115045458269743,0.0115045458269743,0.0115045458269743,0.0115045458269743,0
"6","20-34","Female","NHB","Food_price","USD",-0.900038892635237,-0.878606615744787,-0.789610744015485,-0.854900091239927,0.0616396217580927,0,0,0,0,0,-0.900038892635237,-0.878606615744787,-0.789610744015485,-0.854900091239927,0.0616396217580927,-38.048309119919,-38.0117061277103,-36.78978249907,-37.595804150015,0.753977007304953,-0.611690082911625,-0.596843850773314,-0.538611774774532,-0.581620747664377,0.0406589863113838,-0.288348809723611,-0.281762764971473,-0.250998969240953,-0.273279343575549,0.0209858488894662,1.64368759453179,1.73268346626109,1.75411574315154,1.70897694175623,0.0616396217580912,0.854076850516303,0.854076850516303,0.854076850516303,0.854076850516303,0,1.15318675704952,1.2114188330483,1.22626506518661,1.19619572993936,0.040658986311384,0.614574982274984,0.614574982274984,0.614574982274984,0.614574982274984,0,0.490500837482274,0.521264633212794,0.527850677964932,0.51278121181687,0.020985848889466,0.23950186824132,0.23950186824132,0.23950186824132,0.23950186824132,0,0,0,0,0,0,-0.288348809723611,-0.281762764971473,-0.250998969240953,-0.273279343575549,0.0209858488894662,0,0,0,0,0,0,0,0,0,0,0.490500837482274,0.521264633212794,0.527850677964932,0.51278121181687,0.020985848889466,0.23950186824132,0.23950186824132,0.23950186824132,0.23950186824132,0
"7","20-34","Female","NHW","CED","MJ",-1.2062498254984,-1.1975407123088,-1.18353732733957,-1.19568307308788,0.0120617143112283,0,0,0,0,0,-1.2062498254984,-1.1975407123088,-1.18353732733957,-1.19568307308788,0.0120617143112283,-32.6394597428329,-32.4195492333349,-31.3497506981328,-32.1213429085265,0.726262260688266,-0.905491811248064,-0.901419899680325,-0.889586208514415,-0.89869646824237,0.00869727787458575,-0.300758014250334,-0.296120812628474,-0.293951118825153,-0.296986604845505,0.00366019832579779,2.6795023513573,2.69350573632654,2.70221484951613,2.69164809710561,0.0120617143112285,1.49596502401774,1.49596502401774,1.49596502401774,1.49596502401774,0,2.04226797774442,2.05410166891033,2.05817358047807,2.05137823747237,0.00869727787458521,1.15268176923,1.15268176923,1.15268176923,1.15268176923,0,0.637234373612887,0.639404067416208,0.644041269038067,0.640269859633239,0.0036601983257976,0.343283254787734,0.343283254787734,0.343283254787734,0.343283254787734,0,0,0,0,0,0,-0.300758014250334,-0.296120812628474,-0.293951118825153,-0.296986604845505,0.00366019832579779,0,0,0,0,0,0,0,0,0,0,0.637234373612887,0.639404067416208,0.644041269038067,0.640269859633239,0.0036601983257976,0.343283254787734,0.343283254787734,0.343283254787734,0.343283254787734,0
"8","20-34","Female","NHW","FL","mrh-eq",-0.0387004926786486,-0.038162791699672,-0.0378588716113264,-0.0382448200823495,0.000448618641883504,0,0,0,0,0,-0.0387004926786486,-0.038162791699672,-0.0378588716113264,-0.0382448200823495,0.000448618641883504,-32.6394597428329,-32.4195492333349,-31.3497506981328,-32.1213429085265,0.726262260688266,-0.0285229801906733,-0.0281919729961113,-0.0279889535657192,-0.0282368809835393,0.000283744610999321,-0.0101775124879753,-0.00997081870356067,-0.00986991804560725,-0.0100079390988102,0.000165052723475421,0.0906675612012977,0.0909714812896433,0.0915091822686198,0.0910535096723208,0.00044861864188348,0.0528086895899712,0.0528086895899712,0.0528086895899712,0.0528086895899712,0,0.0686008435157192,0.0688038629461114,0.0691348701406732,0.0688487709335393,0.000283744610999321,0.04061188995,0.04061188995,0.04061188995,0.04061188995,0,0.0220667176855785,0.0221676183435319,0.0223743121279466,0.0222047387387815,0.000165052723475432,0.0121967996399712,0.0121967996399712,0.0121967996399712,0.0121967996399712,0,0,0,0,0,0,-0.0101775124879753,-0.00997081870356067,-0.00986991804560725,-0.0100079390988102,0.000165052723475421,0,0,0,0,0,0,0,0,0,0,0.0220667176855785,0.0221676183435319,0.0223743121279466,0.0222047387387815,0.000165052723475432,0.0121967996399712,0.0121967996399712,0.0121967996399712,0.0121967996399712,0
"9","20-34","Female","NHW","Food_price","USD",-0.826847696354693,-0.82649186565057,-0.764877738245048,-0.804997726457097,0.0375537854223328,0,0,0,0,0,-0.826847696354693,-0.82649186565057,-0.764877738245048,-0.804997726457097,0.0375537854223328,-32.6394597428329,-32.4195492333349,-31.3497506981328,-32.1213429085265,0.726262260688266,-0.563618285445974,-0.562506992518009,-0.521132877151563,-0.548379686399244,0.0254889845027719,-0.263945111962885,-0.263189649739043,-0.24370509992381,-0.256618040057853,0.0120775922644366,1.6846629551724,1.74627708257792,1.74663291328204,1.72478294338445,0.037553785422333,0.91978521692735,0.91978521692735,0.91978521692735,0.91978521692735,0,1.17974706741935,1.2211211827858,1.22223247571377,1.20699387666704,0.0254889845027727,0.658614190267791,0.658614190267791,0.658614190267791,0.658614190267791,0,0.504876126583369,0.524360676398602,0.525116138622445,0.517789066717413,0.0120775922644367,0.261171026659559,0.261171026659559,0.261171026659559,0.261171026659559,0,0,0,0,0,0,-0.263945111962885,-0.263189649739043,-0.24370509992381,-0.256618040057853,0.0120775922644366,0,0,0,0,0,0,0,0,0,0,0.504876126583369,0.524360676398602,0.525116138622445,0.517789066717413,0.0120775922644367,0.261171026659559,0.261171026659559,0.261171026659559,0.261171026659559,0
"10","20-34","Female","OTH","CED","MJ",-0.953659864328558,-0.908606434385278,-0.906385572822622,-0.923635405746901,0.0280798308387058,0,0,0,0,0,-0.953659864328558,-0.908606434385278,-0.906385572822622,-0.923635405746901,0.0280798308387058,-27.692778210245,-27.4340032011358,-25.0241698164992,-26.6792458763893,1.54917737716873,-0.713588211369334,-0.681624993924048,-0.680127348815778,-0.692314668428264,0.0198959413594008,-0.240071652959226,-0.226981440461231,-0.226258224006844,-0.231320737318638,0.00818402746684287,2.39582361100999,2.39804447257264,2.44309790251592,2.41307344393426,0.0280798308387075,1.48943803818736,1.48943803818736,1.48943803818736,1.48943803818736,0,1.82328931155578,1.82478695666405,1.85675017410933,1.83547663116826,0.0198959413594002,1.14316196274,1.14316196274,1.14316196274,1.14316196274,0,0.572534299454207,0.573257515908593,0.586347728406589,0.577596812766,0.00818402746684302,0.346276075447362,0.346276075447362,0.346276075447362,0.346276075447362,0,0,0,0,0,0,-0.240071652959226,-0.226981440461231,-0.226258224006844,-0.231320737318638,0.00818402746684287,0,0,0,0,0,0,0,0,0,0,0.572534299454207,0.573257515908593,0.586347728406589,0.577596812766,0.00818402746684302,0.346276075447362,0.346276075447362,0.346276075447362,0.346276075447362,0
