"","age_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","CED","MJ",-1.06933666107518,-1.06933310030697,-1.05300598223557,-1.06360553634094,0.00992367798628112,0,0,0,0,0,-1.06933666107518,-1.06933310030697,-1.05300598223557,-1.06360553634094,0.00992367798628112,-26.9808227566864,-26.6649146146564,-26.0236039471471,-26.5507382899268,0.51341112524651,-0.793205644018465,-0.792167024033001,-0.780849400495241,-0.788560356119915,0.00721448332992728,-0.277114972832416,-0.276072792078742,-0.272101917530569,-0.275045180221023,0.00278449435955921,2.56204277673335,2.57836989480474,2.57837345557295,2.57264233083871,0.00992367798628093,1.50903679449777,1.50903679449777,1.50903679449777,1.50903679449777,0,1.93197497576894,1.9432925993067,1.94433121929217,1.93968593139361,0.0072144833299275,1.1511255752737,1.1511255752737,1.1511255752737,1.1511255752737,0,0.630013136754641,0.633984011302815,0.635026192056488,0.632956399445096,0.00278449435955936,0.357911219224072,0.357911219224072,0.357911219224072,0.357911219224072,0,0,0,0,0,0,-0.277114972832416,-0.276072792078742,-0.272101917530569,-0.275045180221023,0.00278449435955921,0,0,0,0,0,0,0,0,0,0,0.630013136754641,0.633984011302815,0.635026192056488,0.632956399445096,0.00278449435955936,0.357911219224072,0.357911219224072,0.357911219224072,0.357911219224072,0
"2","20-34","FL","mrh-eq",-0.0332849892134168,-0.033284922913055,-0.0326186473110996,-0.033051165263373,0.00040494056719745,0,0,0,0,0,-0.0332849892134168,-0.033284922913055,-0.0326186473110996,-0.033051165263373,0.00040494056719745,-26.9808227566864,-26.6649146146564,-26.0236039471471,-26.5507382899268,0.51341112524651,-0.024340553413607,-0.0242890495591575,-0.0238280998071252,-0.0241453843319354,0.000297026202623362,-0.00899316611420865,-0.008941728560121,-0.00878784026428562,-0.00890578093143759,0.000112461040109134,0.0851425129390665,0.0858087885410218,0.0858088548413836,0.0855750308913399,0.000404940567197434,0.0525238656279669,0.0525238656279669,0.0525238656279669,0.0525238656279669,0,0.0639912758008871,0.0644522255529193,0.0645037294073688,0.0643085603256973,0.000297026202623354,0.0401631759937618,0.0401631759937618,0.0401631759937618,0.0401631759937618,0,0.0211485298984907,0.021302418194326,0.0213538557484137,0.0212664705656426,0.000112461040109128,0.012360689634205,0.012360689634205,0.012360689634205,0.012360689634205,0,0,0,0,0,0,-0.00899316611420865,-0.008941728560121,-0.00878784026428562,-0.00890578093143759,0.000112461040109134,0,0,0,0,0,0,0,0,0,0,0.0211485298984907,0.021302418194326,0.0213538557484137,0.0212664705656426,0.000112461040109128,0.012360689634205,0.012360689634205,0.012360689634205,0.012360689634205,0
"3","20-34","Food_price","USD",-0.668800139814398,-0.653512830921218,-0.632697629722888,-0.651573219586078,0.0190754232633008,0,0,0,0,0,-0.668800139814398,-0.653512830921218,-0.632697629722888,-0.651573219586078,0.0190754232633008,-26.9808227566864,-26.6649146146564,-26.0236039471471,-26.5507382899268,0.51341112524651,-0.453168522833632,-0.443227427059415,-0.428702381819327,-0.441619023738057,0.0129520343935176,-0.215631616980766,-0.210285403861804,-0.203995247903561,-0.209954195848021,0.00613111800079488,1.5013228289233,1.52213803012163,1.53742533901481,1.52019841878649,0.0190754232633014,0.868625199200415,0.868625199200415,0.868625199200415,0.868625199200415,0,1.05082960252721,1.0653546477673,1.07529574354152,1.06374624444594,0.012952034393518,0.622127220707888,0.622127220707888,0.622127220707888,0.622127220707888,0,0.450493226396088,0.456783382354331,0.462129595473294,0.456452174340549,0.00613111800079502,0.246497978492527,0.246497978492527,0.246497978492527,0.246497978492527,0,0,0,0,0,0,-0.215631616980766,-0.210285403861804,-0.203995247903561,-0.209954195848021,0.00613111800079488,0,0,0,0,0,0,0,0,0,0,0.450493226396088,0.456783382354331,0.462129595473294,0.456452174340549,0.00613111800079502,0.246497978492527,0.246497978492527,0.246497978492527,0.246497978492527,0
"4","35-44","CED","MJ",-1.13908932415321,-1.12556470060729,-1.07918965776795,-1.11403823769732,0.0330687469749865,0,0,0,0,0,-1.13908932415321,-1.12556470060729,-1.07918965776795,-1.11403823769732,0.0330687469749865,-29.5999420069806,-29.2902990299283,-27.22440080409,-28.6740691180735,1.35941776816432,-0.841303078957922,-0.832231605652215,-0.795977604579182,-0.822693876611048,0.0252450331525433,-0.297786245195291,-0.293333094955072,-0.283212053188772,-0.291344361086271,0.00786160423059388,2.59618974035675,2.64256478319608,2.656089406742,2.63103832028611,0.0330687469749866,1.51700008258879,1.51700008258879,1.51700008258879,1.51700008258879,0,1.95090481639236,1.9871588174654,1.9962302907711,1.97762108842423,0.025245033152543,1.15492721181318,1.15492721181318,1.15492721181318,1.15492721181318,0,0.64528492396438,0.655405965730679,0.659859115970899,0.653417231861879,0.00786160423059382,0.362072870775608,0.362072870775608,0.362072870775608,0.362072870775608,0,0,0,0,0,0,-0.297786245195291,-0.293333094955072,-0.283212053188772,-0.291344361086271,0.00786160423059388,0,0,0,0,0,0,0,0,0,0,0.64528492396438,0.655405965730679,0.659859115970899,0.653417231861879,0.00786160423059382,0.362072870775608,0.362072870775608,0.362072870775608,0.362072870775608,0
"5","35-44","FL","mrh-eq",-0.0368432600290253,-0.0364819107971019,-0.0348212535363469,-0.0360260132431259,0.0011350917374215,0,0,0,0,0,-0.0368432600290253,-0.0364819107971019,-0.0348212535363469,-0.0360260132431259,0.0011350917374215,-29.5999420069806,-29.2902990299283,-27.22440080409,-28.6740691180735,1.35941776816432,-0.0267817728337275,-0.0265643848283035,-0.0252600932844958,-0.0261830151657127,0.000866312445550075,-0.0100614871952977,-0.00991752596879838,-0.00956116025185113,-0.00984299807741315,0.000271124469883747,0.0879824718678189,0.0896431291285739,0.0900044783604972,0.0891872315745979,0.00113509173742149,0.053161218331472,0.053161218331472,0.053161218331472,0.053161218331472,0,0.0657200261695792,0.0670243177133869,0.067241705718811,0.0666429480507962,0.000866312445550098,0.0404599328850835,0.0404599328850835,0.0404599328850835,0.0404599328850835,0,0.0222624456982397,0.0226188114151869,0.0227627726416863,0.0225442835238017,0.00027112446988375,0.0127012854463886,0.0127012854463886,0.0127012854463886,0.0127012854463886,0,0,0,0,0,0,-0.0100614871952977,-0.00991752596879838,-0.00956116025185113,-0.00984299807741315,0.000271124469883747,0,0,0,0,0,0,0,0,0,0,0.0222624456982397,0.0226188114151869,0.0227627726416863,0.0225442835238017,0.00027112446988375,0.0127012854463886,0.0127012854463886,0.0127012854463886,0.0127012854463886,0
"6","35-44","Food_price","USD",-0.653095005323967,-0.649554213031601,-0.624154476409589,-0.641884408003655,0.0166171269897696,0,0,0,0,0,-0.653095005323967,-0.649554213031601,-0.624154476409589,-0.641884408003655,0.0166171269897696,-29.5999420069806,-29.2902990299283,-27.22440080409,-28.6740691180735,1.35941776816432,-0.442913891843484,-0.440491887396065,-0.421939593069232,-0.434832136561183,0.0120783448949952,-0.210181113480483,-0.209062325635535,-0.202214883340356,-0.207052271442472,0.00453975920532592,1.3952049138241,1.42060465044611,1.42414544273848,1.41293484541816,0.0166171269897694,0.771050437414508,0.771050437414508,0.771050437414508,0.771050437414508,0,0.973212032557784,0.991764326884617,0.994186331332035,0.986104576049735,0.0120783448949953,0.551272439488552,0.551272439488552,0.551272439488552,0.551272439488552,0,0.421992881266313,0.428840323561492,0.42995911140644,0.426830269368428,0.00453975920532603,0.219777997925957,0.219777997925957,0.219777997925957,0.219777997925957,0,0,0,0,0,0,-0.210181113480483,-0.209062325635535,-0.202214883340356,-0.207052271442472,0.00453975920532592,0,0,0,0,0,0,0,0,0,0,0.421992881266313,0.428840323561492,0.42995911140644,0.426830269368428,0.00453975920532603,0.219777997925957,0.219777997925957,0.219777997925957,0.219777997925957,0
"7","45-54","CED","MJ",-1.14614782756062,-1.11015036227857,-1.10123244720262,-1.11965195884211,0.0250308696162672,0,0,0,0,0,-1.14614782756062,-1.11015036227857,-1.10123244720262,-1.11965195884211,0.0250308696162672,-29.4465181704314,-28.4714397371336,-28.2925626799625,-28.7508086410377,0.653760798215283,-0.844263393724236,-0.821384532205852,-0.813442803589705,-0.826625631469795,0.0168444194354778,-0.30188443383638,-0.288765830072719,-0.287789643612912,-0.293026327372317,0.00828524053602338,2.62295187280173,2.63186978787769,2.66786725315974,2.64137138444123,0.0250308696162689,1.52171942559912,1.52171942559912,1.52171942559912,1.52171942559912,0,1.97345162715225,1.9813933557684,2.00427221728678,1.98663445503234,0.0168444194354773,1.16000882356255,1.16000882356255,1.16000882356255,1.16000882356255,0,0.649500245649481,0.650476432109288,0.66359503587295,0.654736929408886,0.00828524053602353,0.36171060203657,0.36171060203657,0.36171060203657,0.36171060203657,0,0,0,0,0,0,-0.30188443383638,-0.288765830072719,-0.287789643612912,-0.293026327372317,0.00828524053602338,0,0,0,0,0,0,0,0,0,0,0.649500245649481,0.650476432109288,0.66359503587295,0.654736929408886,0.00828524053602353,0.36171060203657,0.36171060203657,0.36171060203657,0.36171060203657,0
"8","45-54","FL","mrh-eq",-0.0375539768928507,-0.0359728798996668,-0.0359556930803406,-0.0365216203115467,0.000966156222152526,0,0,0,0,0,-0.0375539768928507,-0.0359728798996668,-0.0359556930803406,-0.0365216203115467,0.000966156222152526,-29.4465181704314,-28.4714397371336,-28.2925626799625,-28.7508086410377,0.653760798215283,-0.0271940508221192,-0.0261834653718037,-0.0261497710591784,-0.0265262341920459,0.00062466071786474,-0.0103616994556065,-0.00982488222536336,-0.00977400109341193,-0.00999538611950081,0.000342752691883404,0.090112315324901,0.0901295021442272,0.0917105991374111,0.0906782425561071,0.000966156222152514,0.0541566222445604,0.0541566222445604,0.0541566222445604,0.0541566222445604,0,0.067465056504682,0.0674987508173072,0.0685093362676228,0.0678415196375494,0.00062466071786474,0.0413152854455035,0.0413152854455035,0.0413152854455035,0.0413152854455035,0,0.0226153378924688,0.0226662190244202,0.0232030362546634,0.0228367229185577,0.000342752691883409,0.0128413367990568,0.0128413367990568,0.0128413367990568,0.0128413367990568,0,0,0,0,0,0,-0.0103616994556065,-0.00982488222536336,-0.00977400109341193,-0.00999538611950081,0.000342752691883404,0,0,0,0,0,0,0,0,0,0,0.0226153378924688,0.0226662190244202,0.0232030362546634,0.0228367229185577,0.000342752691883409,0.0128413367990568,0.0128413367990568,0.0128413367990568,0.0128413367990568,0
"9","45-54","Food_price","USD",-0.677892035785573,-0.614887980189571,-0.60950974201916,-0.635107565251182,0.0400244029166034,0,0,0,0,0,-0.677892035785573,-0.614887980189571,-0.60950974201916,-0.635107565251182,0.0400244029166034,-29.4465181704314,-28.4714397371336,-28.2925626799625,-28.7508086410377,0.653760798215283,-0.459599984529122,-0.418273845425394,-0.414637501773855,-0.431498335057741,0.0262901546155969,-0.218292051256452,-0.196614134764177,-0.194872240245306,-0.203609230193441,0.0137344140339745,1.39140723145569,1.3967854696261,1.4597895252221,1.41700505468771,0.0400244029166038,0.781897489436526,0.781897489436526,0.781897489436526,0.781897489436526,0,0.980918081107703,0.984554424759242,1.02588056386297,0.997778914391589,0.0262901546155971,0.566280579333848,0.566280579333848,0.566280579333848,0.566280579333848,0,0.410489150347984,0.412231044866856,0.43390896135913,0.41922614029612,0.0137344140339747,0.215616910102678,0.215616910102678,0.215616910102678,0.215616910102678,0,0,0,0,0,0,-0.218292051256452,-0.196614134764177,-0.194872240245306,-0.203609230193441,0.0137344140339745,0,0,0,0,0,0,0,0,0,0,0.410489150347984,0.412231044866856,0.43390896135913,0.41922614029612,0.0137344140339747,0.215616910102678,0.215616910102678,0.215616910102678,0.215616910102678,0
"10","55-64","CED","MJ",-1.18978675027499,-1.14997923949426,-1.12061664853646,-1.15364412364266,0.0365434072880467,0,0,0,0,0,-1.18978675027499,-1.14997923949426,-1.12061664853646,-1.15364412364266,0.0365434072880467,-30.9506867038714,-29.2891279205401,-29.1761688597303,-29.8324962442318,1.04580690430027,-0.876973688684589,-0.847624716049517,-0.827972373981724,-0.851027042564352,0.0259579373731277,-0.312813061590403,-0.302354523444742,-0.292644274554737,-0.302617081078305,0.0106175861028725,2.64201273359022,2.67137532454802,2.71118283532875,2.67504020869642,0.0365434072880464,1.52139608505376,1.52139608505376,1.52139608505376,1.52139608505376,0,1.9827959759201,2.00244831798789,2.03179729062297,2.00585064450273,0.0259579373731278,1.15482360193838,1.15482360193838,1.15482360193838,1.15482360193838,0,0.659216757670123,0.668927006560127,0.679385544705788,0.669189564193691,0.0106175861028725,0.366572483115386,0.366572483115386,0.366572483115386,0.366572483115386,0,0,0,0,0,0,-0.312813061590403,-0.302354523444742,-0.292644274554737,-0.302617081078305,0.0106175861028725,0,0,0,0,0,0,0,0,0,0,0.659216757670123,0.668927006560127,0.679385544705788,0.669189564193691,0.0106175861028725,0.366572483115386,0.366572483115386,0.366572483115386,0.366572483115386,0
