"","age_gp","sex_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","CED","MJ",-1.21806681815992,-1.18020512746795,-1.17192451948531,-1.19058445473438,0.0258955491870628,0,0,0,0,0,-1.21806681815992,-1.18020512746795,-1.17192451948531,-1.19058445473438,0.0258955491870628,-32.6025886971755,-31.8966785980658,-31.7842350357506,-32.1049124706253,0.466941352590243,-0.910649903942869,-0.881510729938275,-0.874460169848511,-0.889261120785584,0.0201952551637791,-0.307416914217053,-0.298694397529676,-0.297464349636804,-0.301323333948801,0.00571157896198904,2.62204026011136,2.63032086809399,2.66818255878596,2.64070019536043,0.0258955491870612,1.45011574062604,1.45011574062604,1.45011574062604,1.45011574062604,0,1.98784551655379,1.99489607664356,2.02403525064815,2.00264646749087,0.0201952551637781,1.11338534670528,1.11338534670528,1.11338534670528,1.11338534670528,0,0.634194743557566,0.635424791450438,0.644147308137816,0.638053727869563,0.00571157896198902,0.336730393920762,0.336730393920762,0.336730393920762,0.336730393920762,0,0,0,0,0,0,-0.307416914217053,-0.298694397529676,-0.297464349636804,-0.301323333948801,0.00571157896198904,0,0,0,0,0,0,0,0,0,0,0.634194743557566,0.635424791450438,0.644147308137816,0.638053727869563,0.00571157896198902,0.336730393920762,0.336730393920762,0.336730393920762,0.336730393920762,0
"2","20-34","Female","FL","mrh-eq",-0.038660001065156,-0.037636362826998,-0.0375106697487223,-0.0379514313041497,0.000663602811970842,0,0,0,0,0,-0.038660001065156,-0.037636362826998,-0.0375106697487223,-0.0379514313041497,0.000663602811970842,-32.6025886971755,-31.8966785980658,-31.7842350357506,-32.1049124706253,0.466941352590243,-0.0284501534737718,-0.0276695414337795,-0.0275448012937312,-0.0278996719249879,0.000516501089739068,-0.0102098475913842,-0.00996682139321857,-0.00996586845499104,-0.0100517593791618,0.000147986460962217,0.0886057233269436,0.0887314164052194,0.0897550546433774,0.0890464848823711,0.00066360281197087,0.0510950535782213,0.0510950535782213,0.0510950535782213,0.0510950535782213,0,0.066779348596459,0.0669040887365072,0.0676847007764995,0.0671342192277157,0.00051650108973906,0.0392345473027278,0.0392345473027278,0.0392345473027278,0.0392345473027278,0,0.0218263747304846,0.0218273276687122,0.0220703538668778,0.0219122656546554,0.000147986460962212,0.0118605062754936,0.0118605062754936,0.0118605062754936,0.0118605062754936,0,0,0,0,0,0,-0.0102098475913842,-0.00996682139321857,-0.00996586845499104,-0.0100517593791618,0.000147986460962217,0,0,0,0,0,0,0,0,0,0,0.0218263747304846,0.0218273276687122,0.0220703538668778,0.0219122656546554,0.000147986460962212,0.0118605062754936,0.0118605062754936,0.0118605062754936,0.0118605062754936,0
"3","20-34","Female","Food_price","USD",-0.776938894791039,-0.765490478903775,-0.756376821426178,-0.766309692380851,0.0108453737196493,0,0,0,0,0,-0.776938894791039,-0.765490478903775,-0.756376821426178,-0.766309692380851,0.0108453737196493,-32.6025886971755,-31.8966785980658,-31.7842350357506,-32.1049124706253,0.466941352590243,-0.530040049801862,-0.521743803020462,-0.515586434639314,-0.522494286669673,0.00763487995524114,-0.246898844989177,-0.243746675883314,-0.240790386786863,-0.243815405711178,0.00321552894408421,1.61270201550387,1.62181567298147,1.63326408886873,1.62263488645854,0.0108453737196508,0.856325194077693,0.856325194077693,0.856325194077693,0.856325194077693,0,1.13237339624276,1.1385307646239,1.1468270114053,1.13928124827312,0.00763487995524026,0.616786961603444,0.616786961603444,0.616786961603444,0.616786961603444,0,0.480328619261113,0.483284908357563,0.486437077463427,0.483353638185428,0.00321552894408424,0.239538232474249,0.239538232474249,0.239538232474249,0.239538232474249,0,0,0,0,0,0,-0.246898844989177,-0.243746675883314,-0.240790386786863,-0.243815405711178,0.00321552894408421,0,0,0,0,0,0,0,0,0,0,0.480328619261113,0.483284908357563,0.486437077463427,0.483353638185428,0.00321552894408424,0.239538232474249,0.239538232474249,0.239538232474249,0.239538232474249,0
"4","20-34","Male","CED","MJ",-1.0280065777761,-1.0131547690754,-0.989448083795578,-1.01004779483711,0.0204715445897952,0,0,0,0,0,-1.0280065777761,-1.0131547690754,-0.989448083795578,-1.01004779483711,0.0204715445897952,-23.7012272179135,-23.2240109564999,-21.8642462740876,-22.9143448438688,1.0033364782476,-0.756070150542547,-0.745884682235859,-0.729958048164734,-0.743870238107986,0.0138534962672821,-0.271936427233556,-0.26727008683954,-0.259490035630844,-0.266177556729126,0.00661870922480768,2.45977254596327,2.48347923124309,2.49833103994379,2.4803722570048,0.0204715445897963,1.47032446216769,1.47032446216769,1.47032446216769,1.47032446216769,0,1.84627946720196,1.86220610127309,1.87239156957978,1.86019165714522,0.013853496267282,1.11632141903723,1.11632141903723,1.11632141903723,1.11632141903723,0,0.613493078761304,0.621273129970001,0.625939470364018,0.620180599859587,0.00661870922480803,0.354003043130461,0.354003043130461,0.354003043130461,0.354003043130461,0,0,0,0,0,0,-0.271936427233556,-0.26727008683954,-0.259490035630844,-0.266177556729126,0.00661870922480768,0,0,0,0,0,0,0,0,0,0,0.613493078761304,0.621273129970001,0.625939470364018,0.620180599859587,0.00661870922480803,0.354003043130461,0.354003043130461,0.354003043130461,0.354003043130461,0
"5","20-34","Male","FL","mrh-eq",-0.0310800317441578,-0.0305316268403052,-0.0294559488669621,-0.0303466187457471,0.000869666967270944,0,0,0,0,0,-0.0310800317441578,-0.0305316268403052,-0.0294559488669621,-0.0303466187457471,0.000869666967270944,-23.7012272179135,-23.2240109564999,-21.8642462740876,-22.9143448438688,1.0033364782476,-0.0225544182992476,-0.0221824873372304,-0.0214444509083481,-0.0220540292786812,0.000594691508864462,-0.00852561344491022,-0.00834913950307484,-0.0080114979586139,-0.00829258946706587,0.000274983285966545,0.0804390305753242,0.0815147085486673,0.0820631134525199,0.0813297004541093,0.00086966696727094,0.0509830817083621,0.0509830817083621,0.0509830817083621,0.0509830817083621,0,0.06035784432652,0.0610958807554022,0.0614678117174194,0.0609674226968531,0.000594691508864445,0.0389133934181718,0.0389133934181718,0.0389133934181718,0.0389133934181718,0,0.0200811862488042,0.0204188277932652,0.0205953017351005,0.0203622777572562,0.000274983285966554,0.0120696882901903,0.0120696882901903,0.0120696882901903,0.0120696882901903,0,0,0,0,0,0,-0.00852561344491022,-0.00834913950307484,-0.0080114979586139,-0.00829258946706587,0.000274983285966545,0,0,0,0,0,0,0,0,0,0,0.0200811862488042,0.0204188277932652,0.0205953017351005,0.0203622777572562,0.000274983285966554,0.0120696882901903,0.0120696882901903,0.0120696882901903,0.0120696882901903,0
"6","20-34","Male","Food_price","USD",-0.595154262880189,-0.583385423817532,-0.539869496540935,-0.572246094619658,0.0306547416157635,0,0,0,0,0,-0.595154262880189,-0.583385423817532,-0.539869496540935,-0.572246094619658,0.0306547416157635,-23.7012272179135,-23.2240109564999,-21.8642462740876,-22.9143448438688,1.0033364782476,-0.400668491224571,-0.393182064537286,-0.364318860163519,-0.385681440787643,0.0202040689133112,-0.194485771655618,-0.190203359280245,-0.175550636377415,-0.186564653832015,0.0104522012969837,1.36749184324853,1.41100777052513,1.42277660958779,1.39986844132726,0.0306547416157633,0.8276223467076,0.8276223467076,0.8276223467076,0.8276223467076,0,0.955621954952397,0.984485159326165,0.991971586013449,0.976984535576522,0.0202040689133113,0.591303094788879,0.591303094788879,0.591303094788879,0.591303094788879,0,0.411869888296137,0.426522611198967,0.43080502357434,0.422883905750737,0.0104522012969835,0.236319251918722,0.236319251918722,0.236319251918722,0.236319251918722,0,0,0,0,0,0,-0.194485771655618,-0.190203359280245,-0.175550636377415,-0.186564653832015,0.0104522012969837,0,0,0,0,0,0,0,0,0,0,0.411869888296137,0.426522611198967,0.43080502357434,0.422883905750737,0.0104522012969835,0.236319251918722,0.236319251918722,0.236319251918722,0.236319251918722,0
"7","35-44","Female","CED","MJ",-1.2330049709257,-1.22564892394477,-1.20967873325668,-1.22262641738086,0.0125529113330228,0,0,0,0,0,-1.2330049709257,-1.22564892394477,-1.20967873325668,-1.22262641738086,0.0125529113330228,-33.9050350184121,-33.1347488593455,-32.4911914544292,-33.1792150888719,0.745123949195964,-0.917575663214982,-0.915729439775362,-0.901797864329819,-0.911488965387319,0.00907988831172321,-0.315429307710721,-0.30991948416941,-0.307880868926859,-0.311137451993536,0.00411050128341649,2.6641251038018,2.68009529448989,2.68745134147083,2.67707278792598,0.0125529113330231,1.45444637054512,1.45444637054512,1.45444637054512,1.45444637054512,0,2.01802740787842,2.03195898332396,2.03380520676358,2.02771850893592,0.00907988831172333,1.1162295435486,1.1162295435486,1.1162295435486,1.1162295435486,0,0.646097695923381,0.648136311165932,0.653646134707243,0.649354278990058,0.00411050128341647,0.338216826996522,0.338216826996522,0.338216826996522,0.338216826996522,0,0,0,0,0,0,-0.315429307710721,-0.30991948416941,-0.307880868926859,-0.311137451993536,0.00411050128341649,0,0,0,0,0,0,0,0,0,0,0.646097695923381,0.648136311165932,0.653646134707243,0.649354278990058,0.00411050128341647,0.338216826996522,0.338216826996522,0.338216826996522,0.338216826996522,0
"8","35-44","Female","FL","mrh-eq",-0.041015955531985,-0.040044564750935,-0.0397402560700046,-0.0402786286457138,0.000701352464739424,0,0,0,0,0,-0.041015955531985,-0.040044564750935,-0.0397402560700046,-0.0402786286457138,0.000701352464739424,-33.9050350184121,-33.1347488593455,-32.4911914544292,-33.1792150888719,0.745123949195964,-0.0299621578369233,-0.0293945777556498,-0.0290848212494303,-0.0294850421679495,0.000468355155932142,-0.0110540844227086,-0.0106557215482211,-0.0106502737229319,-0.0107935864777644,0.000243772194273086,0.0910785228537203,0.0913828315346507,0.0923542223157009,0.0916168954294296,0.000701352464739493,0.0513382667837158,0.0513382667837158,0.0513382667837158,0.0513382667837158,0,0.0683676817463219,0.0686774382525414,0.0692450183338148,0.068767902664841,0.000468355155932115,0.0392828604968915,0.0392828604968915,0.0392828604968915,0.0392828604968915,0,0.0227056800097562,0.0227111278350454,0.0231094907095328,0.0228489927645886,0.000243772194273079,0.0120554062868243,0.0120554062868243,0.0120554062868243,0.0120554062868243,0,0,0,0,0,0,-0.0110540844227086,-0.0106557215482211,-0.0106502737229319,-0.0107935864777644,0.000243772194273086,0,0,0,0,0,0,0,0,0,0,0.0227056800097562,0.0227111278350454,0.0231094907095328,0.0228489927645886,0.000243772194273079,0.0120554062868243,0.0120554062868243,0.0120554062868243,0.0120554062868243,0
"9","35-44","Female","Food_price","USD",-0.723446451310899,-0.692634980754845,-0.672917380284698,-0.6965275667499,0.0268070548758505,0,0,0,0,0,-0.723446451310899,-0.692634980754845,-0.672917380284698,-0.6965275667499,0.0268070548758505,-33.9050350184121,-33.1347488593455,-32.4911914544292,-33.1792150888719,0.745123949195964,-0.492617953383336,-0.471874701138796,-0.45941968728687,-0.474782854960766,0.0176533500337327,-0.230828497927563,-0.220760279616049,-0.213497692997828,-0.221744711789134,0.00916123133276337,1.38654989650828,1.40626749697843,1.43707896753448,1.41016008297348,0.0268070548758512,0.71363251622358,0.71363251622358,0.71363251622358,0.71363251622358,0,0.970988170177579,0.983443184029505,1.00418643627404,0.986351337851475,0.0176533500337325,0.511568482890709,0.511568482890709,0.511568482890709,0.511568482890709,0,0.4155617263307,0.42282431294892,0.432892531260434,0.423808745122006,0.0091612313327631,0.202064033332871,0.202064033332871,0.202064033332871,0.202064033332871,0,0,0,0,0,0,-0.230828497927563,-0.220760279616049,-0.213497692997828,-0.221744711789134,0.00916123133276337,0,0,0,0,0,0,0,0,0,0,0.4155617263307,0.42282431294892,0.432892531260434,0.423808745122006,0.0091612313327631,0.202064033332871,0.202064033332871,0.202064033332871,0.202064033332871,0
"10","35-44","Male","CED","MJ",-1.18672376217854,-1.14346975454136,-1.05627897516929,-1.12805334340631,0.069941254392113,0,0,0,0,0,-1.18672376217854,-1.14346975454136,-1.05627897516929,-1.12805334340631,0.069941254392113,-27.2945876497148,-26.396815521946,-24.4925345775321,-26.0436545336495,1.50614513040049,-0.864202807377069,-0.83260582885397,-0.7691517096408,-0.821427884752191,0.0509548810572659,-0.322520954801476,-0.310863925687392,-0.287127265528488,-0.306625458654122,0.0189864538561358,2.53855037949948,2.62574115887155,2.66899516650874,2.6103247477365,0.0699412543921122,1.48227140433019,1.48227140433019,1.48227140433019,1.48227140433019,0,1.88999248677179,1.95344660598496,1.98504358450806,1.94226866188318,0.0509548810572656,1.12084077713099,1.12084077713099,1.12084077713099,1.12084077713099,0,0.648557892727687,0.67229455288659,0.683951582000676,0.668056085853321,0.0189864538561358,0.361430627199199,0.361430627199199,0.361430627199199,0.361430627199199,0,0,0,0,0,0,-0.322520954801476,-0.310863925687392,-0.287127265528488,-0.306625458654122,0.0189864538561358,0,0,0,0,0,0,0,0,0,0,0.648557892727687,0.67229455288659,0.683951582000676,0.668056085853321,0.0189864538561358,0.361430627199199,0.361430627199199,0.361430627199199,0.361430627199199,0
