"","age_gp","sex_gp","race_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","HIS","CED","MJ",-1.17813134848929,-1.16970398073385,-1.10458876516983,-1.14981350781856,0.0423665650384219,0,0,0,0,0,-1.17813134848929,-1.16970398073385,-1.10458876516983,-1.14981350781856,0.0423665650384219,-30.7042758752234,-30.1059366723852,-28.5830893324409,-29.781547852348,1.15121728274007,-0.866288727255693,-0.861152650213332,-0.812422368114652,-0.845856437912869,0.0312928688872935,-0.311842621233596,-0.308551330520522,-0.29216639705518,-0.303957069905691,0.0110939281733728,2.59776339380944,2.66287860937346,2.6713059771289,2.64298813645817,0.0423665650384227,1.49317462863961,1.49317462863961,1.49317462863961,1.49317462863961,0,1.94842031910465,1.99715060120333,2.00228667824569,1.98185438890287,0.0312928688872934,1.13599795099,1.13599795099,1.13599795099,1.13599795099,0,0.649343074704788,0.66572800817013,0.669019298883204,0.661133747555299,0.0110939281733731,0.357176677649608,0.357176677649608,0.357176677649608,0.357176677649608,0,0,0,0,0,0,-0.311842621233596,-0.308551330520522,-0.29216639705518,-0.303957069905691,0.0110939281733728,0,0,0,0,0,0,0,0,0,0,0.649343074704788,0.66572800817013,0.669019298883204,0.661133747555299,0.0110939281733731,0.357176677649608,0.357176677649608,0.357176677649608,0.357176677649608,0
"2","20-34","Female","HIS","FL","mrh-eq",-0.0382529914521682,-0.0377555126518039,-0.0357758242882268,-0.037235439120852,0.00137937641188031,0,0,0,0,0,-0.0382529914521682,-0.0377555126518039,-0.0357758242882268,-0.037235439120852,0.00137937641188031,-30.7042758752234,-30.1059366723852,-28.5830893324409,-29.781547852348,1.15121728274007,-0.0277419821296076,-0.0274170836690976,-0.0259500283481652,-0.0270163268759669,0.00100496538982439,-0.0105110093225607,-0.0103384289827063,-0.00982579594006159,-0.0102191122448851,0.000375150075152141,0.0884550918563399,0.0904347802199172,0.0909322590202813,0.0899147066889652,0.00137937641188032,0.0526792675681131,0.0526792675681131,0.0526792675681131,0.0526792675681131,0,0.0661379911481652,0.0676050464690975,0.0679299449296075,0.0672042896759669,0.00100496538982436,0.0401879628,0.0401879628,0.0401879628,0.0401879628,0,0.0223171007081747,0.0228297337508194,0.0230023140906738,0.0227104170129982,0.000375150075152161,0.0124913047681131,0.0124913047681131,0.0124913047681131,0.0124913047681131,0,0,0,0,0,0,-0.0105110093225607,-0.0103384289827063,-0.00982579594006159,-0.0102191122448851,0.000375150075152141,0,0,0,0,0,0,0,0,0,0,0.0223171007081747,0.0228297337508194,0.0230023140906738,0.0227104170129982,0.000375150075152161,0.0124913047681131,0.0124913047681131,0.0124913047681131,0.0124913047681131,0
"3","20-34","Female","HIS","Food_price","USD",-0.679070393565794,-0.653849703219669,-0.636713062082458,-0.656686211714025,0.0224282634866536,0,0,0,0,0,-0.679070393565794,-0.653849703219669,-0.636713062082458,-0.656686211714025,0.0224282634866536,-30.7042758752234,-30.1059366723852,-28.5830893324409,-29.781547852348,1.15121728274007,-0.463584404671045,-0.447110353179064,-0.434465616605848,-0.448453972448806,0.0153697881749073,-0.215485988894749,-0.206739350040605,-0.20224744547661,-0.208232239265219,0.0070865892319207,1.39619323383988,1.41332987497709,1.43855056532322,1.41616638347145,0.0224282634866524,0.759480171757423,0.759480171757423,0.759480171757423,0.759480171757423,0,0.987053693590889,0.999698430164103,1.01617248165609,1.00104204943385,0.0153697881749067,0.552588076985041,0.552588076985041,0.552588076985041,0.552588076985041,0,0.409139540248993,0.413631444812988,0.422378083667131,0.415124334037601,0.00708658923192081,0.206892094772382,0.206892094772382,0.206892094772382,0.206892094772382,0,0,0,0,0,0,-0.215485988894749,-0.206739350040605,-0.20224744547661,-0.208232239265219,0.0070865892319207,0,0,0,0,0,0,0,0,0,0,0.409139540248993,0.413631444812988,0.422378083667131,0.415124334037601,0.00708658923192081,0.206892094772382,0.206892094772382,0.206892094772382,0.206892094772382,0
"4","20-34","Female","NHB","CED","MJ",-1.28721032180224,-1.2540501173135,-1.20440018247706,-1.24826424701606,0.0438713690293422,0,0,0,0,0,-1.28721032180224,-1.2540501173135,-1.20440018247706,-1.24826424701606,0.0438713690293422,-39.2485902623365,-38.6613017502302,-36.717304243226,-38.1852635064064,1.39458410380064,-0.949924399270906,-0.923448146570281,-0.887476648891686,-0.92011648166573,0.0329936397512026,-0.337285922531337,-0.330601970743215,-0.316923533585374,-0.328147765350331,0.0109257693316823,2.60929716053263,2.65894709536906,2.69210729985781,2.65316122507163,0.043871369029341,1.40489697805557,1.40489697805557,1.40489697805557,1.40489697805557,0,1.96193057878169,1.99790207646028,2.02437832916091,1.99457041155573,0.0329936397512026,1.07445392989,1.07445392989,1.07445392989,1.07445392989,0,0.647366581750942,0.661045018908783,0.667728970696905,0.658590813515899,0.0109257693316823,0.330443048165568,0.330443048165568,0.330443048165568,0.330443048165568,0,0,0,0,0,0,-0.337285922531337,-0.330601970743215,-0.316923533585374,-0.328147765350331,0.0109257693316823,0,0,0,0,0,0,0,0,0,0,0.647366581750942,0.661045018908783,0.667728970696905,0.658590813515899,0.0109257693316823,0.330443048165568,0.330443048165568,0.330443048165568,0.330443048165568,0
"5","20-34","Female","NHB","FL","mrh-eq",-0.0406380474300136,-0.0402474506666835,-0.0382902530989265,-0.0396977661739021,0.00132420650794598,0,0,0,0,0,-0.0406380474300136,-0.0402474506666835,-0.0382902530989265,-0.0396977661739021,0.00132420650794598,-39.2485902623365,-38.6613017502302,-36.717304243226,-38.1852635064064,1.39458410380064,-0.0296639136202468,-0.0293387649466622,-0.0279119628749846,-0.0289522198946997,0.000980965400223794,-0.0109741338097668,-0.0109086857200213,-0.0103782902239419,-0.0107455462792024,0.000343957848531274,0.086329668848842,0.088286866416599,0.0886774631799291,0.0877371819238176,0.00132420650794604,0.0480394157499155,0.0480394157499155,0.0480394157499155,0.0480394157499155,0,0.0648083499849846,0.0662351520566621,0.0665603007302468,0.0658486070046997,0.000980965400223763,0.03689638711,0.03689638711,0.03689638711,0.03689638711,0,0.0215213188638574,0.0220517143599369,0.0221171624496823,0.0218885749191179,0.000343957848531294,0.0111430286399155,0.0111430286399155,0.0111430286399155,0.0111430286399155,0,0,0,0,0,0,-0.0109741338097668,-0.0109086857200213,-0.0103782902239419,-0.0107455462792024,0.000343957848531274,0,0,0,0,0,0,0,0,0,0,0.0215213188638574,0.0220517143599369,0.0221171624496823,0.0218885749191179,0.000343957848531294,0.0111430286399155,0.0111430286399155,0.0111430286399155,0.0111430286399155,0
"6","20-34","Female","NHB","Food_price","USD",-0.957136855639771,-0.917646382435173,-0.908077592262361,-0.928145218586677,0.0273747311970794,0,0,0,0,0,-0.957136855639771,-0.917646382435173,-0.908077592262361,-0.928145218586677,0.0273747311970794,-39.2485902623365,-38.6613017502302,-36.717304243226,-38.1852635064064,1.39458410380064,-0.650098333132623,-0.622321321716105,-0.615734107072877,-0.629756338127786,0.0191984042151679,-0.307038522507148,-0.295325060719069,-0.292343485189483,-0.298388880458891,0.00817670837364843,1.73674243358573,1.74631122375854,1.78580169696314,1.75681005991004,0.0273747311970793,0.828664841323367,0.828664841323367,0.828664841323367,0.828664841323367,0,1.21306830281401,1.21965551745723,1.24743252887375,1.22709053386892,0.0191984042151669,0.597334195741129,0.597334195741129,0.597334195741129,0.597334195741129,0,0.523674130771721,0.526655706301306,0.538369168089386,0.529719526041129,0.00817670837364873,0.231330645582237,0.231330645582237,0.231330645582237,0.231330645582237,0,0,0,0,0,0,-0.307038522507148,-0.295325060719069,-0.292343485189483,-0.298388880458891,0.00817670837364843,0,0,0,0,0,0,0,0,0,0,0.523674130771721,0.526655706301306,0.538369168089386,0.529719526041129,0.00817670837364873,0.231330645582237,0.231330645582237,0.231330645582237,0.231330645582237,0
"7","20-34","Female","NHW","CED","MJ",-1.29342091623058,-1.22405368952553,-1.21576175972091,-1.24548361826252,0.0448893434378435,0,0,0,0,0,-1.29342091623058,-1.22405368952553,-1.21576175972091,-1.24548361826252,0.0448893434378435,-33.6878870661247,-32.1436852214183,-32.0591541005357,-32.6558503876723,0.965181071409526,-0.974679011122531,-0.922534056336052,-0.913804052513834,-0.937767372463863,0.0346491979444808,-0.318764961635297,-0.301980763734315,-0.30154268971672,-0.307716245798661,0.0103360690215575,2.66360536507937,2.67189729488399,2.74126452158904,2.69332722362098,0.044889343437841,1.44784360535846,1.44784360535846,1.44784360535846,1.44784360535846,0,2.03018097030384,2.03891097412605,2.09105592891253,2.05414429025386,0.03464919794448,1.11637691779,1.11637691779,1.11637691779,1.11637691779,0,0.63300937728518,0.633447451302773,0.650231649203756,0.63918293336712,0.0103360690215573,0.331466687568459,0.331466687568459,0.331466687568459,0.331466687568459,0,0,0,0,0,0,-0.318764961635297,-0.301980763734315,-0.30154268971672,-0.307716245798661,0.0103360690215575,0,0,0,0,0,0,0,0,0,0,0.63300937728518,0.633447451302773,0.650231649203756,0.63918293336712,0.0103360690215573,0.331466687568459,0.331466687568459,0.331466687568459,0.331466687568459,0
"8","20-34","Female","NHW","FL","mrh-eq",-0.0407241657810895,-0.038697413557735,-0.0385932525498368,-0.039372006966667,0.00126457269375716,0,0,0,0,0,-0.0407241657810895,-0.038697413557735,-0.0385932525498368,-0.039372006966667,0.00126457269375716,-33.6878870661247,-32.1436852214183,-32.0591541005357,-32.6558503876723,0.965181071409526,-0.0301481025033475,-0.0285792636564048,-0.0285570881624234,-0.0291219525521807,0.00096025097839184,-0.0105772304090041,-0.0101414925265738,-0.0100151560246942,-0.0102500544144863,0.000310409144527585,0.089922794950583,0.0900269559584812,0.0920537081818357,0.0907015493674132,0.00126457269375715,0.0513295424007461,0.0513295424007461,0.0513295424007461,0.0513295424007461,0,0.0680736875524234,0.0680958630464048,0.0696647018933475,0.0686385519421807,0.00096025097839183,0.03951659939,0.03951659939,0.03951659939,0.03951659939,0,0.0218280990354404,0.02195443553732,0.0223901734197502,0.0220629974252325,0.000310409144527573,0.0118129430107461,0.0118129430107461,0.0118129430107461,0.0118129430107461,0,0,0,0,0,0,-0.0105772304090041,-0.0101414925265738,-0.0100151560246942,-0.0102500544144863,0.000310409144527585,0,0,0,0,0,0,0,0,0,0,0.0218280990354404,0.02195443553732,0.0223901734197502,0.0220629974252325,0.000310409144527573,0.0118129430107461,0.0118129430107461,0.0118129430107461,0.0118129430107461,0
"9","20-34","Female","NHW","Food_price","USD",-0.829384375918024,-0.786262190878751,-0.776421122563984,-0.797939775694367,0.0296531991612237,0,0,0,0,0,-0.829384375918024,-0.786262190878751,-0.776421122563984,-0.797939775694367,0.0296531991612237,-33.6878870661247,-32.1436852214183,-32.0591541005357,-32.6558503876723,0.965181071409526,-0.566121303866566,-0.535440238033902,-0.529764931178213,-0.544214188552139,0.0205884024745059,-0.263263072051458,-0.250821952844849,-0.24665619138577,-0.253725587142228,0.00909499980422505,1.66762478486127,1.67746585317604,1.72058803821532,1.68914343799166,0.0296531991612244,0.891203662297289,0.891203662297289,0.891203662297289,0.891203662297289,0,1.16891648834967,1.17459179520536,1.20527286103802,1.18336574572359,0.0205884024745048,0.639151557171457,0.639151557171457,0.639151557171457,0.639151557171457,0,0.498708296511604,0.502874057970682,0.515315177177292,0.505777692268062,0.00909499980422531,0.252052105125833,0.252052105125833,0.252052105125833,0.252052105125833,0,0,0,0,0,0,-0.263263072051458,-0.250821952844849,-0.24665619138577,-0.253725587142228,0.00909499980422505,0,0,0,0,0,0,0,0,0,0,0.498708296511604,0.502874057970682,0.515315177177292,0.505777692268062,0.00909499980422531,0.252052105125833,0.252052105125833,0.252052105125833,0.252052105125833,0
"10","20-34","Female","OTH","CED","MJ",-1.01538180253541,-0.918000668587211,-0.865013741362924,-0.93357758322718,0.080282572890815,0,0,0,0,0,-1.01538180253541,-0.918000668587211,-0.865013741362924,-0.93357758322718,0.080282572890815,-28.0353899284927,-26.0934557471652,-24.5656971173165,-26.2387805020701,1.83048581009092,-0.756829134154882,-0.689055751893602,-0.648130799460392,-0.698476253587662,0.0577884367659339,-0.25855266838053,-0.228944916693611,-0.216882941902533,-0.23510132963952,0.0225701995100105,2.30665803977353,2.35964496699782,2.45702610094601,2.37522188163778,0.0802825728908145,1.4416442984106,1.4416442984106,1.4416442984106,1.4416442984106,0,1.75543293402039,1.7963578864536,1.86413126871488,1.80577838814766,0.0577884367659341,1.10730213456,1.10730213456,1.10730213456,1.10730213456,0,0.551225105753135,0.563287080544213,0.592894832231131,0.569443493490122,0.0225701995100103,0.334342163850602,0.334342163850602,0.334342163850602,0.334342163850602,0,0,0,0,0,0,-0.25855266838053,-0.228944916693611,-0.216882941902533,-0.23510132963952,0.0225701995100105,0,0,0,0,0,0,0,0,0,0,0.551225105753135,0.563287080544213,0.592894832231131,0.569443493490122,0.0225701995100103,0.334342163850602,0.334342163850602,0.334342163850602,0.334342163850602,0
