"","sex_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","Female","CED","MJ",-1.2556502202843,-1.24395287876828,-1.23722405949858,-1.24569621990734,0.00981479660664892,0,0,0,0,0,-1.2556502202843,-1.24395287876828,-1.23722405949858,-1.24569621990734,0.00981479660664892,-33.3989826315151,-33.3357468509445,-32.760732862653,-33.1561755499898,0.370171934329761,-0.937198339072318,-0.92755828771919,-0.92405458569501,-0.929711392746891,0.00716466102806214,-0.318451881211985,-0.316394591049088,-0.313169473803575,-0.315984827160451,0.0028027704303001,2.69553198676262,2.70226080603232,2.71395814754834,2.70400414717138,0.0098147966066483,1.45830792726404,1.45830792726404,1.45830792726404,1.45830792726404,0,2.04385484272502,2.04735854474921,2.05699859610233,2.04951164977691,0.00716466102806236,1.11980025703001,1.11980025703001,1.11980025703001,1.11980025703001,0,0.6516771440376,0.654902261283114,0.656959551446011,0.654492497394477,0.00280277043030045,0.338507670234026,0.338507670234026,0.338507670234026,0.338507670234026,0,0,0,0,0,0,-0.318451881211985,-0.316394591049088,-0.313169473803575,-0.315984827160451,0.0028027704303001,0,0,0,0,0,0,0,0,0,0,0.6516771440376,0.654902261283114,0.656959551446011,0.654492497394477,0.00280277043030045,0.338507670234026,0.338507670234026,0.338507670234026,0.338507670234026,0
"2","Female","FL","mrh-eq",-0.0411149005410924,-0.0409353391473948,-0.0403978959145659,-0.040809766572261,0.000392727789604613,0,0,0,0,0,-0.0411149005410924,-0.0409353391473948,-0.0403978959145659,-0.040809766572261,0.000392727789604613,-33.3989826315151,-33.3357468509445,-32.760732862653,-33.1561755499898,0.370171934329761,-0.030132152619696,-0.0299678135371918,-0.0296269056859137,-0.0299058595832361,0.000271278210067079,-0.0109827479213964,-0.010967525610203,-0.0107709902286521,-0.0109039069890249,0.000124325842542398,0.0921634107742107,0.0927008540070396,0.0928804154007372,0.0925752814319058,0.000392727789604637,0.0517655148596448,0.0517655148596448,0.0517655148596448,0.0517655148596448,0,0.0692836150112505,0.0696245228625286,0.0697888619450328,0.0695625689085729,0.000271278210067089,0.0396567093253367,0.0396567093253367,0.0396567093253367,0.0396567093253367,0,0.0228797957629602,0.023076331144511,0.0230915534557044,0.023012712523333,0.000124325842542401,0.012108805534308,0.012108805534308,0.012108805534308,0.012108805534308,0,0,0,0,0,0,-0.0109827479213964,-0.010967525610203,-0.0107709902286521,-0.0109039069890249,0.000124325842542398,0,0,0,0,0,0,0,0,0,0,0.0228797957629602,0.023076331144511,0.0230915534557044,0.023012712523333,0.000124325842542401,0.012108805534308,0.012108805534308,0.012108805534308,0.012108805534308,0
"3","Female","Food_price","USD",-0.727120704646369,-0.726231043246333,-0.712248729050173,-0.721637129984535,0.00878040572073007,0,0,0,0,0,-0.727120704646369,-0.726231043246333,-0.712248729050173,-0.721637129984535,0.00878040572073007,-33.3989826315151,-33.3357468509445,-32.760732862653,-33.1561755499898,0.370171934329761,-0.496256952357892,-0.495716298811998,-0.486297715361522,-0.492601235687583,0.00589518203237673,-0.230863752288476,-0.230514744434334,-0.225951013688651,-0.229035894296951,0.00288545386670941,1.51147734996368,1.52545966415984,1.52634932555988,1.52086575089804,0.00878040572072962,0.79922862091351,0.79922862091351,0.79922862091351,0.79922862091351,0,1.06663051260688,1.07604909605736,1.07658974960326,1.07293403293295,0.00589518203237662,0.580332797245363,0.580332797245363,0.580332797245363,0.580332797245363,0,0.444846837356798,0.449410568102481,0.449759575956623,0.447931717965098,0.0028854538667095,0.218895823668147,0.218895823668147,0.218895823668147,0.218895823668147,0,0,0,0,0,0,-0.230863752288476,-0.230514744434334,-0.225951013688651,-0.229035894296951,0.00288545386670941,0,0,0,0,0,0,0,0,0,0,0.444846837356798,0.449410568102481,0.449759575956623,0.447931717965098,0.0028854538667095,0.218895823668147,0.218895823668147,0.218895823668147,0.218895823668147,0
"4","Male","CED","MJ",-1.12767190212657,-1.10030655300884,-1.08702950010822,-1.10524981483941,0.0218149156825923,0,0,0,0,0,-1.12767190212657,-1.10030655300884,-1.08702950010822,-1.10524981483941,0.0218149156825923,-26.5989615455222,-26.0924076548087,-25.6853305335058,-26.1273117844265,0.481807586986547,-0.826307708257369,-0.806147388839311,-0.797107602901024,-0.81004933041116,0.0157355943979341,-0.3013641938692,-0.294159164169534,-0.289921897207196,-0.295200484428246,0.00608940828763627,2.56441964233904,2.57769669523966,2.60506204435739,2.58263995707022,0.0218149156825917,1.47739014223082,1.47739014223082,1.47739014223082,1.47739014223082,0,1.91546225994625,1.92450204588454,1.9446623653026,1.92840398745639,0.0157355943979348,1.11835465704523,1.11835465704523,1.11835465704523,1.11835465704523,0,0.648957382392783,0.653194649355121,0.660399679054786,0.654235969613832,0.00608940828763612,0.359035485185586,0.359035485185586,0.359035485185586,0.359035485185586,0,0,0,0,0,0,-0.3013641938692,-0.294159164169534,-0.289921897207196,-0.295200484428246,0.00608940828763627,0,0,0,0,0,0,0,0,0,0,0.648957382392783,0.653194649355121,0.660399679054786,0.654235969613832,0.00608940828763612,0.359035485185586,0.359035485185586,0.359035485185586,0.359035485185586,0
"5","Male","FL","mrh-eq",-0.0359107735321514,-0.0350256204651803,-0.0345038829464825,-0.0351531346926446,0.000748658031229649,0,0,0,0,0,-0.0359107735321514,-0.0350256204651803,-0.0345038829464825,-0.0351531346926446,0.000748658031229649,-26.5989615455222,-26.0924076548087,-25.6853305335058,-26.1273117844265,0.481807586986547,-0.0259185473675591,-0.0252800128193651,-0.0249305304890669,-0.0253814346502057,0.000527374657772677,-0.00999222616459223,-0.00974560764581524,-0.00957335245741553,-0.00977170004243885,0.000221614876571266,0.0867327070376878,0.0872544445563858,0.0881395976233567,0.08738195878385,0.000748658031229637,0.0522288240912054,0.0522288240912054,0.0522288240912054,0.0522288240912054,0,0.0645625986021004,0.0649120809323986,0.0655506154805927,0.0650135027632393,0.000527374657772699,0.0396320681130335,0.0396320681130335,0.0396320681130335,0.0396320681130335,0,0.0221701084355874,0.0223423636239871,0.0225889821427641,0.0223684560206108,0.000221614876571261,0.0125967559781719,0.0125967559781719,0.0125967559781719,0.0125967559781719,0,0,0,0,0,0,-0.00999222616459223,-0.00974560764581524,-0.00957335245741553,-0.00977170004243885,0.000221614876571266,0,0,0,0,0,0,0,0,0,0,0.0221701084355874,0.0223423636239871,0.0225889821427641,0.0223684560206108,0.000221614876571261,0.0125967559781719,0.0125967559781719,0.0125967559781719,0.0125967559781719,0
"6","Male","Food_price","USD",-0.595425453812478,-0.594082839038342,-0.573215962339057,-0.587232220818991,0.0131086141641411,0,0,0,0,0,-0.595425453812478,-0.594082839038342,-0.573215962339057,-0.587232220818991,0.0131086141641411,-26.5989615455222,-26.0924076548087,-25.6853305335058,-26.1273117844265,0.481807586986547,-0.402472533030946,-0.40115015052341,-0.3874559511838,-0.396809162161279,0.00875202149366253,-0.192952920781532,-0.192932688514931,-0.185760011155256,-0.190423058657712,0.004365263258208,1.341897969854,1.36276484655329,1.36410746132743,1.35591422833394,0.0131086141641412,0.768682007514948,0.768682007514948,0.768682007514948,0.768682007514948,0,0.941563119913553,0.955257319253163,0.956579701760699,0.950916330891032,0.00875202149366237,0.554107168729753,0.554107168729753,0.554107168729753,0.554107168729753,0,0.400334849940451,0.407507527300126,0.407527759566727,0.404997897442907,0.004365263258208,0.214574838785195,0.214574838785195,0.214574838785195,0.214574838785195,0,0,0,0,0,0,-0.192952920781532,-0.192932688514931,-0.185760011155256,-0.190423058657712,0.004365263258208,0,0,0,0,0,0,0,0,0,0,0.400334849940451,0.407507527300126,0.407527759566727,0.404997897442907,0.004365263258208,0.214574838785195,0.214574838785195,0.214574838785195,0.214574838785195,0
