"","race_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","HIS","added_sugar","CED","MJ",-0.294754661112899,-0.288226300714513,-0.276195776244893,-0.286295716829869,0.00990989149329614,0,0,0,0,0,-0.294754661112899,-0.288226300714513,-0.276195776244893,-0.286295716829869,0.00990989149329614,-11.6283131576428,-11.3759583572062,-10.8920401872499,-11.2947080521116,0.393848738359005,-0.195344394744636,-0.191017791800275,-0.18302672511491,-0.189732015049046,0.00657791746205507,-0.0994102663682631,-0.0972085089142376,-0.0931690511299826,-0.0965637017808237,0.0033319772697135,0.549231143023095,0.561261667492714,0.567790027891101,0.559331083608071,0.00990989149329649,0.273035366778202,0.273035366778202,0.273035366778202,0.273035366778202,0,0.363957158859012,0.371948225544377,0.376274828488738,0.370662448793147,0.00657791746205517,0.180930433744102,0.180930433744102,0.180930433744102,0.180930433744102,0,0.185273984164083,0.189313441948338,0.191515199402363,0.188668634814924,0.00333197726971347,0.0921049330341002,0.0921049330341002,0.0921049330341002,0.0921049330341002,0,0,0,0,0,0,-0.0994102663682631,-0.0972085089142376,-0.0931690511299826,-0.0965637017808237,0.0033319772697135,0,0,0,0,0,0,0,0,0,0,0.185273984164083,0.189313441948338,0.191515199402363,0.188668634814924,0.00333197726971347,0.0921049330341002,0.0921049330341002,0.0921049330341002,0.0921049330341002,0
"2","HIS","added_sugar","FL","mrh-eq",-0.01322272554307,-0.0129266408434241,-0.0123088727571966,-0.0128137694797112,0.000490807552834608,0,0,0,0,0,-0.01322272554307,-0.0129266408434241,-0.0123088727571966,-0.0128137694797112,0.000490807552834608,-11.6283131576428,-11.3759583572062,-10.8920401872499,-11.2947080521116,0.393848738359005,-0.00876468532792578,-0.00856856505717108,-0.00815830520820386,-0.00849342836306143,0.000325713409443506,-0.00445804021514418,-0.00435807578625298,-0.00415056754899271,-0.0043203411166498,0.000165094335496578,0.0245307619568079,0.0251485300430354,0.0254446147426813,0.0250356586793225,0.000490807552834609,0.0122218891996113,0.0122218891996113,0.0122218891996113,0.0122218891996113,0,0.0162588617870835,0.0166691216360508,0.0168652419068055,0.0165939849419411,0.000325713409443504,0.00810055657887967,0.00810055657887967,0.00810055657887967,0.00810055657887967,0,0.00827190016972434,0.0084794084069846,0.00857937283587581,0.00844167373738143,0.000165094335496575,0.00412133262073163,0.00412133262073163,0.00412133262073163,0.00412133262073163,0,0,0,0,0,0,-0.00445804021514418,-0.00435807578625298,-0.00415056754899271,-0.0043203411166498,0.000165094335496578,0,0,0,0,0,0,0,0,0,0,0.00827190016972434,0.0084794084069846,0.00857937283587581,0.00844167373738143,0.000165094335496575,0.00412133262073163,0.00412133262073163,0.00412133262073163,0.00412133262073163,0
"3","HIS","added_sugar","Food_price","USD",-0.454427493909942,-0.450576421680206,-0.432062328760812,-0.445431502139975,0.0125861977643503,0,0,0,0,0,-0.454427493909942,-0.450576421680206,-0.432062328760812,-0.445431502139975,0.0125861977643503,-11.6283131576428,-11.3759583572062,-10.8920401872499,-11.2947080521116,0.393848738359005,-0.301138437437724,-0.298568817724865,-0.286279354568923,-0.295158346341327,0.00835971293396461,-0.153289056472219,-0.152007603955341,-0.145782974191889,-0.150273155798648,0.00422649182400089,0.85619799840006,0.874712091319454,0.878563163549191,0.869567171779224,0.0125861977643505,0.424135669639248,0.424135669639248,0.424135669639248,0.424135669639248,0,0.567308411859937,0.579597875015879,0.582167494728738,0.576187403632341,0.0083597129339645,0.281029057291014,0.281029057291014,0.281029057291014,0.281029057291014,0,0.288889586540124,0.295114216303575,0.296395668820453,0.293379768146883,0.00422649182400076,0.143106612348234,0.143106612348234,0.143106612348234,0.143106612348234,0,0,0,0,0,0,-0.153289056472219,-0.152007603955341,-0.145782974191889,-0.150273155798648,0.00422649182400089,0,0,0,0,0,0,0,0,0,0,0.288889586540124,0.295114216303575,0.296395668820453,0.293379768146883,0.00422649182400076,0.143106612348234,0.143106612348234,0.143106612348234,0.143106612348234,0
"4","HIS","oil","CED","MJ",0.0171053533701762,0.0185673801137397,0.0197821253841907,0.0184806146845774,0.00141082981063225,0,0,0,0,0,0.0171053533701762,0.0185673801137397,0.0197821253841907,0.0184806146845774,0.00141082981063225,1.85632003473776,2.01784683659114,2.14820415705258,2.00691017645362,0.153914919101872,0.0143053819060841,0.0155301302656626,0.016545251424176,0.0154565768617801,0.00118059838723997,0.00279997146409214,0.00303724984807705,0.00323687396001476,0.00302403782279733,0.000230233174395459,0.279449131452026,0.280663876722477,0.28212590346604,0.280750642151639,0.00141082981063227,0.299231256836216,0.299231256836216,0.299231256836216,0.299231256836216,0,0.233560907797615,0.234576028956128,0.235800777315707,0.234649582360011,0.00118059838723995,0.250106159221791,0.250106159221791,0.250106159221791,0.250106159221791,0,0.045888223654411,0.0460878477663486,0.0463251261503335,0.0461010597916284,0.00023023317439545,0.0491250976144257,0.0491250976144257,0.0491250976144257,0.0491250976144257,0,0,0,0,0,0,0.00279997146409214,0.00303724984807705,0.00323687396001476,0.00302403782279733,0.000230233174395459,0,0,0,0,0,0,0,0,0,0,0.045888223654411,0.0460878477663486,0.0463251261503335,0.0461010597916284,0.00023023317439545,0.0491250976144257,0.0491250976144257,0.0491250976144257,0.0491250976144257,0
"5","HIS","oil","FL","mrh-eq",0.000876506486509213,0.000945820667670389,0.00100792537547618,0.000943291027896569,6.9202520808433e-05,0,0,0,0,0,0.000876506486509213,0.000945820667670389,0.00100792537547618,0.000943291027896569,6.9202520808433e-05,1.85632003473776,2.01784683659114,2.14820415705258,2.00691017645362,0.153914919101872,0.000733045135890421,0.000791126864299735,0.000843016509308132,0.000788954203457308,5.79102457783641e-05,0.000143461350618793,0.000154693803370655,0.000164908866168046,0.000154336824439262,1.12923987214905e-05,0.0141566102897483,0.0142187149975541,0.0142880291787153,0.0142212446373279,6.92025208084317e-05,0.0151645356652245,0.0151645356652245,0.0151645356652245,0.0151645356652245,0,0.01183176290398,0.0118836525489884,0.0119417342773978,0.0118858252098309,5.79102457783655e-05,0.0126747794132882,0.0126747794132882,0.0126747794132882,0.0126747794132882,0,0.00232484738576828,0.00233506244856567,0.00234629490131754,0.00233541942749707,1.12923987214906e-05,0.00248975625193633,0.00248975625193633,0.00248975625193633,0.00248975625193633,0,0,0,0,0,0,0.000143461350618793,0.000154693803370655,0.000164908866168046,0.000154336824439262,1.12923987214905e-05,0,0,0,0,0,0,0,0,0,0,0.00232484738576828,0.00233506244856567,0.00234629490131754,0.00233541942749707,1.12923987214906e-05,0.00248975625193633,0.00248975625193633,0.00248975625193633,0.00248975625193633,0
"6","HIS","oil","Food_price","USD",0.0116329755051698,0.0121632868706221,0.0142083213073322,0.0126947686500108,0.0014314629721066,0,0,0,0,0,0.0116329755051698,0.0121632868706221,0.0142083213073322,0.0126947686500108,0.0014314629721066,1.85632003473776,2.01784683659114,2.14820415705258,2.00691017645362,0.153914919101872,0.00972913430451468,0.0101706836559941,0.0118832767274365,0.0106166639086127,0.00119774105914432,0.00190384120065514,0.00199260321462804,0.00232504457989566,0.00207810474139812,0.000233725396698155,0.190484623074777,0.192529657511486,0.193059968876939,0.191998175732098,0.00143146297210649,0.204692944382109,0.204692944382109,0.204692944382109,0.204692944382109,0,0.159211302474613,0.160923895546056,0.161365444897535,0.160477915293437,0.00119774105914437,0.17109457920205,0.17109457920205,0.17109457920205,0.17109457920205,0,0.0312733206001634,0.0316057619654311,0.031694523979404,0.031520260438661,0.000233725396698171,0.0335983651800591,0.0335983651800591,0.0335983651800591,0.0335983651800591,0,0,0,0,0,0,0.00190384120065514,0.00199260321462804,0.00232504457989566,0.00207810474139812,0.000233725396698155,0,0,0,0,0,0,0,0,0,0,0.0312733206001634,0.0316057619654311,0.031694523979404,0.031520260438661,0.000233725396698171,0.0335983651800591,0.0335983651800591,0.0335983651800591,0.0335983651800591,0
"7","HIS","sat_fat","CED","MJ",-0.740932594306871,-0.716943162075846,-0.715685775776738,-0.724919318543185,0.0149759778403396,0,0,0,0,0,-0.740932594306871,-0.716943162075846,-0.715685775776738,-0.724919318543185,0.0149759778403396,-14.4104906812918,-13.9363125145009,-13.9142623918104,-14.0949539334835,0.295104300091178,-0.566289359416979,-0.548196378776813,-0.547183640951565,-0.55418944643117,0.0113160755935085,-0.174643234889892,-0.168746783299033,-0.168502134825173,-0.170729872112015,0.00366009915259584,1.61200113947537,1.61325852577448,1.63724795800551,1.62123468224182,0.0149759778403396,0.896315363698635,0.896315363698635,0.896315363698635,0.896315363698635,0,1.23211736121295,1.2331300990382,1.25122307967836,1.23912316669255,0.0113160755935082,0.684933720261384,0.684933720261384,0.684933720261384,0.684933720261384,0,0.379883778262424,0.380128426736284,0.386024878327144,0.382111515549266,0.00366009915259591,0.211381643437251,0.211381643437251,0.211381643437251,0.211381643437251,0,0,0,0,0,0,-0.174643234889892,-0.168746783299033,-0.168502134825173,-0.170729872112015,0.00366009915259584,0,0,0,0,0,0,0,0,0,0,0.379883778262424,0.380128426736284,0.386024878327144,0.382111515549266,0.00366009915259591,0.211381643437251,0.211381643437251,0.211381643437251,0.211381643437251,0
"8","HIS","sat_fat","FL","mrh-eq",-0.0202564816033324,-0.019588566572013,-0.0195576913532086,-0.0198120893132463,0.000415616571171158,0,0,0,0,0,-0.0202564816033324,-0.019588566572013,-0.0195576913532086,-0.0198120893132463,0.000415616571171158,-14.4104906812918,-13.9363125145009,-13.9142623918104,-14.0949539334835,0.295104300091178,-0.0154791713230172,-0.0149753629263808,-0.0149503408605941,-0.0151433581301877,0.000314062724144341,-0.0047773102803152,-0.00461320364563212,-0.00460735049261447,-0.00466873118305859,0.000101559016663502,0.044060595750216,0.0440914709690204,0.0447593860003398,0.0443149937102537,0.000415616571171147,0.0245029043970074,0.0245029043970074,0.0245029043970074,0.0245029043970074,0,0.0336713037495513,0.033696325815338,0.0342001342119743,0.0338643210191449,0.000314062724144341,0.0187209628889572,0.0187209628889572,0.0187209628889572,0.0187209628889572,0,0.0103892920006647,0.0103951451536824,0.0105592517883655,0.0104506726911089,0.000101559016663503,0.00578194150805026,0.00578194150805026,0.00578194150805026,0.00578194150805026,0,0,0,0,0,0,-0.0047773102803152,-0.00461320364563212,-0.00460735049261447,-0.00466873118305859,0.000101559016663502,0,0,0,0,0,0,0,0,0,0,0.0103892920006647,0.0103951451536824,0.0105592517883655,0.0104506726911089,0.000101559016663503,0.00578194150805026,0.00578194150805026,0.00578194150805026,0.00578194150805026,0
"9","HIS","sat_fat","Food_price","USD",-0.0861139289076011,-0.0838983864710094,-0.0833168364856552,-0.0844717171556542,0.0015536306444144,0,0,0,0,0,-0.0861139289076011,-0.0838983864710094,-0.0833168364856552,-0.0844717171556542,0.0015536306444144,-14.4104906812918,-13.9363125145009,-13.9142623918104,-14.0949539334835,0.295104300091178,-0.0658338428055725,-0.0641489728764281,-0.0637171123082415,-0.0645886252837817,0.00117733585245564,-0.0202800861020287,-0.0197494135945813,-0.0195997241774137,-0.0198830918718725,0.000376334211360718,0.186705441778748,0.187286991764102,0.189502534200694,0.187860322448747,0.0015536306444144,0.103388605293092,0.103388605293092,0.103388605293092,0.103388605293092,0,0.142736784164394,0.143168644732581,0.144853514661725,0.143608297139934,0.00117733585245567,0.0790196718561528,0.0790196718561528,0.0790196718561528,0.0790196718561528,0,0.0439686576143533,0.0441183470315209,0.0446490195389683,0.044252025308812,0.000376334211360727,0.0243689334369395,0.0243689334369395,0.0243689334369395,0.0243689334369395,0,0,0,0,0,0,-0.0202800861020287,-0.0197494135945813,-0.0195997241774137,-0.0198830918718725,0.000376334211360718,0,0,0,0,0,0,0,0,0,0,0.0439686576143533,0.0441183470315209,0.0446490195389683,0.044252025308812,0.000376334211360727,0.0243689334369395,0.0243689334369395,0.0243689334369395,0.0243689334369395,0
"10","NHB","added_sugar","CED","MJ",-0.412067913860598,-0.405571234756891,-0.393118264592811,-0.403481308069041,0.0101363967825537,0,0,0,0,0,-0.412067913860598,-0.405571234756891,-0.393118264592811,-0.403481308069041,0.0101363967825537,-16.0109705205697,-15.7529332980118,-15.2784861425159,-15.676999988209,0.391086437035281,-0.272851599930486,-0.268535256794904,-0.26029401813614,-0.267158100470981,0.00671599973845185,-0.139216313930112,-0.137035977961988,-0.132824246456671,-0.13632320759806,0.00342040678901848,0.670961262127895,0.683414232291976,0.689910911395682,0.681324305604125,0.0101363967825539,0.277842997535084,0.277842997535084,0.277842997535084,0.277842997535084,0,0.444262966350279,0.452504205009042,0.456820548144625,0.451127048685119,0.00671599973845176,0.183968948214139,0.183968948214139,0.183968948214139,0.183968948214139,0,0.226698295777616,0.230910027282933,0.233090363251057,0.230197256919006,0.0034204067890184,0.0938740493209456,0.0938740493209456,0.0938740493209456,0.0938740493209456,0,0,0,0,0,0,-0.139216313930112,-0.137035977961988,-0.132824246456671,-0.13632320759806,0.00342040678901848,0,0,0,0,0,0,0,0,0,0,0.226698295777616,0.230910027282933,0.233090363251057,0.230197256919006,0.0034204067890184,0.0938740493209456,0.0938740493209456,0.0938740493209456,0.0938740493209456,0
