sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,HIS,CED,MJ,1.15765366793973,1.15765366793973,1.15765366793973
Female,HIS,Food_price,USD,0.55407051603715,0.55407051603715,0.55407051603715
Female,HIS,FL,mrh-eq,0.0410629032219413,0.0410629032219413,0.0410629032219413
Female,NHB,CED,MJ,1.10539927471913,1.10539927471913,1.10539927471913
Female,NHB,Food_price,USD,0.547649448912882,0.547649448912882,0.547649448912882
Female,NHB,FL,mrh-eq,0.0381384167102342,0.0381384167102342,0.0381384167102342
Female,NHW,CED,MJ,1.16767543519029,1.16767543519029,1.16767543519029
Female,NHW,Food_price,USD,0.61317188380319,0.61317188380319,0.61317188380319
Female,NHW,FL,mrh-eq,0.0411624008487919,0.0411624008487919,0.0411624008487919
Female,OTH,CED,MJ,1.14525216613639,1.14525216613639,1.14525216613639
Female,OTH,Food_price,USD,0.619399314096624,0.619399314096624,0.619399314096624
Female,OTH,FL,mrh-eq,0.0411810367124098,0.0411810367124098,0.0411810367124098
Male,HIS,CED,MJ,1.14693378321062,1.14693378321062,1.14693378321062
Male,HIS,Food_price,USD,0.538315165872981,0.538315165872981,0.538315165872981
Male,HIS,FL,mrh-eq,0.0401745643379405,0.0401745643379405,0.0401745643379405
Male,NHB,CED,MJ,1.11480846963823,1.11480846963823,1.11480846963823
Male,NHB,Food_price,USD,0.46934352858243,0.46934352858243,0.46934352858243
Male,NHB,FL,mrh-eq,0.0384346923422519,0.0384346923422519,0.0384346923422519
Male,NHW,CED,MJ,1.16844156318662,1.16844156318662,1.16844156318662
Male,NHW,Food_price,USD,0.602149285344381,0.602149285344381,0.602149285344381
Male,NHW,FL,mrh-eq,0.0412465487580439,0.0412465487580439,0.0412465487580439
Male,OTH,CED,MJ,1.12835972403826,1.12835972403826,1.12835972403826
Male,OTH,Food_price,USD,0.535651749235257,0.535651749235257,0.535651749235257
Male,OTH,FL,mrh-eq,0.0412347561984038,0.0412347561984038,0.0412347561984038
