sex_gp,outcome,outcome_unit,X1,X2,X3
Female,CED,MJ,-1.17969789042948,-1.21967000836472,-1.20703664434223
Female,Food_price,USD,-0.691981853010772,-0.709285063408136,-0.699565907818088
Female,FL,mrh-eq,-0.0388982902601551,-0.0400436757488623,-0.0396354639536612
Male,CED,MJ,-1.04975906199575,-1.05941060655621,-1.05035280760623
Male,Food_price,USD,-0.542288063595062,-0.564719226515637,-0.555649911617584
Male,FL,mrh-eq,-0.033222502328773,-0.0337322304725063,-0.0333688551733681
