age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,1.50903679449777,1.50903679449777,1.50903679449777
20-34,Food_price,USD,0.868625199200415,0.868625199200415,0.868625199200415
20-34,FL,mrh-eq,0.0525238656279669,0.0525238656279669,0.0525238656279669
35-44,CED,MJ,1.51700008258879,1.51700008258879,1.51700008258879
35-44,Food_price,USD,0.771050437414508,0.771050437414508,0.771050437414508
35-44,FL,mrh-eq,0.053161218331472,0.053161218331472,0.053161218331472
45-54,CED,MJ,1.52171942559912,1.52171942559912,1.52171942559912
45-54,Food_price,USD,0.781897489436526,0.781897489436526,0.781897489436526
45-54,FL,mrh-eq,0.0541566222445604,0.0541566222445604,0.0541566222445604
55-64,CED,MJ,1.52139608505376,1.52139608505376,1.52139608505376
55-64,Food_price,USD,0.795122326426852,0.795122326426852,0.795122326426852
55-64,FL,mrh-eq,0.0544735883653509,0.0544735883653509,0.0544735883653509
65-74,CED,MJ,1.52547379357241,1.52547379357241,1.52547379357241
65-74,Food_price,USD,0.800730958588382,0.800730958588382,0.800730958588382
65-74,FL,mrh-eq,0.0539734554078113,0.0539734554078113,0.0539734554078113
75+,CED,MJ,1.50665341280918,1.50665341280918,1.50665341280918
75+,Food_price,USD,0.778541635820839,0.778541635820839,0.778541635820839
75+,FL,mrh-eq,0.0535732760293751,0.0535732760293751,0.0535732760293751
