age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-0.276072792078742,-0.271892924133297,-0.277169824451031
20-34,Food_price,USD,-0.210285403861804,-0.203664187063653,-0.215912996618606
20-34,FL,mrh-eq,-0.008941728560121,-0.00877974088029429,-0.00899587335389747
35-44,CED,MJ,-0.282679366780019,-0.298020621523723,-0.293333094955072
35-44,Food_price,USD,-0.20185449164061,-0.209062325635535,-0.21023999705127
35-44,FL,mrh-eq,-0.00954240416148548,-0.0100690641019556,-0.00991752596879838
45-54,CED,MJ,-0.287738265378185,-0.302574886666046,-0.288765830072719
45-54,Food_price,USD,-0.196614134764177,-0.219432994229729,-0.194780561586418
45-54,FL,mrh-eq,-0.00982488222536336,-0.0103899529940404,-0.00977132313909869
55-64,CED,MJ,-0.292133208823685,-0.31336351096649,-0.302354523444742
55-64,Food_price,USD,-0.184144788569465,-0.204822653729724,-0.191194853483185
55-64,FL,mrh-eq,-0.00999785599886805,-0.0108357818250761,-0.0104006288404369
65-74,CED,MJ,-0.308493029179615,-0.306434640518517,-0.308143128180501
65-74,Food_price,USD,-0.184041602780094,-0.188754878884025,-0.183411231165946
65-74,FL,mrh-eq,-0.0106555557719258,-0.0105864711490359,-0.0106263508153772
75+,CED,MJ,-0.31768771315187,-0.315177551498998,-0.316890565524133
75+,Food_price,USD,-0.204078292680658,-0.196479961918736,-0.202658731941394
75+,FL,mrh-eq,-0.0114248374192661,-0.0112284408369005,-0.0114451720912354
