race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,1.15234684215851,1.15234684215851,1.15234684215851
HIS,Food_price,USD,0.546270908060371,0.546270908060371,0.546270908060371
HIS,FL,mrh-eq,0.0406231354621937,0.0406231354621937,0.0406231354621937
NHB,CED,MJ,1.10965605747519,1.10965605747519,1.10965605747519
NHB,Food_price,USD,0.512223326462854,0.512223326462854,0.512223326462854
NHB,FL,mrh-eq,0.0382724537890978,0.0382724537890978,0.0382724537890978
NHW,CED,MJ,1.16804376054253,1.16804376054253,1.16804376054253
NHW,Food_price,USD,0.607872635532211,0.607872635532211,0.607872635532211
NHW,FL,mrh-eq,0.0412028559796104,0.0412028559796104,0.0412028559796104
OTH,CED,MJ,1.13687764834369,1.13687764834369,1.13687764834369
OTH,Food_price,USD,0.577881014495388,0.577881014495388,0.577881014495388
OTH,FL,mrh-eq,0.0412076684325991,0.0412076684325991,0.0412076684325991
