sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,HIS,CED,MJ,1.89065615439535,1.92494590407554,1.92411575495983
Female,HIS,Food_price,USD,0.915253023520837,0.938844041136672,0.956698633879519
Female,HIS,FL,mrh-eq,0.0647797437500057,0.0660581460307185,0.0661693656885244
Female,NHB,CED,MJ,1.97200665035491,1.97752850160383,1.95334424236365
Female,NHB,Food_price,USD,1.11986307707536,1.11598221575117,1.10936915529782
Female,NHB,FL,mrh-eq,0.0668257069652069,0.0671212342971601,0.0660784303468496
Female,NHW,CED,MJ,2.11643191693736,2.15051899274454,2.14297224807711
Female,NHW,Food_price,USD,1.11110060583507,1.12294359448539,1.10923646816618
Female,NHW,FL,mrh-eq,0.0717887280934917,0.0726271584813347,0.0723918476813602
Female,OTH,CED,MJ,1.85257450107396,1.87253775218147,1.86322663025292
Female,OTH,Food_price,USD,0.996877208318937,0.999188197268957,1.0029946921672
Female,OTH,FL,mrh-eq,0.0641485586775329,0.0646236213209065,0.0645380020281665
Male,HIS,CED,MJ,1.80144269871568,1.80783593447783,1.80519608572331
Male,HIS,Food_price,USD,0.859575641660018,0.848446409076868,0.862027010905693
Male,HIS,FL,mrh-eq,0.0600946581236458,0.0601842790296352,0.0604228109611665
Male,NHB,CED,MJ,1.8660682062264,1.87503727900353,1.85517825550502
Male,NHB,Food_price,USD,0.891865751904603,0.915787364968364,0.908266582140019
Male,NHB,FL,mrh-eq,0.0618078070954267,0.0623066206921796,0.0616062507662635
Male,NHW,CED,MJ,2.00133050512018,2.01258092498241,2.01352257471586
Male,NHW,Food_price,USD,0.991493406548859,1.01443393879867,1.00486777927678
Male,NHW,FL,mrh-eq,0.0673124075690569,0.0678423210933833,0.0677338008279924
Male,OTH,CED,MJ,1.72697889870116,1.69639863002925,1.65580093620232
Male,OTH,Food_price,USD,0.780046040907855,0.779075151623089,0.763019591360994
Male,OTH,FL,mrh-eq,0.0601298744112503,0.0593316076945848,0.0579326890470732
