outcome,outcome_unit,X1,X2,X3
CED,MJ,-0.289527523202537,-0.29699647133969,-0.293658452820128
Food_price,USD,-0.197940363857635,-0.204929002899072,-0.201777525321172
FL,mrh-eq,-0.00980166387906983,-0.0100741412133116,-0.00994746589048132
