race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.694144633362383,-0.714624352150699,-0.712898320202084
HIS,Food_price,USD,-0.341419303643347,-0.347822233556528,-0.363561008289725
HIS,FL,mrh-eq,-0.0218372798792088,-0.0225271818348685,-0.0227014268025116
NHB,CED,MJ,-0.81442333172214,-0.821504729062279,-0.799277235419934
NHB,Food_price,USD,-0.504492234745345,-0.513189398913029,-0.50616567878195
NHB,FL,mrh-eq,-0.026283121690793,-0.0266706170895132,-0.0257827325837103
NHW,CED,MJ,-0.893051752747469,-0.916159828459215,-0.912693982639759
NHW,Food_price,USD,-0.445725354528302,-0.462903622237503,-0.451187316070446
NHW,FL,mrh-eq,-0.0284338265786924,-0.029123933732076,-0.0289495790236874
OTH,CED,MJ,-0.653432166508725,-0.648338199527843,-0.62351659359032
OTH,Food_price,USD,-0.311500992185609,-0.312184972588788,-0.306144748263512
OTH,FL,mrh-eq,-0.0209486061988665,-0.0207924090563744,-0.02005571464082
