age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-0.793260308228227,-0.780253736098517,-0.792167024033001
20-34,Food_price,USD,-0.443227427059415,-0.427937905754059,-0.453691738400696
20-34,FL,mrh-eq,-0.0243432641427885,-0.0238038392938604,-0.0242890495591575
35-44,CED,MJ,-0.794069499259549,-0.84178052492138,-0.832231605652215
35-44,Food_price,USD,-0.420963156525715,-0.440491887396065,-0.443041365761769
35-44,FL,mrh-eq,-0.0251914463611375,-0.0267932143076972,-0.0265643848283035
45-54,CED,MJ,-0.813024817873066,-0.845467544330466,-0.821384532205852
45-54,Food_price,USD,-0.418273845425394,-0.461775044481949,-0.414446115265879
45-54,FL,mrh-eq,-0.0261479976743034,-0.0272472395300306,-0.0261834653718037
55-64,CED,MJ,-0.826938040188682,-0.878518371454856,-0.847624716049517
55-64,Food_price,USD,-0.396623056088048,-0.435735328322625,-0.405634999194952
55-64,FL,mrh-eq,-0.026754262194393,-0.0286248591091866,-0.0274333701046054
65-74,CED,MJ,-0.89219437016556,-0.877828931997105,-0.88755422512447
65-74,Food_price,USD,-0.408706398389817,-0.410791786863876,-0.402316408572183
65-74,FL,mrh-eq,-0.029053240075875,-0.0284503092537794,-0.0287767572663089
75+,CED,MJ,-0.944840039606761,-0.944687286449003,-0.938237122217409
75+,Food_price,USD,-0.439411536144359,-0.426251391025503,-0.434384196261445
75+,FL,mrh-eq,-0.0310172779909529,-0.0307689972693183,-0.0308684573732542
