race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.948220238343062,-0.97486330205402,-0.973930806480394
HIS,Food_price,USD,-0.506806597817071,-0.514913202940362,-0.538884889692776
HIS,FL,mrh-eq,-0.0303641745341568,-0.0312677379474553,-0.0315558800218712
NHB,CED,MJ,-1.11589170507823,-1.12608182024054,-1.09623592593582
NHB,Food_price,USD,-0.746490093509796,-0.75938276397474,-0.749270904180887
NHB,FL,mrh-eq,-0.0365282076284358,-0.0370680330194839,-0.0358677674843874
NHW,CED,MJ,-1.20069914715975,-1.23372333501106,-1.22755530376851
NHW,Food_price,USD,-0.653585048848146,-0.680342023409467,-0.662765445092074
NHW,FL,mrh-eq,-0.0388495629616507,-0.0398888919998303,-0.0395854540680044
OTH,CED,MJ,-0.875305283218778,-0.869842369399089,-0.836352120822308
OTH,Food_price,USD,-0.451066758122141,-0.454336181084444,-0.444044641857823
OTH,FL,mrh-eq,-0.0285256480491685,-0.0284048931483008,-0.0273965603194109
