sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,HIS,added_sugar,CED,MJ,0.094488427781909,0.094488427781909,0.094488427781909
Female,HIS,added_sugar,Food_price,USD,0.144871821918682,0.144871821918682,0.144871821918682
Female,HIS,added_sugar,FL,mrh-eq,0.0045005468751103,0.0045005468751103,0.0045005468751103
Female,HIS,oil,CED,MJ,0.0495416974240145,0.0495416974240145,0.0495416974240145
Female,HIS,oil,Food_price,USD,0.035394913857693,0.035394913857693,0.035394913857693
Female,HIS,oil,FL,mrh-eq,0.00251924967678697,0.00251924967678697,0.00251924967678697
Female,HIS,sat_fat,CED,MJ,0.213431251063947,0.213431251063947,0.213431251063947
Female,HIS,sat_fat,Food_price,USD,0.0263883448939498,0.0263883448939498,0.0263883448939498
Female,HIS,sat_fat,FL,mrh-eq,0.00575470342506366,0.00575470342506366,0.00575470342506366
Female,NHB,added_sugar,CED,MJ,0.096808791378063,0.096808791378063,0.096808791378063
Female,NHB,added_sugar,Food_price,USD,0.162451400057587,0.162451400057587,0.162451400057587
Female,NHB,added_sugar,FL,mrh-eq,0.00418173666980871,0.00418173666980871,0.00418173666980871
Female,NHB,oil,CED,MJ,0.0493531464069153,0.0493531464069153,0.0493531464069153
Female,NHB,oil,Food_price,USD,0.0296796485790328,0.0296796485790328,0.0296796485790328
Female,NHB,oil,FL,mrh-eq,0.00245232729809407,0.00245232729809407,0.00245232729809407
Female,NHB,sat_fat,CED,MJ,0.197286141994648,0.197286141994648,0.197286141994648
Female,NHB,sat_fat,Food_price,USD,0.0233282175000016,0.0233282175000016,0.0233282175000016
Female,NHB,sat_fat,FL,mrh-eq,0.00519416243494976,0.00519416243494976,0.00519416243494976
Female,NHW,added_sugar,CED,MJ,0.0941755771389677,0.0941755771389677,0.0941755771389677
Female,NHW,added_sugar,Food_price,USD,0.170186749562962,0.170186749562962,0.170186749562962
Female,NHW,added_sugar,FL,mrh-eq,0.00449247191390405,0.00449247191390405,0.00449247191390405
Female,NHW,oil,CED,MJ,0.0498379591387666,0.0498379591387666,0.0498379591387666
Female,NHW,oil,Food_price,USD,0.0392895057976255,0.0392895057976255,0.0392895057976255
Female,NHW,oil,FL,mrh-eq,0.00255792323919731,0.00255792323919731,0.00255792323919731
Female,NHW,sat_fat,CED,MJ,0.207824953604702,0.207824953604702,0.207824953604702
Female,NHW,sat_fat,Food_price,USD,0.0231045090516587,0.0231045090516587,0.0231045090516587
Female,NHW,sat_fat,FL,mrh-eq,0.00553316338141973,0.00553316338141973,0.00553316338141973
Female,OTH,added_sugar,CED,MJ,0.0953649306670593,0.0953649306670593,0.0953649306670593
Female,OTH,added_sugar,Food_price,USD,0.167233828460116,0.167233828460116,0.167233828460116
Female,OTH,added_sugar,FL,mrh-eq,0.00462663605032461,0.00462663605032461,0.00462663605032461
Female,OTH,oil,CED,MJ,0.0503274201191431,0.0503274201191431,0.0503274201191431
Female,OTH,oil,Food_price,USD,0.0385216888484018,0.0385216888484018,0.0385216888484018
Female,OTH,oil,FL,mrh-eq,0.00269968272784044,0.00269968272784044,0.00269968272784044
Female,OTH,sat_fat,CED,MJ,0.195825576425571,0.195825576425571,0.195825576425571
Female,OTH,sat_fat,Food_price,USD,0.0267518058149211,0.0267518058149211,0.0267518058149211
Female,OTH,sat_fat,FL,mrh-eq,0.00514722855018307,0.00514722855018307,0.00514722855018307
Male,HIS,added_sugar,CED,MJ,0.097491104906022,0.097491104906022,0.097491104906022
Male,HIS,added_sugar,Food_price,USD,0.153452199343087,0.153452199343087,0.153452199343087
Male,HIS,added_sugar,FL,mrh-eq,0.00408432410563244,0.00408432410563244,0.00408432410563244
Male,HIS,oil,CED,MJ,0.0487001582212829,0.0487001582212829,0.0487001582212829
Male,HIS,oil,Food_price,USD,0.0317658528090649,0.0317658528090649,0.0317658528090649
Male,HIS,oil,FL,mrh-eq,0.00245967242143697,0.00245967242143697,0.00245967242143697
Male,HIS,sat_fat,CED,MJ,0.227229271224454,0.227229271224454,0.227229271224454
Male,HIS,sat_fat,Food_price,USD,0.0243770929247808,0.0243770929247808,0.0243770929247808
Male,HIS,sat_fat,FL,mrh-eq,0.00630039185604891,0.00630039185604891,0.00630039185604891
Male,NHB,added_sugar,CED,MJ,0.0990402918075522,0.0990402918075522,0.0990402918075522
Male,NHB,added_sugar,Food_price,USD,0.157355276787919,0.157355276787919,0.157355276787919
Male,NHB,added_sugar,FL,mrh-eq,0.00403773290798052,0.00403773290798052,0.00403773290798052
Male,NHB,oil,CED,MJ,0.0492506231306031,0.0492506231306031,0.0492506231306031
Male,NHB,oil,Food_price,USD,0.0181872255460809,0.0181872255460809,0.0181872255460809
Male,NHB,oil,FL,mrh-eq,0.00241281862124012,0.00241281862124012,0.00241281862124012
Male,NHB,sat_fat,CED,MJ,0.213200305078982,0.213200305078982,0.213200305078982
Male,NHB,sat_fat,Food_price,USD,0.0219725508339899,0.0219725508339899,0.0219725508339899
Male,NHB,sat_fat,FL,mrh-eq,0.00581052101085635,0.00581052101085635,0.00581052101085635
Male,NHW,added_sugar,CED,MJ,0.0979006338170016,0.0979006338170016,0.0979006338170016
Male,NHW,added_sugar,Food_price,USD,0.171007849019285,0.171007849019285,0.171007849019285
Male,NHW,added_sugar,FL,mrh-eq,0.00439467497864607,0.00439467497864607,0.00439467497864607
Male,NHW,oil,CED,MJ,0.04897271965405,0.04897271965405,0.04897271965405
