race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,2.46592895884732,2.49257202255828,2.49163952698465
HIS,Food_price,USD,1.26118805085412,1.26929465597741,1.29326634272982
HIS,FL,mrh-eq,0.083796407882242,0.0846999712955405,0.0849881133699564
NHB,CED,MJ,2.57715867973717,2.58734879489948,2.55750290059476
NHB,Food_price,USD,1.46605460406371,1.47894727452865,1.4688354147348
NHB,FL,mrh-eq,0.086824710309856,0.087364535700904,0.0861642701658076
NHW,CED,MJ,2.73180867820143,2.76483286605274,2.75866483481019
NHW,Food_price,USD,1.49408544981362,1.52084242437494,1.50326584605755
NHW,FL,mrh-eq,0.09291263075597,0.0939519597941497,0.0936485218623238
OTH,CED,MJ,2.36410150573144,2.35863859191175,2.32514834333497
OTH,Food_price,USD,1.24799300710656,1.25126243006886,1.24097089084224
OTH,FL,mrh-eq,0.0825971301096132,0.0824763752087454,0.0814680423798556
