race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.254075604980679,-0.260238949903322,-0.26103248627831
HIS,Food_price,USD,-0.165387294173724,-0.167090969383834,-0.175323881403052
HIS,FL,mrh-eq,-0.00852689465494799,-0.00874055611258682,-0.00885445321935964
NHB,CED,MJ,-0.301468373356093,-0.304577091178264,-0.296958690515889
NHB,Food_price,USD,-0.241997858764452,-0.246193365061711,-0.243105225398937
NHB,FL,mrh-eq,-0.0102450859376428,-0.0103974159299707,-0.010085034900677
NHW,CED,MJ,-0.307647394412281,-0.317563506551844,-0.314861321128754
NHW,Food_price,USD,-0.207859694319843,-0.217438401171964,-0.211578129021628
NHW,FL,mrh-eq,-0.0104157363829582,-0.0107649582677543,-0.010635875044317
OTH,CED,MJ,-0.221873116710052,-0.221504169871245,-0.212835527231989
OTH,Food_price,USD,-0.139565765936531,-0.142151208495656,-0.13789989359431
OTH,FL,mrh-eq,-0.00757704185030202,-0.00761248409192635,-0.00734084567859087
