age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,0.633984011302815,0.629804143357369,0.635081043675103
20-34,Food_price,USD,0.456783382354331,0.450162165556181,0.462410975111134
20-34,FL,mrh-eq,0.021302418194326,0.0211404305144993,0.0213565629881025
35-44,CED,MJ,0.644752237555627,0.660093492299331,0.655405965730679
35-44,Food_price,USD,0.421632489566567,0.428840323561492,0.430017994977227
35-44,FL,mrh-eq,0.022243689607874,0.0227703495483442,0.0226188114151869
45-54,CED,MJ,0.649448867414755,0.664285488702616,0.650476432109288
45-54,Food_price,USD,0.412231044866856,0.435049904332408,0.410397471689096
45-54,FL,mrh-eq,0.0226662190244202,0.0232312897930972,0.0226126599381555
55-64,CED,MJ,0.65870569193907,0.679935994081876,0.668927006560127
55-64,Food_price,USD,0.400127818477564,0.420805683637822,0.407177883391283
55-64,FL,mrh-eq,0.0231187984239532,0.0239567242501613,0.0235215712655221
65-74,CED,MJ,0.673618953194537,0.671560564533439,0.673269052195423
65-74,Food_price,USD,0.40103973705065,0.405753013154581,0.400409365436502
65-74,FL,mrh-eq,0.0237185255183412,0.0236494408954513,0.0236893205617926
75+,CED,MJ,0.665872892267896,0.663362730615025,0.66507574464016
75+,Food_price,USD,0.41251335140206,0.404915020640138,0.411093790662796
75+,FL,mrh-eq,0.0241452048857887,0.023948808303423,0.0241655395577579
