race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-136268880.826434,-139794893.295034,-139266047.201309
NHW,Food_price,USD,-68012290.4755249,-70633486.0647704,-68845719.6515778
NHW,FL,mrh-eq,-4338657.54540094,-4443959.53842944,-4417355.12171356
NHB,CED,MJ,-22871025.2957737,-23069888.4807874,-22445685.3795811
NHB,Food_price,USD,-14167392.083407,-14411630.0048084,-14214386.5387492
NHB,FL,mrh-eq,-738095.186653018,-748977.017662678,-724043.020561928
HIS,CED,MJ,-26809407.4356859,-27600379.6607461,-27533716.4733737
HIS,Food_price,USD,-13186371.7989794,-13433667.1731338,-14041533.6091486
HIS,FL,mrh-eq,-843404.249533654,-870049.795333476,-876779.522981926
OTH,CED,MJ,-16718368.4398118,-16588036.9055354,-15952964.4762907
OTH,Food_price,USD,-7969898.97903415,-7987398.93843627,-7832856.9662089
OTH,FL,mrh-eq,-535979.914494307,-531983.537347187,-513134.865215548
