Foodgroup,outcome,outcome_unit,X1,X2,X3
added_sugar,CED,MJ,-74734134.7482589,-78072097.3741664,-76405331.3263477
added_sugar,Food_price,USD,-127508333.945422,-132683517.088449,-130424873.473777
added_sugar,FL,mrh-eq,-3422510.26761101,-3577636.57374203,-3502190.80446301
oil,CED,MJ,-2418708.10019901,-1369936.95805178,-1714219.28688979
oil,Food_price,USD,-2019190.53754006,-1232357.48543231,-1255460.06806094
oil,FL,mrh-eq,-123555.028654884,-69040.1759292345,-86022.7753547463
sat_fat,CED,MJ,-196413776.18958,-200339082.550408,-198989373.971878
sat_fat,Food_price,USD,-22279680.3593739,-22732923.4552105,-22665051.3689856
sat_fat,FL,mrh-eq,-5310283.99608807,-5415229.25528675,-5379015.06004258
