age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
55-64,Male,sat_fat,CED,MJ,-12832793.3750874,-13230382.3547047,-13177902.6570105
55-64,Male,sat_fat,Food_price,USD,-1400146.11090271,-1430492.4027832,-1431934.92390949
55-64,Male,sat_fat,FL,mrh-eq,-359181.711143379,-370348.922874911,-368950.839664256
65-74,Female,added_sugar,CED,MJ,-3387715.84284955,-3235351.82202989,-3078882.66582922
65-74,Female,added_sugar,Food_price,USD,-5528804.72652182,-5387041.43464123,-5116057.71167123
65-74,Female,added_sugar,FL,mrh-eq,-167234.135984169,-160050.664503982,-152453.249390739
65-74,Female,oil,CED,MJ,-589810.028261622,-369345.042310214,-477849.958847299
65-74,Female,oil,Food_price,USD,-600054.48450794,-371044.649601358,-455291.478588857
65-74,Female,oil,FL,mrh-eq,-28353.1927782844,-17939.7063393438,-23086.9665576756
65-74,Female,sat_fat,CED,MJ,-10986792.8546366,-10881844.7679774,-11118373.4420324
65-74,Female,sat_fat,Food_price,USD,-1243801.61538332,-1237820.16634902,-1252651.96251438
65-74,Female,sat_fat,FL,mrh-eq,-296163.009746312,-293129.057571943,-299631.459455739
65-74,Male,added_sugar,CED,MJ,-2319334.73052223,-2591667.34669359,-2670659.16158195
65-74,Male,added_sugar,Food_price,USD,-3448770.92226718,-4010026.96140027,-3927844.7227633
65-74,Male,added_sugar,FL,mrh-eq,-112690.53234375,-126052.985520653,-129747.425402032
65-74,Male,oil,CED,MJ,-166369.621504111,47390.0965013552,-13939.1436688866
65-74,Male,oil,Food_price,USD,-114753.489320606,13819.6562495737,8256.31230932422
65-74,Male,oil,FL,mrh-eq,-8027.15836235669,2304.87777235587,-722.852832856052
65-74,Male,sat_fat,CED,MJ,-8613059.53300499,-8612615.70733974,-8567828.75815017
65-74,Male,sat_fat,Food_price,USD,-1003083.80581872,-1008074.55895742,-1009012.94461185
65-74,Male,sat_fat,FL,mrh-eq,-236245.010823492,-236232.485512057,-234994.377391572
