sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,12023272.9182457,12023272.9182457,12023272.9182457
Female,added_sugar,Food_price,USD,20964836.3882213,20964836.3882213,20964836.3882213
Female,added_sugar,FL,mrh-eq,567703.315982452,567703.315982452,567703.315982452
Female,oil,CED,MJ,6323050.59823162,6323050.59823162,6323050.59823162
Female,oil,Food_price,USD,4756561.14442024,4756561.14442024,4756561.14442024
Female,oil,FL,mrh-eq,324335.216738371,324335.216738371,324335.216738371
Female,sat_fat,CED,MJ,26188520.6018349,26188520.6018349,26188520.6018349
Female,sat_fat,Food_price,USD,3049064.91498346,3049064.91498346,3049064.91498346
Female,sat_fat,FL,mrh-eq,696901.044208683,696901.044208683,696901.044208683
Male,added_sugar,CED,MJ,11496620.0680097,11496620.0680097,11496620.0680097
Male,added_sugar,Food_price,USD,19320916.30081,19320916.30081,19320916.30081
Male,added_sugar,FL,mrh-eq,511368.872302379,511368.872302379,511368.872302379
Male,oil,CED,MJ,5773665.17280037,5773665.17280037,5773665.17280037
Male,oil,Food_price,USD,3891500.53994712,3891500.53994712,3891500.53994712
Male,oil,FL,mrh-eq,291351.373287807,291351.373287807,291351.373287807
Male,sat_fat,CED,MJ,26583504.5931766,26583504.5931766,26583504.5931766
Male,sat_fat,Food_price,USD,2978020.88710634,2978020.88710634,2978020.88710634
Male,sat_fat,FL,mrh-eq,732160.340165526,732160.340165526,732160.340165526
