age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
55-64,Female,NHW,FL,mrh-eq,1205267.9465519,1246256.57425926,1217362.24502642
55-64,Female,NHB,CED,MJ,5812851.90409395,5900419.49107871,5748873.87342787
55-64,Female,NHB,Food_price,USD,3648025.64523773,3717057.66960196,3526043.40850703
55-64,Female,NHB,FL,mrh-eq,202659.702945853,206312.114896294,199861.690236917
55-64,Female,HIS,CED,MJ,5780343.75564116,5776016.06737843,5731955.75131955
55-64,Female,HIS,Food_price,USD,2614841.48118942,2600918.33821799,2647118.36517462
55-64,Female,HIS,FL,mrh-eq,199161.737603303,199779.88749634,198536.609822979
55-64,Female,OTH,CED,MJ,4836391.47091129,4704603.98912025,4986767.29691161
55-64,Female,OTH,Food_price,USD,2902393.78122458,2722512.92546514,2914966.02627558
55-64,Female,OTH,FL,mrh-eq,165174.401444884,159348.902639365,171878.75473101
55-64,Male,NHW,CED,MJ,30607333.5200492,31641695.8482273,31366735.4086134
55-64,Male,NHW,Food_price,USD,14618639.1702854,15464045.7729255,14674340.6810443
55-64,Male,NHW,FL,mrh-eq,1061827.54830645,1101762.09357736,1081231.07485168
55-64,Male,NHB,CED,MJ,3832855.283846,3842902.32917991,3775873.34211153
55-64,Male,NHB,Food_price,USD,1519383.88798379,1512469.6535776,1483098.42019989
55-64,Male,NHB,FL,mrh-eq,127299.227834188,127771.575270497,125185.921606309
55-64,Male,HIS,CED,MJ,4733909.61365981,4927910.74530648,4934935.30798883
55-64,Male,HIS,Food_price,USD,1910386.21096223,2095185.19143202,2119614.44820563
55-64,Male,HIS,FL,mrh-eq,161531.342909103,169676.095805579,170364.159853328
55-64,Male,OTH,CED,MJ,3752006.06109786,3718068.68477969,3338294.29110218
55-64,Male,OTH,Food_price,USD,1657488.70307305,1744868.99933747,1668017.99742605
55-64,Male,OTH,FL,mrh-eq,133686.11649323,135145.464823026,124659.872608827
65-74,Female,NHW,CED,MJ,25532740.8350989,24751021.6587289,25105591.6647937
65-74,Female,NHW,Food_price,USD,13526533.7467203,13003905.4256291,12847645.5419864
65-74,Female,NHW,FL,mrh-eq,863513.624766983,832643.916907003,840720.069725838
65-74,Female,NHB,CED,MJ,2804065.89783316,2866979.4055056,2894469.32251975
65-74,Female,NHB,Food_price,USD,1414437.06594821,1449345.53064964,1478440.76356043
65-74,Female,NHB,FL,mrh-eq,97559.8119595245,99225.75887014,100622.039825766
65-74,Female,HIS,CED,MJ,2938736.56361764,3035122.28099,2879784.36559061
65-74,Female,HIS,Food_price,USD,1214518.51266914,1272570.47055501,1232954.38728276
65-74,Female,HIS,FL,mrh-eq,102232.06679576,105885.674882382,101023.013266614
65-74,Female,OTH,CED,MJ,1918305.93665443,2062948.79454941,2024791.22126115
65-74,Female,OTH,Food_price,USD,1038447.48972769,1091360.81241014,1086236.44859716
65-74,Female,OTH,FL,mrh-eq,67105.5126381185,72024.7554073647,71467.2302375556
65-74,Male,NHW,CED,MJ,21151538.6596698,21304098.8309051,21239454.4301447
65-74,Male,NHW,Food_price,USD,9376291.50054097,9880286.18626345,9705814.93788609
65-74,Male,NHW,FL,mrh-eq,719953.409446841,726793.258889149,725334.87427584
