age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,77552481.1317644,77552481.1317644,77552481.1317644
20-34,Food_price,USD,41913332.9863111,41913332.9863111,41913332.9863111
20-34,FL,mrh-eq,2705833.32987573,2705833.32987573,2705833.32987573
35-44,CED,MJ,47190215.0016743,47190215.0016743,47190215.0016743
35-44,Food_price,USD,22524938.9553481,22524938.9553481,22524938.9553481
35-44,FL,mrh-eq,1653188.97353095,1653188.97353095,1653188.97353095
45-54,CED,MJ,45363983.6593988,45363983.6593988,45363983.6593988
45-54,Food_price,USD,22145299.6095684,22145299.6095684,22145299.6095684
45-54,FL,mrh-eq,1615699.72207385,1615699.72207385,1615699.72207385
55-64,CED,MJ,55219182.774294,55219182.774294,55219182.774294
55-64,Food_price,USD,27692193.519917,27692193.519917,27692193.519917
55-64,FL,mrh-eq,1977323.03924462,1977323.03924462,1977323.03924462
65-74,CED,MJ,33896473.0027453,33896473.0027453,33896473.0027453
65-74,Food_price,USD,17052199.9819341,17052199.9819341,17052199.9819341
65-74,FL,mrh-eq,1195090.89397437,1195090.89397437,1195090.89397437
75+,CED,MJ,23762628.9994879,23762628.9994879,23762628.9994879
75+,Food_price,USD,11694089.3912937,11694089.3912937,11694089.3912937
75+,FL,mrh-eq,837979.395114083,837979.395114083,837979.395114083
