race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,55399439.1255577,55399439.1255577,55399439.1255577
NHW,Food_price,USD,35496179.417621,35496179.417621,35496179.417621
NHW,FL,mrh-eq,1962312.5600391,1962312.5600391,1962312.5600391
NHB,CED,MJ,9874105.84637225,9874105.84637225,9874105.84637225
NHB,Food_price,USD,5822654.24073102,5822654.24073102,5822654.24073102
NHB,FL,mrh-eq,337665.088489567,337665.088489567,337665.088489567
HIS,CED,MJ,14111087.2104445,14111087.2104445,14111087.2104445
HIS,Food_price,USD,8037691.46051964,8037691.46051964,8037691.46051964
HIS,FL,mrh-eq,494715.809359535,494715.809359535,494715.809359535
OTH,CED,MJ,9004001.76992439,9004001.76992439,9004001.76992439
OTH,Food_price,USD,5604375.05661678,5604375.05661678,5604375.05661678
OTH,FL,mrh-eq,329126.704797021,329126.704797021,329126.704797021
