sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,-100226885.18016,-103939436.266491,-102986088.516257
Female,NHW,Food_price,USD,-57540564.7463593,-59125169.106044,-57452466.7365054
Female,NHW,FL,mrh-eq,-3292724.28451336,-3389243.31614127,-3356849.86164085
Female,NHB,CED,MJ,-18174217.0605617,-18275706.8325066,-17769659.4014941
Female,NHB,Food_price,USD,-12979519.830302,-12864459.7822641,-12725054.5095505
Female,NHB,FL,mrh-eq,-610511.840896603,-616038.877575622,-593953.548787864
Female,HIS,CED,MJ,-19325449.5620583,-20236103.9889282,-20242061.4716324
Female,HIS,Food_price,USD,-10340515.7311662,-10998148.2712741,-11530368.5301067
Female,HIS,FL,mrh-eq,-637131.516807105,-671411.247635489,-675468.749748927
Female,OTH,CED,MJ,-12108058.138257,-12460261.5641562,-12309123.0522049
Female,OTH,Food_price,USD,-7028707.5169056,-7099228.73823369,-7144676.44128643
Female,OTH,FL,mrh-eq,-400143.140913788,-409293.89923004,-407867.791676277
Male,NHW,CED,MJ,-82985261.8083475,-84311801.7991629,-84323982.6889789
Male,NHW,Food_price,USD,-42188597.4857561,-44686783.3636531,-43677512.7694742
Male,NHW,FL,mrh-eq,-2635248.47752794,-2697318.46877294,-2683410.97011695
Male,NHB,CED,MJ,-13162787.1976802,-13347461.1105984,-13015361.8714083
Male,NHB,Food_price,USD,-7983771.79790484,-8460889.98063578,-8316329.1731494
Male,NHB,FL,mrh-eq,-415290.746208378,-424923.344197308,-413302.242501559
Male,HIS,CED,MJ,-17296922.0399001,-17415281.9077919,-17373309.3749616
Male,HIS,Food_price,USD,-9233480.69398281,-8888943.24850644,-9282562.77316835
Male,HIS,FL,mrh-eq,-535600.342533669,-536218.237541216,-543289.422305269
Male,OTH,CED,MJ,-10287038.0510733,-9795063.41299072,-9089338.20817856
Male,OTH,Food_price,USD,-4512047.03995893,-4525175.53848073,-4216413.977583
Male,OTH,FL,mrh-eq,-329698.942953123,-317458.613864121,-293086.053082641
