race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,102342705.287631,103855783.896178,103443463.129484
NHW,Food_price,USD,67213051.1742115,68674645.8225477,67780439.2720227
NHW,FL,mrh-eq,3551627.77667945,3604914.80652387,3585218.27008333
NHB,CED,MJ,18340084.8088405,18427385.3086898,18213441.7396935
NHB,Food_price,USD,12618553.7855308,12736373.9988225,12649651.3846817
NHB,FL,mrh-eq,625372.48894153,629650.292599818,620877.859217062
HIS,CED,MJ,23924051.376717,24162093.4464186,24192741.5836649
HIS,Food_price,USD,14425316.0866892,14491115.8071663,14809089.1546461
HIS,FL,mrh-eq,824043.419166656,832295.499202765,836694.458431805
OTH,CED,MJ,14680729.5194428,14671289.8415359,14449498.5540171
OTH,Food_price,USD,9175230.63444715,9241380.39489493,9132608.50927731
OTH,FL,mrh-eq,522988.874169626,523895.680543995,516945.684340391
