sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,26138858.8012366,26739596.501806,26377738.9515799
Female,added_sugar,Food_price,USD,45501629.6802982,46369520.7125838,45897776.3718699
Female,added_sugar,FL,mrh-eq,1232079.97310956,1258777.35790534,1242255.70895051
Female,oil,CED,MJ,6985488.13411754,6851548.13437193,6928341.50421484
Female,oil,Food_price,USD,5275001.17263012,5134891.67492136,5167800.67810148
Female,oil,FL,mrh-eq,358028.978700419,351020.575267594,354862.549402555
Female,sat_fat,CED,MJ,49328429.0074864,50226629.630106,50013257.7252236
Female,sat_fat,Food_price,USD,5719244.5958619,5820628.96653054,5815408.50811177
Female,sat_fat,FL,mrh-eq,1312839.97461988,1336593.69581096,1331041.0671519
Male,added_sugar,CED,MJ,22580393.0987568,23102901.3969768,22902961.8841601
Male,added_sugar,Food_price,USD,37784545.1493458,38657316.750464,38369406.3143543
Male,added_sugar,FL,mrh-eq,1000784.02283163,1026281.43231746,1017362.39791709
Male,oil,CED,MJ,5515600.57459015,5475785.88504696,5456968.76620766
Male,oil,Food_price,USD,3710291.98469748,3719587.50629686,3691265.04572028
Male,oil,FL,mrh-eq,278314.099080258,276288.521482736,275306.731398828
Male,sat_fat,CED,MJ,48738801.3764435,48720090.9445142,48619876.1754734
Male,sat_fat,Food_price,USD,5441439.09804514,5441570.41263489,5430131.40247018
Male,sat_fat,FL,mrh-eq,1341985.51061551,1341794.69608635,1338907.8172517
