age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
55-64,Male,sat_fat,Food_price,USD,-333186189.729234,-343359810.766342,-341666542.867823
55-64,Male,sat_fat,FL,mrh-eq,-333186189.729234,-343359810.766342,-341666542.867823
65-74,Female,added_sugar,CED,MJ,-206934926.616676,-197568288.967454,-187894872.435155
65-74,Female,added_sugar,Food_price,USD,-206934926.616676,-197568288.967454,-187894872.435155
65-74,Female,added_sugar,FL,mrh-eq,-206934926.616676,-197568288.967454,-187894872.435155
65-74,Female,oil,CED,MJ,-76493905.0013638,-47891219.679958,-61975416.2071497
65-74,Female,oil,Food_price,USD,-76493905.0013638,-47891219.679958,-61975416.2071497
65-74,Female,oil,FL,mrh-eq,-76493905.0013638,-47891219.679958,-61975416.2071497
65-74,Female,sat_fat,CED,MJ,-267923133.982052,-265728011.528574,-271184256.640857
65-74,Female,sat_fat,Food_price,USD,-267923133.982052,-265728011.528574,-271184256.640857
65-74,Female,sat_fat,FL,mrh-eq,-267923133.982052,-265728011.528574,-271184256.640857
65-74,Male,added_sugar,CED,MJ,-131960383.82632,-146813064.519097,-151734130.415695
65-74,Male,added_sugar,Food_price,USD,-131960383.82632,-146813064.519097,-151734130.415695
65-74,Male,added_sugar,FL,mrh-eq,-131960383.82632,-146813064.519097,-151734130.415695
65-74,Male,oil,CED,MJ,-21952323.8132164,6197200.87291959,-1851347.11328294
65-74,Male,oil,Food_price,USD,-21952323.8132164,6197200.87291959,-1851347.11328294
65-74,Male,oil,FL,mrh-eq,-21952323.8132164,6197200.87291959,-1851347.11328294
65-74,Male,sat_fat,CED,MJ,-221628901.678235,-221601858.837564,-220494665.802345
65-74,Male,sat_fat,Food_price,USD,-221628901.678235,-221601858.837564,-220494665.802345
65-74,Male,sat_fat,FL,mrh-eq,-221628901.678235,-221601858.837564,-220494665.802345
75+,Female,added_sugar,CED,MJ,-177993126.518679,-163517367.229122,-167087575.956741
75+,Female,added_sugar,Food_price,USD,-177993126.518679,-163517367.229122,-167087575.956741
75+,Female,added_sugar,FL,mrh-eq,-177993126.518679,-163517367.229122,-167087575.956741
75+,Female,oil,CED,MJ,-18727314.5769036,-23142963.1008645,-16911007.9909605
75+,Female,oil,Food_price,USD,-18727314.5769036,-23142963.1008645,-16911007.9909605
75+,Female,oil,FL,mrh-eq,-18727314.5769036,-23142963.1008645,-16911007.9909605
75+,Female,sat_fat,CED,MJ,-200886806.96204,-209897786.41205,-202721381.216281
75+,Female,sat_fat,Food_price,USD,-200886806.96204,-209897786.41205,-202721381.216281
75+,Female,sat_fat,FL,mrh-eq,-200886806.96204,-209897786.41205,-202721381.216281
75+,Male,added_sugar,CED,MJ,-102872844.683711,-105059950.372103,-118596431.288468
75+,Male,added_sugar,Food_price,USD,-102872844.683711,-105059950.372103,-118596431.288468
75+,Male,added_sugar,FL,mrh-eq,-102872844.683711,-105059950.372103,-118596431.288468
75+,Male,oil,CED,MJ,15051672.9443113,16478017.6329859,25459111.6868149
75+,Male,oil,Food_price,USD,15051672.9443113,16478017.6329859,25459111.6868149
75+,Male,oil,FL,mrh-eq,15051672.9443113,16478017.6329859,25459111.6868149
75+,Male,sat_fat,CED,MJ,-158905415.912035,-154122534.49558,-153821757.96079
75+,Male,sat_fat,Food_price,USD,-158905415.912035,-154122534.49558,-153821757.96079
75+,Male,sat_fat,FL,mrh-eq,-158905415.912035,-154122534.49558,-153821757.96079
