outcome,outcome_unit,X1,X2,X3
CED,MJ,88388633.9522989,88388633.9522989,88388633.9522989
Food_price,USD,54960900.1754884,54960900.1754884,54960900.1754884
FL,mrh-eq,3123820.16268522,3123820.16268522,3123820.16268522
