race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-4646152342.88181,-4698655654.9059,-4677299021.16668
NHW,Food_price,USD,-4646152342.88181,-4698655654.9059,-4677299021.16668
NHW,FL,mrh-eq,-4646152342.88181,-4698655654.9059,-4677299021.16668
NHB,CED,MJ,-903605502.493112,-927894090.122798,-888247068.941299
NHB,Food_price,USD,-903605502.493112,-927894090.122798,-888247068.941299
NHB,FL,mrh-eq,-903605502.493112,-927894090.122798,-888247068.941299
HIS,CED,MJ,-864184455.841414,-897636860.018098,-919017682.16386
HIS,Food_price,USD,-864184455.841414,-897636860.018098,-919017682.16386
HIS,FL,mrh-eq,-864184455.841414,-897636860.018098,-919017682.16386
OTH,CED,MJ,-592301588.25967,-573925236.018273,-557358365.407051
OTH,Food_price,USD,-592301588.25967,-573925236.018273,-557358365.407051
OTH,FL,mrh-eq,-592301588.25967,-573925236.018273,-557358365.407051
