sex_gp,outcome,outcome_unit,X1,X2,X3
Female,CED,MJ,44534844.1183122,44534844.1183122,44534844.1183122
Female,Food_price,USD,28770462.447625,28770462.447625,28770462.447625
Female,FL,mrh-eq,1588939.57692951,1588939.57692951,1588939.57692951
Male,CED,MJ,43853789.8339867,43853789.8339867,43853789.8339867
Male,Food_price,USD,26190437.7278634,26190437.7278634,26190437.7278634
Male,FL,mrh-eq,1534880.58575571,1534880.58575571,1534880.58575571
