age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,24112836.750345,24112836.750345,24112836.750345
20-34,Food_price,USD,16606815.3090201,16606815.3090201,16606815.3090201
20-34,FL,mrh-eq,832752.021346028,832752.021346028,832752.021346028
35-44,CED,MJ,14794262.7408957,14794262.7408957,14794262.7408957
35-44,Food_price,USD,8980107.89656678,8980107.89656678,8980107.89656678
35-44,FL,mrh-eq,518973.304016034,518973.304016034,518973.304016034
45-54,CED,MJ,14145266.4039443,14145266.4039443,14145266.4039443
45-54,Food_price,USD,8432041.02236774,8432041.02236774,8432041.02236774
45-54,FL,mrh-eq,502180.829045945,502180.829045945,502180.829045945
55-64,CED,MJ,17528073.4747708,17528073.4747708,17528073.4747708
55-64,Food_price,USD,10327470.2600662,10327470.2600662,10327470.2600662
55-64,FL,mrh-eq,627392.544390021,627392.544390021,627392.544390021
65-74,CED,MJ,10666181.5397603,10666181.5397603,10666181.5397603
65-74,Food_price,USD,6339022.62668272,6339022.62668272,6339022.62668272
65-74,FL,mrh-eq,381599.874453092,381599.874453092,381599.874453092
75+,CED,MJ,7142013.04258281,7142013.04258281,7142013.04258281
75+,Food_price,USD,4275443.06078491,4275443.06078491,4275443.06078491
75+,FL,mrh-eq,260921.589434099,260921.589434099,260921.589434099
