sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-1673395081.93582,-1743676317.09209,-1700660346.10782
Female,added_sugar,Food_price,USD,-1673395081.93582,-1743676317.09209,-1700660346.10782
Female,added_sugar,FL,mrh-eq,-1673395081.93582,-1743676317.09209,-1700660346.10782
Female,oil,CED,MJ,-430283318.110833,-343633950.397991,-393106018.738959
Female,oil,Food_price,USD,-430283318.110833,-343633950.397991,-393106018.738959
Female,oil,FL,mrh-eq,-430283318.110833,-343633950.397991,-393106018.738959
Female,sat_fat,CED,MJ,-2002006822.83229,-2080605697.81059,-2061109434.77139
Female,sat_fat,Food_price,USD,-2002006822.83229,-2080605697.81059,-2061109434.77139
Female,sat_fat,FL,mrh-eq,-2002006822.83229,-2080605697.81059,-2061109434.77139
Male,added_sugar,CED,MJ,-1274594273.22623,-1334860907.55683,-1311759549.77127
Male,added_sugar,Food_price,USD,-1274594273.22623,-1334860907.55683,-1311759549.77127
Male,added_sugar,FL,mrh-eq,-1274594273.22623,-1334860907.55683,-1311759549.77127
Male,oil,CED,MJ,169289238.351413,196080211.863652,208403104.198476
Male,oil,Food_price,USD,169289238.351413,196080211.863652,208403104.198476
Male,oil,FL,mrh-eq,169289238.351413,196080211.863652,208403104.198476
Male,sat_fat,CED,MJ,-1795253631.72226,-1791415180.07122,-1783689892.48793
Male,sat_fat,Food_price,USD,-1795253631.72226,-1791415180.07122,-1783689892.48793
Male,sat_fat,FL,mrh-eq,-1795253631.72226,-1791415180.07122,-1783689892.48793
