age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
55-64,Female,NHW,FL,mrh-eq,908516.390729881,908516.390729881,908516.390729881
55-64,Female,NHB,CED,MJ,4399639.6293589,4399639.6293589,4399639.6293589
55-64,Female,NHB,Food_price,USD,2517096.9226458,2517096.9226458,2517096.9226458
55-64,Female,NHB,FL,mrh-eq,154605.558757396,154605.558757396,154605.558757396
55-64,Female,HIS,CED,MJ,4443779.7212331,4443779.7212331,4443779.7212331
55-64,Female,HIS,Food_price,USD,2115180.18712268,2115180.18712268,2115180.18712268
55-64,Female,HIS,FL,mrh-eq,159849.799818847,159849.799818847,159849.799818847
55-64,Female,OTH,CED,MJ,3783053.33510283,3783053.33510283,3783053.33510283
55-64,Female,OTH,Food_price,USD,2472059.1795058,2472059.1795058,2472059.1795058
55-64,Female,OTH,FL,mrh-eq,135854.756573882,135854.756573882,135854.756573882
55-64,Male,NHW,CED,MJ,24059247.9921006,24059247.9921006,24059247.9921006
55-64,Male,NHW,Food_price,USD,12140556.3752214,12140556.3752214,12140556.3752214
55-64,Male,NHW,FL,mrh-eq,866921.621617704,866921.621617704,866921.621617704
55-64,Male,NHB,CED,MJ,3012193.90628635,3012193.90628635,3012193.90628635
55-64,Male,NHB,Food_price,USD,1124148.85716558,1124148.85716558,1124148.85716558
55-64,Male,NHB,FL,mrh-eq,103331.158928355,103331.158928355,103331.158928355
55-64,Male,HIS,CED,MJ,4251340.46816844,4251340.46816844,4251340.46816844
55-64,Male,HIS,Food_price,USD,1951815.9877302,1951815.9877302,1951815.9877302
55-64,Male,HIS,FL,mrh-eq,151388.640184868,151388.640184868,151388.640184868
55-64,Male,OTH,CED,MJ,3305917.5161222,3305917.5161222,3305917.5161222
55-64,Male,OTH,Food_price,USD,1745975.90809907,1745975.90809907,1745975.90809907
55-64,Male,OTH,FL,mrh-eq,124247.657023702,124247.657023702,124247.657023702
65-74,Female,NHW,CED,MJ,17778920.9370126,17778920.9370126,17778920.9370126
65-74,Female,NHW,Food_price,USD,10257111.4547392,10257111.4547392,10257111.4547392
65-74,Female,NHW,FL,mrh-eq,621234.205200223,621234.205200223,621234.205200223
65-74,Female,NHB,CED,MJ,2000020.80540459,2000020.80540459,2000020.80540459
65-74,Female,NHB,Food_price,USD,985681.087304542,985681.087304542,985681.087304542
65-74,Female,NHB,FL,mrh-eq,70640.4434029673,70640.4434029673,70640.4434029673
65-74,Female,HIS,CED,MJ,2407651.43672211,2407651.43672211,2407651.43672211
65-74,Female,HIS,Food_price,USD,1111019.96233809,1111019.96233809,1111019.96233809
65-74,Female,HIS,FL,mrh-eq,86753.6159903565,86753.6159903565,86753.6159903565
65-74,Female,OTH,CED,MJ,1636653.04093103,1636653.04093103,1636653.04093103
65-74,Female,OTH,Food_price,USD,1004091.41149737,1004091.41149737,1004091.41149737
65-74,Female,OTH,FL,mrh-eq,60307.1796719114,60307.1796719114,60307.1796719114
65-74,Male,NHW,CED,MJ,15939496.413569,15939496.413569,15939496.413569
65-74,Male,NHW,Food_price,USD,7910066.29030004,7910066.29030004,7910066.29030004
65-74,Male,NHW,FL,mrh-eq,566562.337587148,566562.337587148,566562.337587148
65-74,Male,NHB,CED,MJ,1628386.90508822,1628386.90508822,1628386.90508822
65-74,Male,NHB,Food_price,USD,626420.0990195,626420.0990195,626420.0990195
65-74,Male,NHB,FL,mrh-eq,56675.7732802639,56675.7732802639,56675.7732802639
65-74,Male,HIS,CED,MJ,1738408.82185414,1738408.82185414,1738408.82185414
65-74,Male,HIS,Food_price,USD,942573.711191187,942573.711191187,942573.711191187
65-74,Male,HIS,FL,mrh-eq,62148.9803292022,62148.9803292022,62148.9803292022
