race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,314498211.339197,318024223.807796,317495377.714072
NHW,Food_price,USD,160766292.104379,163387487.693624,161599721.280432
NHW,FL,mrh-eq,10625714.3188979,10731016.3119263,10704411.8952105
NHB,CED,MJ,54032917.1173875,54231780.3024012,53607577.2011949
NHB,Food_price,USD,28551892.3798869,28796130.3012883,28598886.8352291
NHB,FL,mrh-eq,1812880.52819137,1823762.35920103,1798828.36210028
HIS,CED,MJ,71315601.8421841,72106574.0672443,72039910.8798718
HIS,Food_price,USD,34284567.5359578,34531862.9101122,35139729.3461269
HIS,FL,mrh-eq,2412359.96506744,2439005.51086726,2445735.23851571
OTH,CED,MJ,45805916.2683022,45675584.7340259,45040512.3047811
OTH,Food_price,USD,22755255.7610945,22772755.7204966,22618213.7482692
OTH,FL,mrh-eq,1590297.43773885,1586301.06059173,1567452.38846009
