age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-72042040.3007808,-70884172.6464775,-72042292.8192177
20-34,Food_price,USD,-44027812.9319934,-42551664.5952221,-45111940.6029854
20-34,FL,mrh-eq,-2242443.24338772,-2195188.37991297,-2242438.54157543
35-44,CED,MJ,-43995855.2984856,-46572165.4228369,-45990465.6126025
35-44,Food_price,USD,-25448269.3135818,-26540722.7872668,-26693013.7695299
35-44,FL,mrh-eq,-1419221.79790472,-1506189.15703969,-1490647.37290615
45-54,CED,MJ,-43047085.0800271,-44896018.9113717,-43414189.5052277
45-54,Food_price,USD,-24046169.0627618,-26639720.0685615,-23824774.8225919
45-54,FL,mrh-eq,-1406776.48549111,-1471862.06860395,-1406068.99305863
55-64,CED,MJ,-53509644.012254,-56991165.9238031,-54987544.163187
55-64,Food_price,USD,-27770064.3715172,-30628996.696215,-28538087.2584103
55-64,FL,mrh-eq,-1757343.65703103,-1886854.70272898,-1809074.99580202
65-74,CED,MJ,-35074884.9413248,-34595106.5771503,-34929114.0347529
65-74,Food_price,USD,-17315554.3662518,-17514159.2470541,-17110473.2022448
65-74,FL,mrh-eq,-1159986.72617016,-1140355.58452204,-1151056.87212964
75+,CED,MJ,-25897109.4051656,-25842487.4009864,-25745318.4501278
75+,Food_price,USD,-13199334.7962297,-12773534.6347724,-13067095.2550617
75+,FL,mrh-eq,-870577.382369222,-861456.11215039,-867941.864388479
