age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,130995221.357408,130118955.586458,130921565.707892
20-34,Food_price,USD,71774007.9747309,70743937.6348678,72478999.0941044
20-34,FL,mrh-eq,4345863.37843953,4309521.78694239,4342210.88772572
35-44,CED,MJ,79635818.5107475,81585286.4390315,81195118.5143896
35-44,Food_price,USD,39725453.1185257,40523395.1871301,40627566.6284028
35-44,FL,mrh-eq,2682509.05346818,2747957.13799489,2738607.18743449
45-54,CED,MJ,77158607.8066614,78427332.0464994,77485527.6857922
45-54,Food_price,USD,38502561.2989734,40203744.6374805,38352871.8441333
45-54,FL,mrh-eq,2638258.6157038,2681246.21077035,2639645.63623084
55-64,CED,MJ,94760150.5095828,97226521.7674656,95749307.0642589
55-64,Food_price,USD,46657168.7679668,48527365.8314957,47088084.9119878
55-64,FL,mrh-eq,3256608.02408891,3346052.70876772,3289080.32873747
65-74,CED,MJ,59959555.6135243,59539907.5925948,59824006.1328551
65-74,Food_price,USD,28991469.0257537,29052388.0966339,28804802.4897744
65-74,FL,mrh-eq,2043803.93401273,2026190.91564999,2035727.22500498
75+,CED,MJ,43143292.7691461,43140159.4794186,43007852.9947319
75+,Food_price,USD,20707347.5953673,20437405.2379132,20604226.2416543
75+,FL,mrh-eq,1474209.24418236,1469116.48246104,1471156.61915304
