age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,74344029.8133044,73866491.293518,74231609.6696269
20-34,NHW,Food_price,USD,41438156.3049263,40484095.7497704,41563332.836177
20-34,NHW,FL,mrh-eq,2463624.868277,2438324.60984953,2456652.24510064
20-34,NHB,CED,MJ,17295273.8459261,16924581.8868921,17059547.8062027
20-34,NHB,Food_price,USD,9674433.44339311,9537285.53600883,9822149.21190785
20-34,NHB,FL,mrh-eq,566310.425548126,556997.740628634,560867.166097928
20-34,HIS,CED,MJ,25640064.7478942,25641791.9883999,25903962.2107453
20-34,HIS,Food_price,USD,12895450.4641518,12962600.7421949,13198170.5149752
20-34,HIS,FL,mrh-eq,849565.144635892,851100.693141443,859287.805990947
20-34,OTH,CED,MJ,13715852.9502837,13686090.4176476,13726446.0213169
20-34,OTH,Food_price,USD,7765967.76225969,7759955.60689364,7895346.53104431
20-34,OTH,FL,mrh-eq,466362.93997852,463098.743322786,465403.670536214
35-44,NHW,CED,MJ,43622431.8290255,45192711.5552719,45230753.7786576
35-44,NHW,Food_price,USD,21897433.6506359,22561111.7707232,22447732.1675168
35-44,NHW,FL,mrh-eq,1448760.22760275,1500946.88239256,1502149.37739112
35-44,NHB,CED,MJ,10114635.8644581,10123604.0213528,10174721.1273255
35-44,NHB,Food_price,USD,5048689.9229881,5179079.40676671,5281215.51776371
35-44,NHB,FL,mrh-eq,336808.489233481,338074.987702425,338670.650561222
35-44,HIS,CED,MJ,16680554.3249155,17151845.4898506,16966232.3640851
35-44,HIS,Food_price,USD,8407614.14790455,8375523.98228787,8563770.89737777
35-44,HIS,FL,mrh-eq,569020.302697159,582499.944238799,581353.20530981
35-44,OTH,CED,MJ,9218196.49234842,9117125.3725562,8823411.24432149
35-44,OTH,Food_price,USD,4371715.3969972,4407680.02735227,4334848.04574454
35-44,OTH,FL,mrh-eq,327920.033934791,326435.323661099,316433.954172334
45-54,NHW,CED,MJ,49024744.3187016,49655313.791542,49661998.4994292
45-54,NHW,Food_price,USD,25212487.5775441,26636240.7244393,25335361.6136089
45-54,NHW,FL,mrh-eq,1678264.55603624,1701510.59876098,1693501.04731725
45-54,NHB,CED,MJ,8456998.36739591,8848056.79374612,8475300.66694063
45-54,NHB,Food_price,USD,4399613.90258651,4645603.88798617,4437584.41507563
45-54,NHB,FL,mrh-eq,285421.452058195,299213.124193957,287376.561360019
45-54,HIS,CED,MJ,11188866.5162376,11329199.6222895,11079102.3776052
45-54,HIS,Food_price,USD,5294128.45622337,5274525.83122323,5299363.38275521
45-54,HIS,FL,mrh-eq,381813.031600879,384408.288957376,378498.552938241
45-54,OTH,CED,MJ,8487998.6043263,8594761.83892179,8269126.14181718
45-54,OTH,Food_price,USD,3596331.36261941,3647374.19383184,3280562.4326935
45-54,OTH,FL,mrh-eq,292759.576008483,296114.198858032,280269.474615336
55-64,NHW,CED,MJ,66011792.4203328,68356600.4606222,67232607.2013973
55-64,NHW,Food_price,USD,32404649.058296,34134353.0538636,32729226.246199
55-64,NHW,FL,mrh-eq,2267095.49485835,2348018.66783662,2298593.3198781
55-64,NHB,CED,MJ,9645707.18793994,9743321.82025862,9524747.2155394
55-64,NHB,Food_price,USD,5167409.53322152,5229527.32317956,5009141.82870692
55-64,NHB,FL,mrh-eq,329958.930780041,334083.690166791,325047.611843226
55-64,HIS,CED,MJ,10514253.369301,10703926.8126849,10666891.0593084
55-64,HIS,Food_price,USD,4525227.69215165,4696103.52965,4766732.81338025
55-64,HIS,FL,mrh-eq,360693.080512406,369455.983301919,368900.769676307
55-64,OTH,CED,MJ,8588397.53200914,8422672.67389994,8325061.58801378
55-64,OTH,Food_price,USD,4559882.48429762,4467381.92480261,4582984.02370163
55-64,OTH,FL,mrh-eq,298860.517938113,294494.36746239,296538.627339837
65-74,NHW,CED,MJ,46684279.4947686,46055120.489634,46345046.0949384
65-74,NHW,Food_price,USD,22902825.2472613,22884191.6118926,22553460.4798725
65-74,NHW,FL,mrh-eq,1583467.03421382,1559437.17579615,1566054.94400168
65-74,NHB,CED,MJ,4880116.05240911,4934342.30997707,4985808.30658133
65-74,NHB,Food_price,USD,2327559.93681105,2307830.1537041,2371206.36926965
65-74,NHB,FL,mrh-eq,168169.588054163,169037.039121256,171757.757834662
65-74,HIS,CED,MJ,4866707.33773678,4892562.11238521,4878387.43296705
65-74,HIS,Food_price,USD,2104474.80131887,2183411.02803823,2207733.80239455
65-74,HIS,FL,mrh-eq,167746.426676457,169681.47677026,170671.78753966
65-74,OTH,CED,MJ,3528452.72860981,3657882.68059849,3614764.29836833
65-74,OTH,Food_price,USD,1656609.0403625,1676955.30299896,1672401.83823771
65-74,OTH,FL,mrh-eq,124420.885068285,128035.223962322,127242.735628979
75+,NHW,CED,MJ,34810933.4630638,34897986.217208,34793362.4700222
75+,NHW,Food_price,USD,16910740.2657151,16687494.7829351,16970607.9370575
75+,NHW,FL,mrh-eq,1184502.1379097,1182778.3772905,1187460.96152168
75+,NHB,CED,MJ,3640185.79925833,3657873.47017453,3387452.07860542
75+,NHB,Food_price,USD,1934185.64088662,1896803.99364292,1677589.49250535
75+,NHB,FL,mrh-eq,126211.642517369,126355.777387973,115108.614403228
75+,HIS,CED,MJ,2425155.5460991,2387248.04163426,2545335.43516084
75+,HIS,Food_price,USD,1057671.97420756,1039697.79671792,1103957.93524391
75+,HIS,FL,mrh-eq,83521.9789446428,81859.1244574603,87023.1170607433
75+,OTH,CED,MJ,2267017.96072486,2197051.75040185,2281703.01094342
75+,OTH,Food_price,USD,804749.714558031,813408.664617249,852070.876847504
75+,OTH,FL,mrh-eq,79973.4848106565,78123.2033250986,81563.9261673893
