outcome,outcome_unit,X1,X2,X3
CED,MJ,644940217.559702,651154715.404289,648482523.106779
Food_price,USD,349790159.462196,354631752.648953,352328339.530685
FL,mrh-eq,21965284.8088528,22170841.5214568,22076164.1563591
