sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,92514229.963243,92514229.963243,92514229.963243
Female,NHW,Food_price,USD,48581243.5164559,48581243.5164559,48581243.5164559
Female,NHW,FL,mrh-eq,3261272.52762128,3261272.52762128,3261272.52762128
Female,NHB,CED,MJ,16998583.5425926,16998583.5425926,16998583.5425926
Female,NHB,Food_price,USD,8421631.09955519,8421631.09955519,8421631.09955519
Female,NHB,FL,mrh-eq,586484.067303056,586484.067303056,586484.067303056
Female,HIS,CED,MJ,22577119.8212286,22577119.8212286,22577119.8212286
Female,HIS,Food_price,USD,10805750.2657452,10805750.2657452,10805750.2657452
Female,HIS,FL,mrh-eq,800828.530953652,800828.530953652,800828.530953652
Female,OTH,CED,MJ,14775284.1453055,14775284.1453055,14775284.1453055
Female,OTH,Food_price,USD,7991079.2887294,7991079.2887294,7991079.2887294
Female,OTH,FL,mrh-eq,531290.43263617,531290.43263617,531290.43263617
Male,NHW,CED,MJ,85715100.5495192,85715100.5495192,85715100.5495192
Male,NHW,Food_price,USD,44172758.1123979,44172758.1123979,44172758.1123979
Male,NHW,FL,mrh-eq,3025784.24587564,3025784.24587564,3025784.24587564
Male,NHB,CED,MJ,14163308.2790212,14163308.2790212,14163308.2790212
Male,NHB,Food_price,USD,5962869.19692473,5962869.19692473,5962869.19692473
Male,NHB,FL,mrh-eq,488301.2742353,488301.2742353,488301.2742353
Male,HIS,CED,MJ,21929074.5852696,21929074.5852696,21929074.5852696
Male,HIS,Food_price,USD,10292445.4712331,10292445.4712331,10292445.4712331
Male,HIS,FL,mrh-eq,768127.18458013,768127.18458013,768127.18458013
Male,OTH,CED,MJ,14312263.6831849,14312263.6831849,14312263.6831849
Male,OTH,Food_price,USD,6794277.4933309,6794277.4933309,6794277.4933309
Male,OTH,FL,mrh-eq,523027.090608372,523027.090608372,523027.090608372
