age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,OTH,sat_fat,FL,mrh-eq,123869.255813625,123869.255813625,123869.255813625
45-54,NHW,added_sugar,CED,MJ,6682814.08846299,6682814.08846299,6682814.08846299
45-54,NHW,added_sugar,Food_price,USD,11652400.522757,11652400.522757,11652400.522757
45-54,NHW,added_sugar,FL,mrh-eq,300657.152188205,300657.152188205,300657.152188205
45-54,NHW,oil,CED,MJ,7067890.20367902,7067890.20367902,7067890.20367902
45-54,NHW,oil,Food_price,USD,5638295.29155216,5638295.29155216,5638295.29155216
45-54,NHW,oil,FL,mrh-eq,386148.969099034,386148.969099034,386148.969099034
45-54,NHW,sat_fat,CED,MJ,22577174.1368889,22577174.1368889,22577174.1368889
45-54,NHW,sat_fat,Food_price,USD,2369440.7379915,2369440.7379915,2369440.7379915
45-54,NHW,sat_fat,FL,mrh-eq,614308.102906585,614308.102906585,614308.102906585
45-54,NHB,added_sugar,CED,MJ,1336476.9723903,1336476.9723903,1336476.9723903
45-54,NHB,added_sugar,Food_price,USD,2006114.3999035,2006114.3999035,2006114.3999035
45-54,NHB,added_sugar,FL,mrh-eq,57094.6771770657,57094.6771770657,57094.6771770657
45-54,NHB,oil,CED,MJ,1387327.77518552,1387327.77518552,1387327.77518552
45-54,NHB,oil,Food_price,USD,805286.54299056,805286.54299056,805286.54299056
45-54,NHB,oil,FL,mrh-eq,67333.6456648902,67333.6456648902,67333.6456648902
45-54,NHB,sat_fat,CED,MJ,4014647.98120527,4014647.98120527,4014647.98120527
45-54,NHB,sat_fat,Food_price,USD,496592.024635196,496592.024635196,496592.024635196
45-54,NHB,sat_fat,FL,mrh-eq,107869.345999241,107869.345999241,107869.345999241
45-54,HIS,added_sugar,CED,MJ,1774602.46520873,1774602.46520873,1774602.46520873
45-54,HIS,added_sugar,Food_price,USD,2563718.64203539,2563718.64203539,2563718.64203539
45-54,HIS,added_sugar,FL,mrh-eq,81942.116895296,81942.116895296,81942.116895296
45-54,HIS,oil,CED,MJ,1848637.9978519,1848637.9978519,1848637.9978519
45-54,HIS,oil,Food_price,USD,1139925.19548123,1139925.19548123,1139925.19548123
45-54,HIS,oil,FL,mrh-eq,90412.4948518486,90412.4948518486,90412.4948518486
45-54,HIS,sat_fat,CED,MJ,5724438.98004571,5724438.98004571,5724438.98004571
45-54,HIS,sat_fat,Food_price,USD,701348.970566064,701348.970566064,701348.970566064
45-54,HIS,sat_fat,FL,mrh-eq,156354.56997912,156354.56997912,156354.56997912
45-54,OTH,added_sugar,CED,MJ,1294484.68652474,1294484.68652474,1294484.68652474
45-54,OTH,added_sugar,Food_price,USD,1810869.90852213,1810869.90852213,1810869.90852213
45-54,OTH,added_sugar,FL,mrh-eq,63443.3811241209,63443.3811241209,63443.3811241209
45-54,OTH,oil,CED,MJ,1432290.36374115,1432290.36374115,1432290.36374115
45-54,OTH,oil,Food_price,USD,731222.242436145,731222.242436145,731222.242436145
45-54,OTH,oil,FL,mrh-eq,75585.0784019187,75585.0784019187,75585.0784019187
45-54,OTH,sat_fat,CED,MJ,4368464.41215888,4368464.41215888,4368464.41215888
45-54,OTH,sat_fat,Food_price,USD,662126.153065249,662126.153065249,662126.153065249
45-54,OTH,sat_fat,FL,mrh-eq,116731.016832467,116731.016832467,116731.016832467
55-64,NHW,added_sugar,CED,MJ,9114738.87171612,9114738.87171612,9114738.87171612
55-64,NHW,added_sugar,Food_price,USD,14845627.5665783,14845627.5665783,14845627.5665783
55-64,NHW,added_sugar,FL,mrh-eq,427488.697048746,427488.697048746,427488.697048746
55-64,NHW,oil,CED,MJ,9610464.01337836,9610464.01337836,9610464.01337836
55-64,NHW,oil,Food_price,USD,8000655.85151288,8000655.85151288,8000655.85151288
55-64,NHW,oil,FL,mrh-eq,501680.418935535,501680.418935535,501680.418935535
55-64,NHW,sat_fat,CED,MJ,30826128.7876985,30826128.7876985,30826128.7876985
