race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,416840916.626827,421880007.703974,420938840.843556
NHW,Food_price,USD,227979343.27859,232062133.516172,229380160.552454
NHW,FL,mrh-eq,14177342.0955773,14335931.1184502,14289630.1652938
NHB,CED,MJ,72373001.926228,72659165.6110911,71821018.9408884
NHB,Food_price,USD,41170446.1654178,41532504.3001108,41248538.2199108
NHB,FL,mrh-eq,2438253.0171329,2453412.65180085,2419706.22131735
HIS,CED,MJ,95239653.2189012,96268667.5136628,96232652.4635367
HIS,Food_price,USD,48709883.622647,49022978.7172785,49948818.500773
HIS,FL,mrh-eq,3236403.38423409,3271301.01007002,3282429.69694751
OTH,CED,MJ,60486645.787745,60346874.5755617,59490010.8587982
OTH,Food_price,USD,31930486.3955416,32014136.1153915,31750822.2575465
OTH,FL,mrh-eq,2113286.31190847,2110196.74113572,2084398.07280048
